"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"17747","hāi-thâng","","hai7-thang5","","害蟲","(1)有害ê蟲。
(2)惡者，pháiⁿ人。","(2)一庄bōe堪得一尾 ∼∼。","hāi-thâng","","hai7-thang5","","害蟲","(1)有害ê蟲。
(2)惡者，pháinn人。","(2)一庄buē堪得一尾 ∼∼。","B0518",""
"17748","hāi-tō","","hai7-to7","","海盜","海賊。","","hāi-tō","","hai7-to7","","海盜","海賊。","","B0518",""
"17749","hāi-tóe-hî-chhì","","hai7-toe2-hi5-chhi3","","蟹底魚翅","蟹、松茸、魚翅等做材料ê料理。","","hāi-tué-hî-tshì","","hai7-tue2-hi5-tshi3","","蟹底魚翅","蟹、松茸、魚翅等做材料ê料理。","","B0518",""
"17750","hāi-to̍k","","hai7-tok8","","害毒","(日)","","hāi-to̍k","","hai7-tok8","","害毒","(日)","","B0519",""
"17751","hāi-tòng-tòng","","hai7-tong3-tong3","","害當當","＝[害tháng-tháng]。","","hāi-tòng-tòng","","hai7-tong3-tong3","","害當當","＝[害tháng-tháng]。","","B0519",""
"17752","hāi-tò͘","","hai7-too3","","害tò͘","＝[害](4)(5)。","","hāi-tòo","","hai7-too3","","害tòo","＝[害](4)(5)。","","B0518",""
"17753","hai-hai","","hai-hai","","咍咍","嘴等大開。","笑 ∼∼；嘴裂 ∼∼。","hai-hai","","hai-hai","","咍咍","嘴等大開。","笑 ∼∼；嘴裂 ∼∼。","B0519",""
"17754","hai-hai-hai","","hai-hai-hai","","hai-hai-hai","形容真大。","腹肚 ∼∼∼。","hai-hai-hai","","hai-hai-hai","","hai-hai-hai","形容真大。","腹肚 ∼∼∼。","B0519",""
"17755","hai-kái","","hai-kai2","","奒解","非常大。","chit箍柴真 ∼∼。","hai-kái","","hai-kai2","","奒解","非常大。","chit箍柴真 ∼∼。","B0516",""
"17756","haiⁿ","","hainn","","唉","呻吟，嘆氣。","∼∼ 叫；你免teh ∼。","hainn","","hainn","","唉","呻吟，嘆氣。","∼∼ 叫；你免teh ∼。","B0515",""
"17757","háiⁿ","hái","hainn2","hai2","唉","趕狗、牛等ê聲。","","háinn","hái","hainn2","hai2","唉","趕狗、牛等ê聲。","","B0515/B0516",""
"17758","háiⁿ-lō-sō","","hainn2-lo7-so7","","唉lō-sō","協力做tāi-chì ê hoah聲。","","háinn-lō-sō","","hainn2-lo7-so7","","唉lō-sō","協力做tāi-tsì ê hoah聲。","","B0520",""
