tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
ún,尹,11,ún,un2,un2,un,un,,
bí,尾,11,bí,bi2,bi2,bi,bi,,
kí,屺,11,kí,ki2,ki2,ki,ki,,
kî,岐,11,kî,ki5,ki5,ki,ki,,
gô,峨,11,gô,go5,go5,go,go,,
kî,崎,11,kî,ki5,ki5,ki,ki,,
hú-siânn,府城,11,hú-siâⁿ,hu2siann5,hu2siann5,husiann,husiann,hs,hs
bí,弭,11,bí,bi2,bi2,bi,bi,,
bí,彌,11,bí,bi2,bi2,bi,bi,,
hit-jiah,彼跡,11,hit-jiah,hit4jiah4,hit4jiah4,hitjiah,hitjiah,hj,hj
āu-suann,後山,11,āu-soaⁿ,au7suann1,au7soann1,ausuann,ausoann,as,as
tshiong,從,11,chhiong,tshiong1,chhiong1,tshiong,chhiong,,
sim-būn,心悶,11,sim-būn,sim1bun7,sim1bun7,simbun,simbun,sb,sb
bông,忘,11,bông,bong5,bong5,bong,bong,,
bông,忙,11,bông,bong5,bong5,bong,bong,,
î,怡,11,î,i5,i5,i,i,,
sik,悉,11,sek,sik4,sek4,sik,sek,,
î,惟,11,î,i5,i5,i,i,,
siàn,扇,11,siàn,sian3,sian3,sian,sian,,
tôo,投,11,tô͘,too5,too5,too,too,,
liâm,拈,11,liâm,liam5,liam5,liam,liam,,
sik,拭,11,sek,sik4,sek4,sik,sek,,
khó,拷,11,khó,kho2,kho2,kho,kho,,
kán,揀,11,kán,kan2,kan2,kan,kan,,
huān,換,11,hoān,huan7,hoan7,huan,hoan,,
lián,摙,11,lián,lian2,lian2,lian,lian,,
phok,撲,11,phok,phok4,phok4,phok,phok,,
khó,攷,11,khó,kho2,kho2,kho,kho,,
sin-káng,新港,11,sin-káng,sin1kang2,sin1kang2,sinkang,sinkang,sk,sk
kî,旂,11,kî,ki5,ki5,ki,ki,,
bûn,旻,11,bûn,bun5,bun5,bun,bun,,
tshiong,昌,11,chhiong,tshiong1,chhiong1,tshiong,chhiong,,
sik,昔,11,sek,sik4,sek4,sik,sek,,
tsô,曹,11,chô,tso5,cho5,tso,cho,,
ū-sin,有身,11,ū-sin,u7sin1,u7sin1,usin,usin,us,us
phok,朴,11,phok,phok4,phok4,phok,phok,,
