hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo
被,pǐ,50,pǐ,pi6,pi6,pi,pi,,,True
袽,jîr,50,jîr,jir5,jir5,jir,jir,,,True
袽,lîr,50,lîr,lir5,lir5,lir,lir,,,True
袽,lû,50,lû,lu5,lu5,lu,lu,,,True
裋,sǔ,50,sǔ,su6,su6,su,su,,,True
裝,tshuang,50,chhoang,tshuang1,chhoang1,tshuang,chhoang,,,True
裡,lér,50,lér,ler2,ler2,ler,ler,,,True
裡,lín,50,lín,lin2,lin2,lin,lin,,,True
裡,ní,50,ní,ni2,ni2,ni,ni,,,True
裡,nńg,50,nńg,nng2,nng2,nng,nng,,,True
裾,kir,50,kir,kir1,kir1,kir,kir,,,True
褆,sǐ,50,sǐ,si6,si6,si,si,,,True
褆,thê,50,thê,the5,the5,the,the,,,True
褙,pèr,50,pèr,per3,per3,per,per,,,True
褚,thír,50,thír,thir2,thir2,thir,thir,,,True
褲,khiò,50,khiò,khio3,khio3,khio,khio,,,True
襂,serm,50,serm,serm1,serm1,serm,serm,,,True
襂,sim,50,sim,sim1,sim1,sim,sim,,,True
襇,kirínn,50,kíriⁿ,kirinn2,kirinn2,kirinn,kirinn,,,True
襇,kuínn,50,kúiⁿ,kuinn2,kuinn2,kuinn,kuinn,,,True
襈,tsuān,50,choān,tsuan7,choan7,tsuan,choan,,,True
襈,tsuǎn,50,choǎn,tsuan6,choan6,tsuan,choan,,,True
襐,siōng,50,siōng,siong7,siong7,siong,siong,,,True
襐,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
襞,phué,50,phóe,phue2,phoe2,phue,phoe,,,True
襳,serm,50,serm,serm1,serm1,serm,serm,,,True
襳,sim,50,sim,sim1,sim1,sim,sim,,,True
西,sie,50,sie,sie1,sie1,sie,sie,,,True
覀,hà,50,hà,ha3,ha3,ha,ha,,,True
覗,sir,50,sir,sir1,sir1,sir,sir,,,True
覷,tshìr,50,chhìr,tshir3,chhir3,tshir,chhir,,,True
觔,kirn,50,kirn,kirn1,kirn1,kirn,kirn,,,True
觛,tān,50,tān,tan7,tan7,tan,tan,,,True
觛,tǎn,50,tǎn,tan6,tan6,tan,tan,,,True
觜,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
觜,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
觟,huā,50,hōa,hua7,hoa7,hua,hoa,,,True
觟,huǎ,50,hǒa,hua6,hoa6,hua,hoa,,,True
解,hāi,50,hāi,hai7,hai7,hai,hai,,,True
解,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True
解,kerè,50,kère,kere3,kere3,kere,kere,,,True
解,keré,50,kére,kere2,kere2,kere,kere,,,True
解,kài,50,kài,kai3,kai3,kai,kai,,,True
觨,hūn,50,hūn,hun7,hun7,hun,hun,,,True
觨,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True
訁,giân,50,giân,gian5,gian5,gian,gian,,,True
訁,gân,50,gân,gan5,gan5,gan,gan,,,True
訔,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True
訔,gûn,50,gûn,gun5,gun5,gun,gun,,,True
訢,herm,50,herm,herm1,herm1,herm,herm,,,True
許,khió,50,khió,khio2,khio2,khio,khio,,,True
訶,ho,50,ho,ho1,ho1,ho,ho,,,True
訶,hoo,50,ho͘,hoo1,hoo1,hoo,hoo,,,True
訾,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True
訾,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
訾,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
訾,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
訾,tsú,50,chú,tsu2,chu2,tsu,chu,,,True
訿,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True
訿,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
訿,tsú,50,chú,tsu2,chu2,tsu,chu,,,True
詎,kīr,50,kīr,kir7,kir7,kir,kir,,,True
詎,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True
詝,thír,50,thír,thir2,thir2,thir,thir,,,True
詞,sîr,50,sîr,sir5,sir5,sir,sir,,,True
詡,hír,50,hír,hir2,hir2,hir,hir,,,True
詪,hírn,50,hírn,hirn2,hirn2,hirn,hirn,,,True
詼,kher,50,kher,kher1,kher1,kher,kher,,,True
語,gīr,50,gīr,gir7,gir7,gir,gir,,,True
語,gū,50,gū,gu7,gu7,gu,gu,,,True
誢,hiān,50,hiān,hian7,hian7,hian,hian,,,True
誢,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True
誾,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True
諓,tsiān,50,chiān,tsian7,chian7,tsian,chian,,,True
諓,tsiǎn,50,chiǎn,tsian6,chian6,tsian,chian,,,True
諝,sír,50,sír,sir2,sir2,sir,sir,,,True
諟,sǐ,50,sǐ,si6,si6,si,si,,,True
諧,erê,50,êre,ere5,ere5,ere,ere,,,True
諧,uê,50,ôe,ue5,oe5,ue,oe,,,True
諮,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
諸,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
謶,sìr,50,sìr,sir3,sir3,sir,sir,,,True
謶,sù,50,sù,su3,su3,su,su,,,True
謽,kiǒng,50,kiǒng,kiong6,kiong6,kiong,kiong,,,True
譖,tsèrm,50,chèrm,tserm3,cherm3,tserm,cherm,,,True
譽,īr,50,īr,ir7,ir7,ir,ir,,,True
讖,tshèrm,50,chhèrm,tsherm3,chherm3,tsherm,chherm,,,True
讖,tshìm,50,chhìm,tshim3,chhim3,tshim,chhim,,,True
豁,heh,50,heh,heh4,heh4,heh,heh,,,True
豁,herh,50,herh,herh4,herh4,herh,herh,,,True
豎,sǔ,50,sǔ,su6,su6,su,su,,,True
豏,hām,50,hām,ham7,ham7,ham,ham,,,True
豏,hǎm,50,hǎm,ham6,ham6,ham,ham,,,True
象,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
豦,kîr,50,kîr,kir5,kir5,kir,kir,,,True
豦,kû,50,kû,ku5,ku5,ku,ku,,,True
豫,īr,50,īr,ir7,ir7,ir,ir,,,True
豸,thuǎ,50,thǒa,thua6,thoa6,thua,thoa,,,True
貄,sīr,50,sīr,sir7,sir7,sir,sir,,,True
貄,sū,50,sū,su7,su7,su,su,,,True
貄,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
貗,kū,50,kū,ku7,ku7,ku,ku,,,True
貗,kǔ,50,kǔ,ku6,ku6,ku,ku,,,True
負,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True
貯,teré,50,tére,tere2,tere2,tere,tere,,,True
貯,thír,50,thír,thir2,thir2,thir,thir,,,True
貲,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
貲,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
