tl,hanzi
an-tsìnn,安箭
an-tsuân,安全
an-tsòng,安葬
ang,汪
ang,翁
ang,尪
áng-láng,闇聾
àng,甕
àng,
àng-àng,
àng-tsàng,
àng-tshng,甕串
àng-tshuì,甕嘴
àng-hī,甕耳
àng-kuà,甕蓋
àng-lāi-tsáu-pih,甕內走鱉
àng-phè,
àng-phīnn,
àng-tàng,
àng-tāng,
àng-tué,甕底
àng-té-suí-ke,甕底水蛙
àng-tōo,甕肚
âng,洪
âng,紅
âng-âng,紅紅
âng-âng-âng,紅紅紅
âng-ang-iù-iù,紅紅幼幼
âng-bah,紅肉
âng-bah-tshîng,紅肉松
âng-bah-lāi-lí,紅肉內李
âng-bah-lí,紅肉李
âng-bah-tó,紅肉朵
âng-ba̍k,紅目
âng-ba̍k-huan,紅目番
âng-ba̍k-kâu,紅目猴
âng-ba̍k-kînn,紅目墘
âng-ba̍k-tai,紅目獃
âng-bé-á-tsháu,紅尾仔草
âng-bé-ló,紅瑪瑙
âng-bé-ia̍h-hue,紅尾蝶花
âng-bí,紅米
âng-bí-tê,紅米茶
âng-bīn,紅面
âng-bīn-tsiong-kun,紅面將軍
âng-bīn-huan,紅面番
âng-bō,紅帽
âng-bō-tsu,紅帽珠
âng-bō-ing,紅帽纓
âng-tsang-hî,紅鬃魚
âng-tsau,紅糟
âng-tsíng,紅種
âng-tsíng-kah,紅指甲
âng-tsíng-kah-hue,紅指甲花
âng-tshâ,紅柴
âng-tshâ-sim,紅柴心
âng-tshái,紅彩
âng-tshài,紅菜
âng-tshài-thâu,紅菜頭
âng-tshân-inn,紅田嬰
âng-tshân-oo,紅田烏
âng-tshân-oo-tsháu,紅田烏草
âng-tshîng-peh,紅松柏
âng-tshì-tshang,紅刺蔥
âng-tshiâu,
âng-tshiu,紅鬚
âng-tshiū,紅樹
âng-tshiū-m̂,紅樹梅
âng-tshiu-ko,紅鬚哥
âng-tshiūnn,紅相
âng-tshuā-oo,紅娶烏
âng-tshu,紅蛆
âng-tshuì-á,紅嘴仔
âng-tshuì-oo-tshiu,紅嘴烏秋
âng-tsí-á,紅子仔
âng-tsí-bî,紅紫薇
âng-tsí-soo,紅紫蘇
âng-tsià,紅蔗
âng-tsiānn,紅淨
âng-tsîm,紅蟳
âng-tsio,紅蕉
âng-tsio̍h-á,紅石仔
âng-tsio̍h-hue,紅石花
âng-tsiòng,紅帥
âng-tsiú,紅酒
