tl,hanzi,frequency,poj
suah,煞,4845,soah
jī,二,4841,jī
lī,二,4841,lī
ta̍k,逐,4796,ta̍k
thóo,土,4794,thó͘
suán,選,4775,soán
hā,下,4750,hā
ē,下,4750,ē
san,山,4739,san
iû,油,4709,iû
pōo,步,4691,pō͘
kī,己,4680,kī
piáu,表,4675,piáu
tsháu,草,4667,chháu
sì,四,4665,sì
tsí,子,4660,chí
iú,友,4656,iú
thiànn,疼,4635,thiàⁿ
sam,三,4626,sam
pîng,平,4615,pêng
bah,肉,4608,bah
tsio̍h,石,4571,chio̍h
tàng,當,4562,tàng
suè,細,4559,sòe
sè,細,4559,sè
kak,覺,4559,kak
kāng,仝,4552,kāng
ah,矣,4548,ah
gia̍p,業,4524,gia̍p
pàng,放,4507,pàng
pau,包,4485,pau
tsiú,酒,4471,chiú
sio̍k,續,4468,sio̍k
kuí,幾,4460,kúi
bí,米,4425,bí
tn̂g,長,4422,tn̂g
má,媽,4398,má
būn,問,4385,būn
tik,竹,4383,tek
tshiūnn,像,4377,chhiūⁿ
pah,百,4376,pah
iūnn,樣,4375,iūⁿ
tsìng,正,4364,chèng
ná,哪,4354,ná
tsiap,接,4351,chiap
sái,屎,4331,sái
io̍h,藥,4327,io̍h
lia̍h,掠,4324,lia̍h
tué,底,4318,tóe
té,底,4318,té
liân,連,4313,liân
tsa̍p,十,4304,cha̍p
hāng,項,4298,hāng
kim,今,4280,kim
hiòng,向,4258,hiòng
kiù,救,4257,kiù
kám,敢,4239,kám
īng,用,4235,ēng
soo,穌,4221,so͘
káng,港,4182,káng
hiann,兄,4171,hiaⁿ
to,多,4166,to
suànn,線,4156,sòaⁿ
ka,交,4153,ka
lîng,能,4149,lêng
ki,基,4131,ki
sīm,甚,4128,sīm
tshân,田,4120,chhân
mah,嘛,4115,mah
tshiū,樹,4070,chhiū
sè,勢,4059,sè
o̍h,學,4044,o̍h
kuán,館,4027,koán
hiah,遐,4016,hiah
tsiàn,戰,4010,chiàn
siat,設,4002,siat
tshiò,笑,3995,chhiò
tsē,坐,3988,chē
kheh,客,3978,kheh
liām,念,3977,liām
khuân,權,3973,khoân
sì,世,3962,sì
tī,治,3960,tī
sui,雖,3954,sui
má,馬,3953,má
siong,傷,3924,siong
kan,矸,3922,kan
kiû,求,3908,kiû
kóo,古,3902,kó͘
tso̍k,族,3899,cho̍k
kî,期,3897,kî
hô,和,3885,hô
kái,改,3877,kái
hâng,行,3876,hâng
thóng,統,3866,thóng
ia̍h,抑,3856,ia̍h
liû,流,3829,liû
káu,狗,3818,káu
uī,為,3816,ūi
hūn,份,3815,hūn
se,西,3804,se
kài,界,3799,kài
i̍k,亦,3792,e̍k
tang,東,3791,tang
iok,約,3742,iok
tsíng,種,3740,chéng
tò,倒,3732,tò
lī,離,3699,lī
kuan,觀,3698,koan
pn̄g,飯,3685,pn̄g
hāi,害,3678,hāi
tiàm,店,3670,tiàm
sik,式,3669,sek
si,詩,3665,si
poo,埔,3662,po͘
kut,骨,3660,kut
tsí,止,3659,chí
tsiok,足,3647,chiok
kî,其,3645,kî
tho̍k,讀,3626,tho̍k
e,挨,3611,e
hāu,校,3610,hāu
lí,里,3604,lí
i,醫,3593,i
uân,員,3580,oân
kak,角,3575,kak
kà,教,3568,kà
liân,年,3567,liân
kòo,顧,3561,kò͘
sī,示,3535,sī
kua,歌,3521,koa
sán,產,3513,sán
pia̍t,別,3511,pia̍t
sū,士,3492,sū
tsiànn,正,3491,chiàⁿ
tit,得,3486,tit
khùn,睏,3486,khùn
tang,冬,3477,tang
pān,辦,3468,pān
kuann,官,3458,koaⁿ
thài,太,3450,thài
tsiòng,將,3441,chiòng
tshim,深,3438,chhim
tsiah,才,3434,chiah
tê,茶,3426,tê
tann,今,3424,taⁿ
hîng,形,3419,hêng
àn,按,3419,àn
sai,師,3410,sai
hn̂g,園,3408,hn̂g
bo̍k,牧,3402,bo̍k
tsō,造,3400,chō
huán,反,3397,hoán
ti̍k,特,3397,te̍k
pēnn,病,3392,pēⁿ
pīnn,病,3392,pīⁿ
su,輸,3390,su
kong,光,3388,kong
kù,句,3378,kù
sann,衫,3376,saⁿ
tuann,單,3371,toaⁿ
sio,燒,3369,sio
pē,爸,3368,pē
niû,娘,3365,niû
kòo,故,3365,kò͘
tsuē,罪,3360,chōe
thôo,塗,3339,thô͘
khak,確,3339,khak
sîng,誠,3330,sêng
tok,督,3324,tok
kè,價,3323,kè
kiānn,件,3307,kiāⁿ
too,都,3302,to͘
tò,到,3301,tò
tsún,準,3291,chún
tiâu,條,3286,tiâu
phuà,破,3280,phòa
tsûn,船,3270,chûn
tshiánn,請,3261,chhiáⁿ
sìng,聖,3249,sèng
ti̍k,的,3240,te̍k
tāng,重,3234,tāng
huâ,華,3233,hôa
sàng,送,3230,sàng
tiunn,張,3222,tiuⁿ
bōng,望,3218,bōng
khan,牽,3217,khan
bī,味,3212,bī
ing,英,3210,eng
tíng,等,3203,téng
kiàn,建,3201,kiàn
kánn,敢,3179,káⁿ
tshenn,生,3163,chheⁿ
tshinn,生,3163,chhiⁿ
siàu,數,3156,siàu
khuì,氣,3144,khùi
tsuá,紙,3134,chóa
tsuan,專,3129,choan
ti,豬,3126,ti
tu,豬,3126,tu
kuá,寡,3125,kóa
su,思,3123,su
uán,遠,3116,oán
tiōng,重,3114,tiōng
tshàu,臭,3108,chhàu
tsing,精,3107,cheng
nih,𥍉,3101,nih
to̍k,獨,3095,to̍k
pái,擺,3083,pái
hiáu,曉,3083,hiáu
suî,隨,3082,sûi
kiông,強,3049,kiông
pa̍t,別,3043,pa̍t
siā,謝,3028,siā
īnn,院,3016,īⁿ
