hanzi	tl
䰸	kong
䱀	iong
䱅	bua̍h
䱅仔	bua̍h-á
䱊	bí
䲅	kui
䳄	tshir
䳄	tshu
䳄	tsir
䳄	tsu
䳒	iân
䳟	bîng
䴸	hu
䵯	thong
䵾	hû
一	it
一	i̍t
一	tsi̍k
一	tsi̍t
一--來	it--lâi
一--字	it--jī
一--字眉	it--jī-bâi
一-六	it-lio̍k
一一	it-it
一一如一	it-it-jû-it
一七如七	it-tshit-jû-tshit
一丈	tsi̍t-tn̄g
一丈紅	it-tiōng-hông
一三如三	it-sam-jû-sam
一上一下	it-siōng-it-hā
一下	tsi̍t-ē
一下仔	tsi̍t-ē-á
一下子	tsi̍t-ē-á
一下子囝	tsi̍t-ē-á-kiánn
一下手	tsi̍t-ē-tshiú
一下按呢	tsi̍t-ê-án-ne
一下雷	tsi̍t-ē-luî
一不作	it-put-tsok
一世	it-sè
一世	tsi̍t-sì
一世人	tsi̍t-sì-lâng
一世代	tsi̍t-sè-tāi
一世儂	tsi̍t-sì-lâng
一个	it-ê
一个	tsi̍t-ê
一个一个	tsi̍t-ê--tsi̍t-ê
一个人	tsi̍t-ê-lâng
一个山頭	tsi̍t-ê-suann-thâu
一个挲	tsi̍t-ê-so
一个桌頭	tsi̍t-ê-toh-thâu
一个童乩	tsi̍t-ê-tâng-ki
一串紅	it-tshuàn-hông
一丹好	it-tan-hó
一主	tsi̍t-tsú
一久仔	it-kú-á
一九五租	it-kiú-ngóo-tsoo
一九如九	it-kiú-jû-kiú
一九扣	it-kiú-khàu
一二十	it-jia̍p
一二十	it-jī-tsa̍p
一二如二	it-jī-jû-jī
一二日	tsi̍t-nn̄g-ji̍t
一五	it-ngóo
一五一十	it-gōo-it-tsa̍p
一五如五	it-ngóo-jû-ngóo
一人	it-jîn
一人	tsi̍t-lâng
一人主張	tsi̍t-lâng-tsú-tiunn
一人倒投	tsi̍t-lâng-tò-tâu
一人做賊	tsi̍t-lâng-tsò-tsha̍t
一人傳虛	tsi̍t-lâng-thuân-hi
一人攬	tsi̍t-lâng-lám
一人智	tsi̍t-lâng-tì
一仔橫	it-á-hiânn
一仙五厘	tsi̍t-sián-gōo-lî
一代	it-tāi
一件	tsi̍t-kiānn
一任	tsit-jīm
一份	tsi̍t-hūn
一伸一縮	it-sin-it-siok
一位小數	tsi̍t-uī-sió-sòo
一位數	tsi̍t-uī-sòo
一体	it-thé
一來	it--lâi
一來	it-lâi
一來一往	it-lâi-it-óng
一來二去	it-lâi-jī-khì
一例一休	it-lē-it-hiu
一例一歇	it-lē-it-hioh
一例一歇	tsi̍t-lē-tsi̍t-hioh
一個	it-kò
一個	tsi̍t-ê
一個一個	tsi̍t-ê-tsi̍t-ê
一個一斤	tsi̍t-ê-tsi̍t-kun
一個人	it-kò-jîn
一個人	tsi̍t-ê-lâng
一個月	tsi̍t kò ge̍h
一個月	tsi̍t kò ge̍rh
一個月	tsi̍t kò gue̍h
一個錢	tsi̍t-ê-tsînn
一個面	tsi̍t-ê-bīn
一倒	tsi̍t-tó
一倒水	it-tó-tsuí
一倒船	tsi̍t-tó-tsûn
一停	tsi̍t-thîng
一停仔	tsi̍t-thîng-á
一億	tsi̍t-ik
一億个	tsi̍t-ik-ê
一兆	tsi̍t-tiāu
一兆个	tsi̍t-tiāu-ê
一兩工	tsi̍t-nn̄g-kang
一兩日	tsi̍t-nn̄g-ji̍t
一八五租	it-pat-ngóo-tsoo
一八如八	it-pat-jû-pat
一六如六	it-lio̍k-jû-lio̍k
一兼二顧	it-kiam-jī-kòo
一再	it-tsài
一凹	tsi̍t-lap
一刀	it-to
一刀兩斷	it-to-lióng-tuān
一刀兩斷	it-tor-lióng-tuān
一刀見肉	tsi̍t-to--kìnn-bah
一刀見肉	tsi̍t-to-kìnn-bah
一分	it-hun
一分	tsi̍t-hun
一分丁線	tsi̍t-hun-ting-suànn
一分鐘	tsi̍t-hun-tsing
一切	it-tshè
一列	tsi̍t-lia̍t
一利	it-lī
一利一害	it-lī-it-hāi
一刻	it-khik
一則	it-tsik
一剪梅	it-tsián-muî
一副	it-hù
一副一正	tsi̍t-hù-tsi̍t-tsiànn
一割	tsi̍t-kuah
一劃	tsi̍t-ue̍h
一劃	tsi̍t-ui̍h
一力	it-li̍k
一動一靜	it-tōng-it-tsīng
一勝	it-sìng
一勞永逸	it-lô-íng-i̍k
一勻一勻	tsi̍t--ûn--tsi̍t--ûn
一匕一中	it-pì-it-tiòng
一匕一中	it-pí-it-tiòng
一匕中	it-pí-tiòng
一十	it-tsa̍p
一千	tsi̍t-tshing
一千个	tsi̍t-tshing-ê
一千外	tsi̍t-tshing-guā
一千幾	tsi̍t-tshing-kuí
一千捅	tsi̍t-tshing-thóng
一半	tsi̍t-puànn
一半个仔	tsi̍t-puànn-ê-á
一半介仔	tsi̍t-puànn-kài-á
一半介仔	tsi̍t-puànn-kái-á
一半工	tsi̍t-puànn-kang
一半擺仔	tsi̍t-puànn-pái-á
一半改仔	tsi̍t-puànn-kái-á
一半日	tsi̍t-puànn-ji̍t
一半日仔	tsi̍t-puànn-ji̍t-á
一半日仔	tsi̍t-puànn-li̍t-á
一半過仔	tsi̍t-puànn-kuè-á
一卡通	it-khá-thong
一卦	tsi̍t-kuá
一去	tsi̍t-khì
一口兩舌	it-khóo-lióng-sia̍t
一口灶	tsi̍t kháu tsàu
一句半句	tsi̍t-kù-puànn-kù
一句話	tsi̍t-kù-uē
一只	tsi̍t-tsí
一叫一應	tsi̍t-kiò-tsi̍t-ìn
一叫一應	tsi̍t-kiò-tsi̍t-ìng
一合一離	it-ha̍p-it-lī
一吊錢	tsi̍t-tiàu-tsînn
一同	it-tông
一向	it-hiòng
一吞	tsi̍t-thun
一吸仔	tsi̍t-kiuh-á
一周	tsi̍t-tsiu
一味	it-bī
一呼百諾	it-hoo-pik-lo̍k
一命	it-bīng
一品	it-phín
一品燕窩	it-phín-iàn-o
一品豆腐	it-phín-tāu-hū
一唱	it-tshiòng
一喙氣	tsi̍t-tshuì-khuì
一喙雙頭	tsi̍t-tshuì-siang-thâu
一喜一憂	tsi̍t-hí-tsi̍t-iu
一嘴	tsi̍t-tshuì
一嘴氣	tsi̍t-tshuì-khuì
一四如四	it-sù-jû-sù
一四界	tsi̍t-sì-kuè
一四界	tsi̍t-sì-kè
一困	tsi̍t-khùn
一困仔	tsi̍t-khùn-á
一囷草	tsi̍t-khûn-tsháu
一圈	tsi̍t-khian
一國兩制	it-kok-lióng-tsè
一團	it-thuân
一坵田	tsi̍t-khu-tshân
一垺尿	tsi̍t-pû-jiō
一垺屎	tsi̍t-phû-sái
一垺屎	tsi̍t-pû-sái
一堆	tsi̍t-tui
一報	it-pò
一場	tsi̍t-tiûnn
一場工	tsi̍t-tiûnn-kang
一塊	tsi̍t-tè
一壘安打	it-luí an-tánn
一壘審	it-luí-sím
一壘手	it-luí-tshiú
一壘教練	it-luí kàu-liān
一壺金魚	tsi̍t-ôo-kim-hî
一夕	it-si̍k
一夜	it-iā
一夜妻	it-iā-tshe
一夜干	it-iā-kuann
一夜情	it-iā-tsîng
一夜情	tsi̍t-iā-tsîng
一夥	tsi̍t-hué
一夥	tsi̍t-hé
一大	tsi̍t-tuā
一大堆	tsi̍t-tuā-tui
一大拖	tsi̍t-tuā-thua
一大片	tsi̍t-tuā-phìnn
一天四海	it-thian-sù-hái
一天萬乘	it-thian-bān-sīng
一夫一妻	it-hu-it-tshe
一夫一婦	it-hu-it-hū
一失	it-sit
一失一得	it-sit-it-tit
一套衫	tsi̍t-thò-sann
一好一歹	tsi̍t-hó-tsi̍t-pháinn
一妝	tsi̍t-sn̂g
一妻	it-tshe
一子	tsi̍t-jí
一子	tsi̍t-kánn
一孔一窟	tsi̍t-khang-tsi̍t-khut
一孔一隙	tsi̍t-khang-tsi̍t-khiah
一字	it-jī
一字平	it-jī-pênn
一字平	it-jī-pînn
一字平	it-lī-pînn
一字平	it-lǐ-pînn
一字派	tsi̍t-jī-phài
一宗	it-tsong
一定	it-tīng
一家	it-ka
一家	tsi̍t-ke
一家一家	tsi̍t-ke-tsi̍t-ke
一家伙	tsi̍t-ke-hé
一家伙仔	tsi̍t-ke-hué-á
一家伙仔	tsi̍t-ke-hé-á
一家口	tsi̍t-ke-kháu
一寡	tsi̍t-kuá
一寡仔	tsi̍t-kuá-á
一實百實	it-si̍t-pik-si̍t
一審	it-sím
一寸	it-tshùn
一寸仔	tsi̍t-tshùn-á
一寸仔	tsi̍t-tshǹg-á
一將功成	it-tsiòng-kong-sîng
一對	tsi̍t-tuì
一對時	tsi̍t tuì-sî
一尾	it-bué
一尾	it-bé
一尾後	it-bé-āu
一屑仔	tsi̍t-sut-á
一崙山	tsi̍t-lūn-suann
一工	tsi̍t-kang
一工到暗	tsi̍t-kang-kàu-àm
一工貼貼	tsi̍t-kang-tah-tah
一己	it-kí
一巴掌	tsi̍t-pa-tsiúnn
一帆風順	it-phâng-hong-sūn
一帖藥	tsi̍t-thiap-io̍h
一帖藥	tsi̍t-thiap-io̍rh
一帖藥仔	tsi̍t-thiap-io̍h-á
一帖藥仔	tsi̍t-thiap-io̍rh-á
一席	it-si̍k
一席之地	it-si̍k-tsi-tē
一帶	it-tài
一幅	tsi̍t-pak
一幅圖	tsi̍t-pak-tôo
一年	tsi̍t-nî
一年仔	it-nî-á
一年半載	it-liân-puàn-tsài
一年的	it-nî--ê
一年級	it-nî-kip
一年迵天	tsi̍t-nî-thàng-thinn
一年透冬	tsi̍t-nî-thàu-tang
一庀仔	tsi̍t-phí-á
一庀庀仔	tsi̍t-phí-phí-á
一床包仔	tsi̍t-sn̂g-pau-á
一府四縣	tsi̍t-hú-sì-kuān
一度	it-tó
一度一	it-tó-it
一度好	it-tó-hó
一座	tsi̍t-tsō
一廂情願	it-siong-tsîng-guān
一廳官	tsi̍t-thiann-kuann
一廿	it-jia̍p
一弓	tsi̍t-king
一弓	tsi̍t-kiong
一張一弛	it-tiong-it-sí
一張眠床	tsi̍t-tiunn-bîn-tshn̂g
一律	it-lu̍t
一後	it-āu
一得一失	it-tik-it-sit
