tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit
tsut-bí-tsau,秫米糟,16,chut-bí-chau,tsut4bi2tsau1,chut4bi2chau1,tsutbitsau,chutbichau,tbt,cbc,True
tsut-bí-tsî,秫米糬,16,chut-bí-chî,tsut4bi2tsi5,chut4bi2chi5,tsutbitsi,chutbichi,tbt,cbc,True
tsut-bí-tsháu,秫米草,16,chut-bí-chháu,tsut4bi2tshau2,chut4bi2chhau2,tsutbitshau,chutbichhau,tbt,cbc,True
tsut-bí-tsiú,秫米酒,16,chut-bí-chiú,tsut4bi2tsiu2,chut4bi2chiu2,tsutbitsiu,chutbichiu,tbt,cbc,True
tsut-bí-ku,秫米龜,16,chut-bí-ku,tsut4bi2ku1,chut4bi2ku1,tsutbiku,chutbiku,tbk,cbk,True
î-tsū-bîn,移住民,16,î-chū-bîn,i5tsu7bin5,i5chu7bin5,itsubin,ichubin,itb,icb,True
î-ku-tsiàu,移居照,16,î-ku-chiàu,i5ku1tsiau3,i5ku1chiau3,ikutsiau,ikuchiau,ikt,ikc,True
î-tsiàu-huē,移照會,16,î-chiàu-hōe,i5tsiau3hue7,i5chiau3hoe7,itsiauhue,ichiauhoe,ith,ich,True
tshiâu-lo̍h-kut,移落骨,16,chhiâu-lo̍h-kut,tshiau5loh8kut4,chhiau5loh8kut4,tshiaulohkut,chhiaulohkut,tlk,clk,True
î-tsuán-liāu,移轉料,16,î-choán-liāu,i5tsuan2liau7,i5choan2liau7,itsuanliau,ichoanliau,itl,icl,True
hi-tshiam-tsháu,稀簽草,16,hi-chhiam-chháu,hi1tshiam1tshau2,hi1chhiam1chhau2,hitshiamtshau,hichhiamchhau,htt,hcc,True
hi-hán-kiánn,稀罕子,16,hi-hán-kiáⁿ,hi1han2kiann2,hi1han2kiann2,hihankiann,hihankiann,hhk,hhk,True
hi-hán-mi̍h,稀罕物,16,hi-hán-mi̍h,hi1han2mih8,hi1han2mih8,hihanmih,hihanmih,hhm,hhm,True
sè--lâng,稅人,16,sè--lâng,se3lang5,se3lang5,selang,selang,sl,sl,True
sè-bū-si,稅務司,16,sè-bū-si,se3bu7si1,se3bu7si1,sebusi,sebusi,sbs,sbs,True
sè-khuè-kio̍k,稅契局,16,sè-khòe-kio̍k,se3khue3kiok8,se3khoe3kiok8,sekhuekiok,sekhoekiok,skk,skk,True
sè-tiàm-jī,稅店字,16,sè-tiàm-jī,se3tiam3ji7,se3tiam3ji7,setiamji,setiamji,stj,stj,True
sè-giām-tuann,稅驗單,16,sè-giām-toaⁿ,se3giam7tuann1,se3giam7toann1,segiamtuann,segiamtoann,sgt,sgt,True
tshiáu-tshiáu-á,稍稍仔,16,chhiáu-chhiáu-á,tshiau2tshiau2a2,chhiau2chhiau2a2,tshiautshiaua,chhiauchhiaua,tta,cca,True
tsìng-i̍k-tāu,種疫痘,16,chèng-e̍k-tāu,tsing3ik8tau7,cheng3ek8tau7,tsingiktau,chengektau,tit,cet,True
tshìn-liāu-soh,稱繚索,16,chhìn-liāu-soh,tshin3liau7soh4,chhin3liau7soh4,tshinliausoh,chhinliausoh,tls,cls,True
tshìn-thuî-bī,稱錘泳,16,chhìn-thûi-bī,tshin3thui5bi7,chhin3thui5bi7,tshinthuibi,chhinthuibi,ttb,ctb,True
sik-á-tsî,稷仔糬,16,sek-á-chî,sik4a2tsi5,sek4a2chi5,sikatsi,sekachi,sat,sac,True
kok-tsing-tsí,穀精籽,16,kok-cheng-chí,kok4tsing1tsi2,kok4cheng1chi2,koktsingtsi,kokchengchi,ktt,kcc,True
kok-tsing-tsháu,穀精草,16,kok-cheng-chháu,kok4tsing1tshau2,kok4cheng1chhau2,koktsingtshau,kokchengchhau,ktt,kcc,True
kok-ta̍t-pín,穀達箅,16,kok-ta̍t-pín,kok4tat8pin2,kok4tat8pin2,koktatpin,koktatpin,ktp,ktp,True
tsik-tsuè-tui,積做堆,16,chek-chòe-tui,tsik4tsue3tui1,chek4choe3tui1,tsiktsuetui,chekchoetui,ttt,cct,True
tsik-kong-lô,積功勞,16,chek-kong-lô,tsik4kong1lo5,chek4kong1lo5,tsikkonglo,chekkonglo,tkl,ckl,True
tsik-ki̍k-tik,積極的,16,chek-ke̍k-tek,tsik4kik8tik4,chek4kek8tek4,tsikkiktik,chekkektek,tkt,ckt,True
tsik-li̍p-kim,積立金,16,chek-li̍p-kim,tsik4lip8kim1,chek4lip8kim1,tsiklipkim,cheklipkim,tlk,clk,True
tsik-kui-tui,積規堆,16,chek-kui-tui,tsik4kui1tui1,chek4kui1tui1,tsikkuitui,chekkuitui,tkt,ckt,True
è--lâng,穢--人,16,è--lâng,e3lang5,e3lang5,elang,elang,el,el,True
uè--lâng,穢人,16,òe--lâng,ue3lang5,oe3lang5,uelang,oelang,ul,ol,True
ún-tsuí-tshân,穩水田,16,ún-chúi-chhân,un2tsui2tshan5,un2chui2chhan5,untsuitshan,unchuichhan,utt,ucc,True
ún-tàng-tàng,穩當當,16,ún-tàng-tàng,un2tang3tang3,un2tang3tang3,untangtang,untangtang,utt,utt,True
hia̍t-jī-thâu,穴字頭,16,hia̍t-jī-thâu,hiat8ji7thau5,hiat8ji7thau5,hiatjithau,hiatjithau,hjt,hjt,True
kiù-kî-si̍t,究其實,16,kiù-kî-si̍t,kiu3ki5sit8,kiu3ki5sit8,kiukisit,kiukisit,kks,kks,True
kiù-kî-jiân,究其然,16,kiù-kî-jiân,kiu3ki5jian5,kiu3ki5jian5,kiukijian,kiukijian,kkj,kkj,True
kiù-kî-tsin,究其真,16,kiù-kî-chin,kiu3ki5tsin1,kiu3ki5chin1,kiukitsin,kiukichin,kkt,kkc,True
khang-lo-so,空刀搔,16,khang-lo-so,khang1lo1so1,khang1lo1so1,khangloso,khangloso,kls,kls,True
khang-tshù-the̍h,空厝宅,16,khang-chhù-the̍h,khang1tshu3theh8,khang1chhu3theh8,khangtshutheh,khangchhutheh,ktt,kct,True
khang-tshù-king,空厝間,16,khang-chhù-keng,khang1tshu3king1,khang1chhu3keng1,khangtshuking,khangchhukeng,ktk,kck,True
khang-lo-lo,空叨叨,16,khang-lo-lo,khang1lo1lo1,khang1lo1lo1,khanglolo,khanglolo,kll,kll,True
khang-ǹg-bāng,空向望,16,khang-ǹg-bāng,khang1ng3bang7,khang1ng3bang7,khangngbang,khangngbang,knb,knb,True
khong-sîng-kè,空城計,16,khong-sêng-kè,khong1sing5ke3,khong1seng5ke3,khongsingke,khongsengke,ksk,ksk,True
