羊,iûnn
考,khó
耳,hī
自,tsū
血,huih
佇,tū
你,lú
卵,nn̄g
吠,puī
吹,tshe
坑,khinn
夾,ngeh
尾,bé
抓,niàu
更,kinn
步,pōo
災,tse
肚,tōo
芋,ōo
阮,gún
事,sū
兩,niú
初,tshue
卷,kńg
奇,khia
妹,bē
姓,sìnn
底,tué
庚,kinn
抱,phō
拌,puānn
拔,pui̍h
河,hô
炊,tshe
爭,tsinn
羌,kiunn
芟,sing
近,kūn
迒,hānn
長,tiúnn
門,mn̂g
雨,hōo
青,tshinn
保,pó
剉,tshò
厚,kāu
契,khuè
度,tōo
星,tshinn
柄,pìnn
洋,iûnn
洗,sué
炱,te
疥,kuè
相,siùnn
研,ngái
穿,tshīng
穿,tshng
耎,luán
胚,phe
虹,khīng
飛,pe
香,hiunn
倍,pē
倒,tó
倒,tò
哺,pōo
哽,kínn
娘,niû
島,tóo
師,su
恩,un
恩,un
挨,ue
挼,lê
捋,lua̍h
捏,tīnn
桃,thô
桌,toh
狹,ue̍h
病,pīnn
索,soh
缺,kheh
脆,tshè
脈,me̍h
舀,iúnn
草,tshó
荒,hng
討,thó
退,thè
配,phè
針,tsiam
除,tû
除,tû
做,tsuè
唱,tshiùnn
啄,teh
問,mn̄g
婆,pô
張,tiunn
捥,ńg
捲,kńg
推,the
掩,ng
旋,tsn̄g
梅,m̂
欲,beh
清,tshinn
犁,luê
章,tsiunn
笠,lue̍h
粕,phoh
細,suè
莢,kueh
蚵,ô
蛆,tshu
袋,tē
被,phē
貨,hè
貫,kǹg
跂,ké
軟,nńg
逐,lip
雪,seh
魚,hû
報,pò
場,tiûnn
帽,bō
掌,tsiúnn
掰,pé
揣,tshē
晾,nî
替,thuè
棗,tsó
棚,pînn
焙,pē
無,bô
煮,tsú
畫,uī
短,té
硬,ngī
稅,sè
筋,kun
絕,tse̍h
脹,tiùnn
腔,khiunn
舒,tshu
著,tio̍h
著,to̍h
街,kue
象,tshiūnn
貺,hīng
量,niû
量,niū
飯,pn̄g
黃,n̂g
黍,sué
傳,thn̂g
傷,siunn
園,hn̂g
塊,tè
嫂,só
想,siūnn
損,sńg
搝,khiú
搝,giú
搣,mi
搶,tshiúnn
會,uē
楗,kīng
歲,hè
溪,khue
溶,iûnn
睨,gîn
矮,ué
節,tsueh
經,kinn
號,hō
遇,gū
過,kè
鉎,sian
頓,tǹg
鼠,tshú
像,tshiūnn
僫,oh
劃,ui̍h
墓,bōo
摸,bong
暝,mî
槍,tshiunn
漲,tiùnn
算,sǹg
管,kńg
箸,tū
粿,ké
綴,tè
膎,kuê
語,gú
說,seh
趖,sô
踅,se̍h
遠,hn̄g
酸,sng
銀,gûn
鼻,phīnn
齊,tsuê
齊,tsiâu
廠,tshiúnn
慼,tshueh
撨,tshiâu
槳,tsiúnn
槽,tsô
樟,tsiunn
樣,iūnn
漿,tsiunn
熥,thn̄g
瞌,khueh
箠,tshê
箱,siunn
罵,mā
褒,po
諍,tsìnn
豬,tu
賞,siúnn
賠,pê
靠,khò
鞋,uê
養,iúnn
餓,gō
學,o̍h
據,kù
樹,tshiū
磚,tsng
磨,bō
篙,ko
糕,ko
縣,kuāinn
褪,thǹg
蹄,tuê
醒,tshínn
鋸,kù
髻,kè
濟,tsuē
燥,sò
牆,tshiûnn
瞪,tìnn
糜,bê
薄,po̍h
薑,kiunn
薯,tsû
螺,lê
謝,siā
還,hîng
鍋,e
斷,tn̄g
糧,niû
軁,nǹg
轉,tńg
醬,tsiùnn
鎖,só
雙,siang
雞,kue
題,tuê
颺,tshiûnn
鵝,giâ
簿,phōo
羹,kinn
關,kuinn
勸,khǹg
寶,pó
癢,tsiūnn
襪,be̍h
髓,tshé
鱖,kè
讓,niū
躡,nih
鑽,tsǹg
䖙,the
䘼,ńg
𧮙,tshoh
𠕇,tīng
𣻸,siûnn
苧,tuē
稈,kuínn
丈,tiūnn
方,png
全,tsn̂g
危,uî
后,hiō
后,hiō
灰,he
吳,ngôo
車,ku
阮,ńg
乳,lú
呵,o
尚,siūnn
居,ku
帚,tsiú
帚,tshiú
性,sìnn
斧,póo
昏,hng
果,ké
芹,khûn
迌,thô
厚,hiō
後,hiō
後,hiō
恨,hūn
指,tsíng
牲,sinn
玻,po
相,siunn
屐,kia̍h
徐,tshî
殊,sû
矩,kú
釘,ting
參,sim
參,sim
帳,tiùnn
掃,sò
曹,tsô
梁,niû
莖,huâinn
莧,hāng
處,tshù
許,hú
郭,keh
媒,hm̂
寓,ú
晬,tsè
腔,tshiunn
菠,pe
萄,tô
鄉,hiunn
鈗,ńg
陽,iûnn
勤,khûn
嗣,sû
楝,līng
楹,înn
預,ū
慮,lū
樑,niû
範,huān
蓮,lân
課,khè
鄭,tīnn
鋤,tû
噤,khiūnn
親,tshinn
謀,môo
頭,thiô
頭,thiô
鴦,iunn
嬰,inn
嶼,sū
戴,tè
糙,tshò
舉,kú
螿,tsiunn
謝,siā
顎,khok
羅,lô
蹬,tinn
鯧,tshiunn
鑢,luē
驚,kinn
蠶,tshâm
蠶,tshâm
八,peh
刀,to
上,tsiūnn
上,tshiūnn
女,lí
子,tsú
巾,kin
中,ting
予,hōo
五,gōo
井,tsénn
反,píng
斤,kin
日,ji̍t
月,gue̍h
毛,moo
火,hué
去,khì
可,khó
奶,ling
平,pênn
未,bē
未,buē
母,bóo
汁,tsiap
犯,huān
生,tshenn
生,senn
皮,phuê
光,kuinn
匠,tshiūnn
囝,kiánn
回,huê
地,tē
好,hó
字,jī
次,tshù
羊,iûnn
考,khó
耳,hīnn
自,tsū
血,hueh
佇,tī
你,lí
卵,nuī
吠,puī
吹,tshue
坑,khenn
夾,ngeh
尾,bué
抓,jiàu
更,kenn
步,pōo
災,tse
肚,tōo
芋,ōo
阮,gúan
事,sū
兩,niú
初,tshe
卷,kuínn
奇,khia
妹,muē
姓,sènn
底,té
庚,kenn
抱,phō
拌,puānn
拔,pue̍h
河,hô
炊,tshue
爭,tsenn
羌,kiunn
芟,sing
近,kīn
迒,hānn
長,tiúnn
門,muî
雨,hōo
青,tshenn
保,pó
剉,tshò
厚,kāu
契,khè
度,tōo
星,tshenn
柄,pènn
洋,iûnn
洗,sé
炱,te
疥,kè
相,siùnn
研,gíng
穿,tshiōng
穿,tshuinn
耎,luán
胚,phue
虹,khīng
飛,pue
香,hiunn
倍,puē
倒,tó
倒,tò
哺,pōo
