tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
káu-kha-tuê,狗腳蹄,16,káu-kha-tôe,kau2kha1tue5,kau2kha1toe5,ㄍㄠˋㄎㄚㄉㄨㆤˊ,,kaukhatue,kaukhatoe,ㄍㄠㄎㄚㄉㄨㆤ,,kkt,kkt,ㄍㄎㄉ,,True,True
káu-kut-á,狗骨仔,16,káu-kut-á,kau2kut4a2,kau2kut4a2,ㄍㄠˋㄍㄨㆵㄚˋ,,kaukuta,kaukuta,ㄍㄠㄍㄨㆵㄚ,,kka,kka,ㄍㄍㄚ,,True,False
káu-kut-siau,狗骨消,16,káu-kut-siau,kau2kut4siau1,kau2kut4siau1,ㄍㄠˋㄍㄨㆵㄒㄧㄠ,,kaukutsiau,kaukutsiau,ㄍㄠㄍㄨㆵㄒㄧㄠ,,kks,kks,ㄍㄍㄒ,,True,False
ti-bú-lin,猪母乳,16,ti-bú-lin,ti1bu2lin1,ti1bu2lin1,ㄉㄧㆠㄨˋㄌㄧㄣ,,tibulin,tibulin,ㄉㄧㆠㄨㄌㄧㄣ,,tbl,tbl,ㄉㆠㄌ,,True,True
ti-bú-tsháu,猪母草,16,ti-bú-chháu,ti1bu2tshau2,ti1bu2chhau2,ㄉㄧㆠㄨˋㄘㄠˋ,,tibutshau,tibuchhau,ㄉㄧㆠㄨㄘㄠ,,tbt,tbc,ㄉㆠㄘ,,True,True
ti-kha-lâm,猪脚楠,16,ti-kha-lâm,ti1kha1lam5,ti1kha1lam5,ㄉㄧㄎㄚㄌㆰˊ,,tikhalam,tikhalam,ㄉㄧㄎㄚㄌㆰ,,tkl,tkl,ㄉㄎㄌ,,True,False
kâu-huann-hí,猴歡喜,16,kâu-hoaⁿ-hí,kau5huann1hi2,kau5hoann1hi2,ㄍㄠˊㄏㄨㆩㄏㄧˋ,,kauhuannhi,kauhoannhi,ㄍㄠㄏㄨㆩㄏㄧ,,khh,khh,ㄍㄏㄏ,,True,False
ông-put-liû,王不留,16,ông-put-liû,ong5put4liu5,ong5put4liu5,ㆲˊㄅㄨㆵㄌㄧㄨˊ,,ongputliu,ongputliu,ㆲㄅㄨㆵㄌㄧㄨ,,opl,opl,ㆲㄅㄌ,,True,False
tin-tiong-pit,珍中筆,16,tin-tiong-pit,tin1tiong1pit4,tin1tiong1pit4,ㄉㄧㄣㄉㄧㆲㄅㄧㆵ,,tintiongpit,tintiongpit,ㄉㄧㄣㄉㄧㆲㄅㄧㆵ,,ttp,ttp,ㄉㄉㄅ,,True,False
tsu-á-tsháu,珠仔草,16,chu-á-chháu,tsu1a2tshau2,chu1a2chhau2,ㄗㄨㄚˋㄘㄠˋ,,tsuatshau,chuachhau,ㄗㄨㄚㄘㄠ,,tat,cac,ㄗㄚㄘ,,True,False
pan-tsi-tshiū,班芝樹,16,pan-chi-chhiū,pan1tsi1tshiu7,pan1chi1chhiu7,ㄅㄢㄐㄧㄑㄧㄨ˫,,pantsitshiu,panchichhiu,ㄅㄢㄐㄧㄑㄧㄨ,,ptt,pcc,ㄅㄐㄑ,,True,False
liû-kiû-tik,琉球竹,16,liû-kiû-tek,liu5kiu5tik4,liu5kiu5tek4,ㄌㄧㄨˊㄍㄧㄨˊㄉㄧㆻ,,liukiutik,liukiutek,ㄌㄧㄨㄍㄧㄨㄉㄧㆻ,,lkt,lkt,ㄌㄍㄉ,,True,False
kue-tsi-tsháu,瓜子草,16,koe-chi-chháu,kue1tsi1tshau2,koe1chi1chhau2,ㄍㄨㆤㄐㄧㄘㄠˋ,,kuetsitshau,koechichhau,ㄍㄨㆤㄐㄧㄘㄠ,,ktt,kcc,ㄍㄐㄘ,,True,False
ìng-tshài-hông,甕菜黃,16,èng-chhài-hông,ing3tshai3hong5,eng3chhai3hong5,ㄧㄥ˪ㄘㄞ˪ㄏㆲˊ,,ingtshaihong,engchhaihong,ㄧㄥㄘㄞㄏㆲ,,ith,ech,ㄧㄘㄏ,,True,False
kam-a-bi̍t,甘仔蜜,16,kam-a-bi̍t,kam1a1bit8,kam1a1bit8,ㄍㆰㄚㆠㄧㆵ̇,,kamabit,kamabit,ㄍㆰㄚㆠㄧㆵ,,kab,kab,ㄍㄚㆠ,,True,False
kam-á-bìt,甘仔蜜,16,kam-á-bìt,kam1a2bit3,kam1a2bit3,,,kamabit,kamabit,,,kab,kab,,,True,False
tinn-á-puânn,甜仔盤,16,tiⁿ-á-pôaⁿ,tinn1a2puann5,tinn1a2poann5,ㄉㆪㄚˋㄅㄨㆩˊ,,tinnapuann,tinnapoann,ㄉㆪㄚㄅㄨㆩ,,tap,tap,ㄉㄚㄅ,,True,False
tshinn-to-tsháu,生刀草,16,chhiⁿ-to-chháu,tshinn1to1tshau2,chhinn1to1chhau2,ㄑㆪㄉㄛㄘㄠˋ,,tshinntotshau,chhinntochhau,ㄑㆪㄉㄛㄘㄠ,,ttt,ctc,ㄑㄉㄘ,,True,False
tshinn-to-io̍h,生刀藥,16,chhiⁿ-to-io̍h,tshinn1to1ioh8,chhinn1to1ioh8,ㄑㆪㄉㄛㄧㄛㆷ̇,,tshinntoioh,chhinntoioh,ㄑㆪㄉㄛㄧㄛㆷ,,tti,cti,ㄑㄉㄧ,,True,False
tshinn-ki-hiunn,生支香,16,chhiⁿ-ki-hiuⁿ,tshinn1ki1hiunn1,chhinn1ki1hiunn1,ㄑㆪㄍㄧㄏㄧㆫ,,tshinnkihiunn,chhinnkihiunn,ㄑㆪㄍㄧㄏㄧㆫ,,tkh,ckh,ㄑㄍㄏ,,True,False
tshân-oo-tsháu,田烏草,16,chhân-o͘-chháu,tshan5oo1tshau2,chhan5oo1chhau2,ㄘㄢˊㆦㄘㄠˋ,,tshanootshau,chhanoochhau,ㄘㄢㆦㄘㄠ,,tot,coc,ㄘㆦㄘ,,True,False
tshân-ōo-á,田芋仔,16,chhân-ō͘-á,tshan5oo7a2,chhan5oo7a2,ㄘㄢˊㆦ˫ㄚˋ,,tshanooa,chhanooa,ㄘㄢㆦㄚ,,toa,coa,ㄘㆦㄚ,,True,False
tshân-pinn-tsháu,田邊草,16,chhân-piⁿ-chháu,tshan5pinn1tshau2,chhan5pinn1chhau2,ㄘㄢˊㄅㆪㄘㄠˋ,,tshanpinntshau,chhanpinnchhau,ㄘㄢㄅㆪㄘㄠ,,tpt,cpc,ㄘㄅㄘ,,True,False
tshân-hiunn-tsháu,田香草,16,chhân-hiuⁿ-chháu,tshan5hiunn1tshau2,chhan5hiunn1chhau2,ㄘㄢˊㄏㄧㆫㄘㄠˋ,,tshanhiunntshau,chhanhiunnchhau,ㄘㄢㄏㄧㆫㄘㄠ,,tht,chc,ㄘㄏㄘ,,True,False
ting-khiā-u,登竪杇,16,teng-khiā-u,ting1khia7u1,teng1khia7u1,ㄉㄧㄥㄎㄧㄚ˫ㄨ,,tingkhiau,tengkhiau,ㄉㄧㄥㄎㄧㄚㄨ,,tku,tku,ㄉㄎㄨ,,True,False
ting-lông-tsháu,登郎草,16,teng-lông-chháu,ting1long5tshau2,teng1long5chhau2,ㄉㄧㄥㄌㆲˊㄘㄠˋ,,tinglongtshau,tenglongchhau,ㄉㄧㄥㄌㆲㄘㄠ,,tlt,tlc,ㄉㄌㄘ,,True,False
pe̍h-kî-tshun,白其春,16,pe̍h-kî-chhun,peh8ki5tshun1,peh8ki5chhun1,ㄅㆤㆷ̇ㄍㄧˊㄘㄨㄣ,,pehkitshun,pehkichhun,ㄅㆤㆷㄍㄧㄘㄨㄣ,,pkt,pkc,ㄅㄍㄘ,,True,False
pe̍h-pû-á,白匏仔,16,pe̍h-pû-á,peh8pu5a2,peh8pu5a2,ㄅㆤㆷ̇ㄅㄨˊㄚˋ,,pehpua,pehpua,ㄅㆤㆷㄅㄨㄚ,,ppa,ppa,ㄅㄅㄚ,,True,False
pe̍h-kāu-phoh,白厚朴,16,pe̍h-kāu-phoh,peh8kau7phoh4,peh8kau7phoh4,ㄅㆤㆷ̇ㄍㄠ˫ㄆㄛㆷ,,pehkauphoh,pehkauphoh,ㄅㆤㆷㄍㄠㄆㄛㆷ,,pkp,pkp,ㄅㄍㄆ,,True,False
pe̍h-poo-kiunn,白埔姜,16,pe̍h-po͘-kiuⁿ,peh8poo1kiunn1,peh8poo1kiunn1,ㄅㆤㆷ̇ㄅㆦㄍㄧㆫ,,pehpookiunn,pehpookiunn,ㄅㆤㆷㄅㆦㄍㄧㆫ,,ppk,ppk,ㄅㄅㄍ,,True,False
pe̍h-khun-tsháu,白昆草,16,pe̍h-khun-chháu,peh8khun1tshau2,peh8khun1chhau2,ㄅㆤㆷ̇ㄎㄨㄣㄘㄠˋ,,pehkhuntshau,pehkhunchhau,ㄅㆤㆷㄎㄨㄣㄘㄠ,,pkt,pkc,ㄅㄎㄘ,,True,False
pe̍h-tshîng-peh,白松柏,16,pe̍h-chhêng-peh,peh8tshing5peh4,peh8chheng5peh4,ㄅㆤㆷ̇ㄑㄧㄥˊㄅㆤㆷ,,pehtshingpeh,pehchhengpeh,ㄅㆤㆷㄑㄧㄥㄅㆤㆷ,,ptp,pcp,ㄅㄑㄅ,,True,False
pe̍h-káu-tsan,白校櫕,16,pe̍h-káu-chan,peh8kau2tsan1,peh8kau2chan1,ㄅㆤㆷ̇ㄍㄠˋㄗㄢ,,pehkautsan,pehkauchan,ㄅㆤㆷㄍㄠㄗㄢ,,pkt,pkc,ㄅㄍㄗ,,True,False
pe̍h-tshiū-á,白樹仔,16,pe̍h-chhiū-á,peh8tshiu7a2,peh8chhiu7a2,ㄅㆤㆷ̇ㄑㄧㄨ˫ㄚˋ,,pehtshiua,pehchhiua,ㄅㆤㆷㄑㄧㄨㄚ,,pta,pca,ㄅㄑㄚ,,True,False
pe̍h-sia̍h-liû,白石榴,16,pe̍h-sia̍h-liû,peh8siah8liu5,peh8siah8liu5,ㄅㆤㆷ̇ㄒㄧㄚㆷ̇ㄌㄧㄨˊ,,pehsiahliu,pehsiahliu,ㄅㆤㆷㄒㄧㄚㆷㄌㄧㄨ,,psl,psl,ㄅㄒㄌ,,True,False
pe̍h-tsí-soo,白紫蘇,16,pe̍h-chí-so͘,peh8tsi2soo1,peh8chi2soo1,ㄅㆤㆷ̇ㄐㄧˋㄙㆦ,,pehtsisoo,pehchisoo,ㄅㆤㆷㄐㄧㄙㆦ,,pts,pcs,ㄅㄐㄙ,,True,False
pe̍h-bah-iū,白肉柚,16,pe̍h-bah-iū,peh8bah4iu7,peh8bah4iu7,ㄅㆤㆷ̇ㆠㄚㆷㄧㄨ˫,,pehbahiu,pehbahiu,ㄅㆤㆷㆠㄚㆷㄧㄨ,,pbi,pbi,ㄅㆠㄧ,,True,False
pe̍h-bah-tshîng,白肉榕,16,pe̍h-bah-chhêng,peh8bah4tshing5,peh8bah4chheng5,ㄅㆤㆷ̇ㆠㄚㆷㄑㄧㄥˊ,,pehbahtshing,pehbahchheng,ㄅㆤㆷㆠㄚㆷㄑㄧㄥ,,pbt,pbc,ㄅㆠㄑ,,True,False
pe̍h-bah-tāu,白肉豆,16,pe̍h-bah-tāu,peh8bah4tau7,peh8bah4tau7,ㄅㆤㆷ̇ㆠㄚㆷㄉㄠ˫,,pehbahtau,pehbahtau,ㄅㆤㆷㆠㄚㆷㄉㄠ,,pbt,pbt,ㄅㆠㄉ,,True,False
pe̍h-hue-tsháu,白花草,16,pe̍h-hoe-chháu,peh8hue1tshau2,peh8hoe1chhau2,ㄅㆤㆷ̇ㄏㄨㆤㄘㄠˋ,,pehhuetshau,pehhoechhau,ㄅㆤㆷㄏㄨㆤㄘㄠ,,pht,phc,ㄅㄏㄘ,,True,False
pe̍h-khóo-thiāu,白苦柱,16,pe̍h-khó͘-thiāu,peh8khoo2thiau7,peh8khoo2thiau7,ㄅㆤㆷ̇ㄎㆦˋㄊㄧㄠ˫,,pehkhoothiau,pehkhoothiau,ㄅㆤㆷㄎㆦㄊㄧㄠ,,pkt,pkt,ㄅㄎㄊ,,True,False
pe̍h-kiok-hue,白菊花,16,pe̍h-kiok-hoe,peh8kiok4hue1,peh8kiok4hoe1,ㄅㆤㆷ̇ㄍㄧㆦㆻㄏㄨㆤ,,pehkiokhue,pehkiokhoe,ㄅㆤㆷㄍㄧㆦㆻㄏㄨㆤ,,pkh,pkh,ㄅㄍㄏ,,True,False
pe̍h-pi-sián,白萆蘚,16,pe̍h-pi-sián,peh8pi1sian2,peh8pi1sian2,ㄅㆤㆷ̇ㄅㄧㄒㄧㄢˋ,,pehpisian,pehpisian,ㄅㆤㆷㄅㄧㄒㄧㄢ,,pps,pps,ㄅㄅㄒ,,True,False
pe̍h-hio̍h-ē,白葉下,16,pe̍h-hio̍h-ē,peh8hioh8e7,peh8hioh8e7,ㄅㆤㆷ̇ㄏㄧㄛㆷ̇ㆤ˫,,pehhiohe,pehhiohe,ㄅㆤㆷㄏㄧㄛㆷㆤ,,phe,phe,ㄅㄏㆤ,,True,False
pe̍h-hio̍h-á,白葉仔,16,pe̍h-hio̍h-á,peh8hioh8a2,peh8hioh8a2,ㄅㆤㆷ̇ㄏㄧㄛㆷ̇ㄚˋ,,pehhioha,pehhioha,ㄅㆤㆷㄏㄧㄛㆷㄚ,,pha,pha,ㄅㄏㄚ,,True,False
pe̍h-hio̍h-iū,白葉柚,16,pe̍h-hio̍h-iū,peh8hioh8iu7,peh8hioh8iu7,ㄅㆤㆷ̇ㄏㄧㄛㆷ̇ㄧㄨ˫,,pehhiohiu,pehhiohiu,ㄅㆤㆷㄏㄧㄛㆷㄧㄨ,,phi,phi,ㄅㄏㄧ,,True,False
pe̍h-tsi̍t-lê,白蒺藜,16,pe̍h-chi̍t-lê,peh8tsit8le5,peh8chit8le5,ㄅㆤㆷ̇ㄐㄧㆵ̇ㄌㆤˊ,,pehtsitle,pehchitle,ㄅㆤㆷㄐㄧㆵㄌㆤ,,ptl,pcl,ㄅㄐㄌ,,True,False
peh-tsû-nn̂g,白薯榔,16,peh-chû-nn̂g,peh4tsu5nng5,peh4chu5nng5,ㄅㆤㆷㄗㄨˊㄋㆭˊ,,pehtsunng,pehchunng,ㄅㆤㆷㄗㄨㄋㆭ,,ptn,pcn,ㄅㄗㄋ,,True,False
pe̍h-hiong-hù,白香附,16,pe̍h-hiong-hù,peh8hiong1hu3,peh8hiong1hu3,ㄅㆤㆷ̇ㄏㄧㆲㄏㄨ˪,,pehhionghu,pehhionghu,ㄅㆤㆷㄏㄧㆲㄏㄨ,,phh,phh,ㄅㄏㄏ,,True,False
pe̍h-bé-sái,白馬屎,16,pe̍h-bé-sái,peh8be2sai2,peh8be2sai2,ㄅㆤㆷ̇ㆠㆤˋㄙㄞˋ,,pehbesai,pehbesai,ㄅㆤㆷㆠㆤㄙㄞ,,pbs,pbs,ㄅㆠㄙ,,True,False
pe̍h-hōng-tshài,白鳳菜,16,pe̍h-hōng-chhài,peh8hong7tshai3,peh8hong7chhai3,ㄅㆤㆷ̇ㄏㆲ˫ㄘㄞ˪,,pehhongtshai,pehhongchhai,ㄅㆤㆷㄏㆲㄘㄞ,,pht,phc,ㄅㄏㄘ,,True,False
pe̍h-kue-kè,白鷄冠,16,pe̍h-koe-kè,peh8kue1ke3,peh8koe1ke3,ㄅㆤㆷ̇ㄍㄨㆤㄍㆤ˪,,pehkueke,pehkoeke,ㄅㆤㆷㄍㄨㆤㄍㆤ,,pkk,pkk,ㄅㄍㄍ,,True,False
pe̍h-kue-iû,白鷄油,16,pe̍h-koe-iû,peh8kue1iu5,peh8koe1iu5,ㄅㆤㆷ̇ㄍㄨㆤㄧㄨˊ,,pehkueiu,pehkoeiu,ㄅㆤㆷㄍㄨㆤㄧㄨ,,pki,pki,ㄅㄍㄧ,,True,False
pah-ji̍t-tsháu,百日草,16,pah-ji̍t-chháu,pah4jit8tshau2,pah4jit8chhau2,ㄅㄚㆷㆢㄧㆵ̇ㄘㄠˋ,,pahjittshau,pahjitchhau,ㄅㄚㆷㆢㄧㆵㄘㄠ,,pjt,pjc,ㄅㆢㄘ,,True,False
pah-jit-tshinn,百日青,16,pah-jit-chhiⁿ,pah4jit4tshinn1,pah4jit4chhinn1,ㄅㄚㆷㆢㄧㆵㄑㆪ,,pahjittshinn,pahjitchhinn,ㄅㄚㆷㆢㄧㆵㄑㆪ,,pjt,pjc,ㄅㆢㄑ,,True,True
hông-tè-tāu,皇帝豆,16,hông-tè-tāu,hong5te3tau7,hong5te3tau7,ㄏㆲˊㄉㆤ˪ㄉㄠ˫,,hongtetau,hongtetau,ㄏㆲㄉㆤㄉㄠ,,htt,htt,ㄏㄉㄉ,,True,False
ah-bú-tsháu,益母草,16,ah-bú-chháu,ah4bu2tshau2,ah4bu2chhau2,ㄚㆷㆠㄨˋㄘㄠˋ,,ahbutshau,ahbuchhau,ㄚㆷㆠㄨㄘㄠ,,abt,abc,ㄚㆠㄘ,,True,True
hiong-si-siū,相思樹,16,hiong-si-siū,hiong1si1siu7,hiong1si1siu7,ㄏㄧㆲㄒㄧㄒㄧㄨ˫,,hiongsisiu,hiongsisiu,ㄏㄧㆲㄒㄧㄒㄧㄨ,,hss,hss,ㄏㄒㄒ,,True,False
siunn-su-tsháu,相思草,16,siuⁿ-su-chháu,siunn1su1tshau2,siunn1su1chhau2,ㄒㄧㆫㄙㄨㄘㄠˋ,,siunnsutshau,siunnsuchhau,ㄒㄧㆫㄙㄨㄘㄠ,,sst,ssc,ㄒㄙㄘ,,True,False
tsin-hong-tîn,真風藤,16,chin-hong-tîn,tsin1hong1tin5,chin1hong1tin5,ㄐㄧㄣㄏㆲㄉㄧㄣˊ,,tsinhongtin,chinhongtin,ㄐㄧㄣㄏㆲㄉㄧㄣ,,tht,cht,ㄐㄏㄉ,,True,False
tsìnn-tik-á,矢竹仔,16,chìⁿ-tek-á,tsinn3tik4a2,chinn3tek4a2,ㄐㆪ˪ㄉㄧㆻㄚˋ,,tsinntika,chinnteka,ㄐㆪㄉㄧㆻㄚ,,tta,cta,ㄐㄉㄚ,,True,False
tsio̍h-lîng-kū,石柃舅,16,chio̍h-lêng-kū,tsioh8ling5ku7,chioh8leng5ku7,ㄐㄧㄛㆷ̇ㄌㄧㄥˊㄍㄨ˫,,tsiohlingku,chiohlengku,ㄐㄧㄛㆷㄌㄧㄥㄍㄨ,,tlk,clk,ㄐㄌㄍ,,True,False
tsio̍h-tsu-á,石珠仔,16,chio̍h-chu-á,tsioh8tsu1a2,chioh8chu1a2,ㄐㄧㄛㆷ̇ㄗㄨㄚˋ,,tsiohtsua,chiohchua,ㄐㄧㄛㆷㄗㄨㄚ,,tta,cca,ㄐㄗㄚ,,True,False
tsio̍h-tik-á,石竹仔,16,chio̍h-tek-á,tsioh8tik4a2,chioh8tek4a2,ㄐㄧㄛㆷ̇ㄉㄧㆻㄚˋ,,tsiohtika,chiohteka,ㄐㄧㄛㆷㄉㄧㆻㄚ,,tta,cta,ㄐㄉㄚ,,True,False
tsio̍h-tshiong-pô,石菖蒲,16,chio̍h-chhiong-pô,tsioh8tshiong1po5,chioh8chhiong1po5,ㄐㄧㄛㆷ̇ㄑㄧㆲㄅㄛˊ,,tsiohtshiongpo,chiohchhiongpo,ㄐㄧㄛㆷㄑㄧㆲㄅㄛ,,ttp,ccp,ㄐㄑㄅ,,True,False
tsio̍h-tshiong-pôo,石菖蒲,16,chio̍h-chhiong-pô͘,tsioh8tshiong1poo5,chioh8chhiong1poo5,ㄐㄧㄛㆷ̇ㄑㄧㆲㄅㆦˊ,,tsiohtshiongpoo,chiohchhiongpoo,ㄐㄧㄛㆷㄑㄧㆲㄅㆦ,,ttp,ccp,ㄐㄑㄅ,,True,False
tsio̍h-thâu-iū,石頭柚,16,chio̍h-thâu-iū,tsioh8thau5iu7,chioh8thau5iu7,ㄐㄧㄛㆷ̇ㄊㄠˊㄧㄨ˫,,tsiohthauiu,chiohthauiu,ㄐㄧㄛㆷㄊㄠㄧㄨ,,tti,cti,ㄐㄊㄧ,,True,False
phuà-pòo-tsí,破布子,16,phòa-pò͘-chí,phua3poo3tsi2,phoa3poo3chi2,ㄆㄨㄚ˪ㄅㆦ˪ㄐㄧˋ,,phuapootsi,phoapoochi,ㄆㄨㄚㄅㆦㄐㄧ,,ppt,ppc,ㄆㄅㄐ,,True,True
phuà-pòo-bo̍k,破布木,16,phòa-pò͘-bo̍k,phua3poo3bok8,phoa3poo3bok8,ㄆㄨㄚ˪ㄅㆦ˪ㆠㆦㆻ̇,,phuapoobok,phoapoobok,ㄆㄨㄚㄅㆦㆠㆦㆻ,,ppb,ppb,ㄆㄅㆠ,,True,True
uánn-kong-hue,碗公花,16,óaⁿ-kong-hoe,uann2kong1hue1,oann2kong1hoe1,ㄨㆩˋㄍㆲㄏㄨㆤ,,uannkonghue,oannkonghoe,ㄨㆩㄍㆲㄏㄨㆤ,,ukh,okh,ㄨㄍㄏ,,True,False
uánn-lîng-tshiū,碗龍樹,16,óaⁿ-lêng-chhiū,uann2ling5tshiu7,oann2leng5chhiu7,ㄨㆩˋㄌㄧㄥˊㄑㄧㄨ˫,,uannlingtshiu,oannlengchhiu,ㄨㆩㄌㄧㄥㄑㄧㄨ,,ult,olc,ㄨㄌㄑ,,True,False
mn̂g-huē-bak,磅蟹目,16,mn̂g-hōe-bak,mng5hue7bak4,mng5hoe7bak4,ㄇㆭˊㄏㄨㆤ˫ㆠㄚㆻ,,mnghuebak,mnghoebak,ㄇㆭㄏㄨㆤㆠㄚㆻ,,mhb,mhb,ㄇㄏㆠ,,True,False
mn̂g-huē-tsháu,磅蟹草,16,mn̂g-hōe-chháu,mng5hue7tshau2,mng5hoe7chhau2,ㄇㆭˊㄏㄨㆤ˫ㄘㄠˋ,,mnghuetshau,mnghoechhau,ㄇㆭㄏㄨㆤㄘㄠ,,mht,mhc,ㄇㄏㄘ,,True,False
bō-á-tsháu,磨仔草,16,bō-á-chháu,bo7a2tshau2,bo7a2chhau2,ㆠㄛ˫ㄚˋㄘㄠˋ,,boatshau,boachhau,ㆠㄛㄚㄘㄠ,,bat,bac,ㆠㄚㄘ,,True,False
hok-tsiu-sam,福州杉,16,hok-chiu-sam,hok4tsiu1sam1,hok4chiu1sam1,ㄏㆦㆻㄐㄧㄨㄙㆰ,,hoktsiusam,hokchiusam,ㄏㆦㆻㄐㄧㄨㄙㆰ,,hts,hcs,ㄏㄐㄙ,,True,False
tsu̍t-bí-tsháu,秫米草,16,chu̍t-bí-chháu,tsut8bi2tshau2,chut8bi2chhau2,ㄗㄨㆵ̇ㆠㄧˋㄘㄠˋ,,tsutbitshau,chutbichhau,ㄗㄨㆵㆠㄧㄘㄠ,,tbt,cbc,ㄗㆠㄘ,,True,False
hi-tshiam-tsháu,稀簽草,16,hi-chhiam-chháu,hi1tshiam1tshau2,hi1chhiam1chhau2,ㄏㄧㄑㄧㆰㄘㄠˋ,,hitshiamtshau,hichhiamchhau,ㄏㄧㄑㄧㆰㄘㄠ,,htt,hcc,ㄏㄑㄘ,,True,False
tshuan-san-liông,穿山龍,16,chhoan-san-liông,tshuan1san1liong5,chhoan1san1liong5,ㄘㄨㄢㄙㄢㄌㄧㆲˊ,,tshuansanliong,chhoansanliong,ㄘㄨㄢㄙㄢㄌㄧㆲ,,tsl,csl,ㄘㄙㄌ,,True,False
tik-á-tshài,竹仔菜,16,tek-á-chhài,tik4a2tshai3,tek4a2chhai3,ㄉㄧㆻㄚˋㄘㄞ˪,,tikatshai,tekachhai,ㄉㄧㆻㄚㄘㄞ,,tat,tac,ㄉㄚㄘ,,True,False
tik-á-hio̍h,竹仔葉,16,tek-á-hio̍h,tik4a2hioh8,tek4a2hioh8,ㄉㄧㆻㄚˋㄏㄧㄛㆷ̇,,tikahioh,tekahioh,ㄉㄧㆻㄚㄏㄧㄛㆷ,,tah,tah,ㄉㄚㄏ,,True,False
tik-tsat-hông,竹節黃,16,tek-chat-hông,tik4tsat4hong5,tek4chat4hong5,ㄉㄧㆻㄗㄚㆵㄏㆲˊ,,tiktsathong,tekchathong,ㄉㄧㆻㄗㄚㆵㄏㆲ,,tth,tch,ㄉㄗㄏ,,True,False
tik-hio̍h-lâm,竹葉楠,16,tek-hio̍h-lâm,tik4hioh8lam5,tek4hioh8lam5,ㄉㄧㆻㄏㄧㄛㆷ̇ㄌㆰˊ,,tikhiohlam,tekhiohlam,ㄉㄧㆻㄏㄧㄛㆷㄌㆰ,,thl,thl,ㄉㄏㄌ,,True,False
pit-á-tsháu,筆仔草,16,pit-á-chháu,pit4a2tshau2,pit4a2chhau2,ㄅㄧㆵㄚˋㄘㄠˋ,,pitatshau,pitachhau,ㄅㄧㆵㄚㄘㄠ,,pat,pac,ㄅㄚㄘ,,True,False
pit-tâng-tshiū,筆筒樹,16,pit-tâng-chhiū,pit4tang5tshiu7,pit4tang5chhiu7,ㄅㄧㆵㄉㄤˊㄑㄧㄨ˫,,pittangtshiu,pittangchhiu,ㄅㄧㆵㄉㄤㄑㄧㄨ,,ptt,ptc,ㄅㄉㄑ,,True,False
pit-lô-tsí,筆羅子,16,pit-lô-chí,pit4lo5tsi2,pit4lo5chi2,ㄅㄧㆵㄌㄛˊㄐㄧˋ,,pitlotsi,pitlochi,ㄅㄧㆵㄌㄛㄐㄧ,,plt,plc,ㄅㄌㄐ,,True,False
kun-thâu-tik,筋頭竹,16,kun-thâu-tek,kun1thau5tik4,kun1thau5tek4,ㄍㄨㄣㄊㄠˊㄉㄧㆻ,,kunthautik,kunthautek,ㄍㄨㄣㄊㄠㄉㄧㆻ,,ktt,ktt,ㄍㄊㄉ,,True,False
tsat-tsat-âng,節節紅,16,chat-chat-âng,tsat4tsat4ang5,chat4chat4ang5,ㄗㄚㆵㄗㄚㆵㄤˊ,,tsattsatang,chatchatang,ㄗㄚㆵㄗㄚㆵㄤ,,tta,cca,ㄗㄗㄤ,,True,False
tsat-tsat-hue,節節花,16,chat-chat-hoe,tsat4tsat4hue1,chat4chat4hoe1,ㄗㄚㆵㄗㄚㆵㄏㄨㆤ,,tsattsathue,chatchathoe,ㄗㄚㆵㄗㄚㆵㄏㄨㆤ,,tth,cch,ㄗㄗㄏ,,True,False
tîn-tik-á,籐竹仔,16,tîn-tek-á,tin5tik4a2,tin5tek4a2,ㄉㄧㄣˊㄉㄧㆻㄚˋ,,tintika,tinteka,ㄉㄧㄣㄉㄧㆻㄚ,,tta,tta,ㄉㄉㄚ,,True,False
bí-nâ-tsháu,米籃草,16,bí-nâ-chháu,bi2na5tshau2,bi2na5chhau2,ㆠㄧˋㄋㄚˊㄘㄠˋ,,binatshau,binachhau,ㆠㄧㄋㄚㄘㄠ,,bnt,bnc,ㆠㄋㄘ,,True,False
tshoo-khng-á,粗糠仔,16,chho͘-khng-á,tshoo1khng1a2,chhoo1khng1a2,ㄘㆦㄎㆭㄚˋ,,tshookhnga,chhookhnga,ㄘㆦㄎㆭㄚ,,tka,cka,ㄘㄎㄚ,,True,False
tshoo-khng-kak,粗糠壳,16,chho͘-khng-kak,tshoo1khng1kak4,chhoo1khng1kak4,ㄘㆦㄎㆭㄍㄚㆻ,,tshookhngkak,chhookhngkak,ㄘㆦㄎㆭㄍㄚㆻ,,tkk,ckk,ㄘㄎㄍ,,True,False
pùn-ki-tîn,糞箕藤,16,pùn-ki-tîn,pun3ki1tin5,pun3ki1tin5,ㄅㄨㄣ˪ㄍㄧㄉㄧㄣˊ,,punkitin,punkitin,ㄅㄨㄣㄍㄧㄉㄧㄣ,,pkt,pkt,ㄅㄍㄉ,,True,True
