tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,sitbut,is_variant
suî-liú,垂柳,25,sûi-liú,sui5liu2,sui5liu2,ㄙㄨㄧˊㄌㄧㄨˋ,,suiliu,suiliu,ㄙㄨㄧㄌㄧㄨ,,sl,sl,ㄙㄌ,,True,False
poo-lûn,埔崙,25,po͘-lûn,poo1lun5,poo1lun5,ㄅㆦㄌㄨㄣˊ,,poolun,poolun,ㄅㆦㄌㄨㄣ,,pl,pl,ㄅㄌ,,True,False
poo-tiū,埔稻,25,po͘-tiū,poo1tiu7,poo1tiu7,ㄅㆦㄉㄧㄨ˫,,pootiu,pootiu,ㄅㆦㄉㄧㄨ,,pt,pt,ㄅㄉ,,True,False
hē-bê,夏粥,25,hē-bê,he7be5,he7be5,ㄏㆤ˫ㆠㆤˊ,,hebe,hebe,ㄏㆤㆠㆤ,,hb,hb,ㄏㆠ,,True,False
iā-ha̍p,夜合,25,iā-ha̍p,ia7hap8,ia7hap8,ㄧㄚ˫ㄏㄚㆴ̇,,iahap,iahap,ㄧㄚㄏㄚㆴ,,ih,ih,ㄧㄏ,,True,False
tuā-phànn,大冇,25,tōa-phàⁿ,tua7phann3,toa7phann3,ㄉㄨㄚ˫ㄆㆩ˪,,tuaphann,toaphann,ㄉㄨㄚㄆㆩ,,tp,tp,ㄉㄆ,,True,False
tuā-tsó,大棗,25,tōa-chó,tua7tso2,toa7cho2,ㄉㄨㄚ˫ㄗㄛˋ,,tuatso,toacho,ㄉㄨㄚㄗㄛ,,tt,tc,ㄉㄗ,,True,False
tuā-tshinn,大菁,25,tōa-chhiⁿ,tua7tshinn1,toa7chhinn1,ㄉㄨㄚ˫ㄑㆪ,,tuatshinn,toachhinn,ㄉㄨㄚㄑㆪ,,tt,tc,ㄉㄑ,,True,False
tuā-tshài,大菜,25,tōa-chhài,tua7tshai3,toa7chhai3,ㄉㄨㄚ˫ㄘㄞ˪,,tuatshai,toachhai,ㄉㄨㄚㄘㄞ,,tt,tc,ㄉㄘ,,True,False
tuā-phiô,大萍,25,tōa-phiô,tua7phio5,toa7phio5,ㄉㄨㄚ˫ㄆㄧㄛˊ,,tuaphio,toaphio,ㄉㄨㄚㄆㄧㄛ,,tp,tp,ㄉㄆ,,True,False
tuā-be̍h,大麥,25,tōa-be̍h,tua7beh8,toa7beh8,ㄉㄨㄚ˫ㆠㆤㆷ̇,,tuabeh,toabeh,ㄉㄨㄚㆠㆤㆷ,,tb,tb,ㄉㆠ,,True,False
thian-tsháu,天草,25,thian-chháu,thian1tshau2,thian1chhau2,ㄊㄧㄢㄘㄠˋ,,thiantshau,thianchhau,ㄊㄧㄢㄘㄠ,,tt,tc,ㄊㄘ,,True,False
siā-kan,射干,25,siā-kan,sia7kan1,sia7kan1,ㄒㄧㄚ˫ㄍㄢ,,siakan,siakan,ㄒㄧㄚㄍㄢ,,sk,sk,ㄒㄍ,,True,False
sió-tshinn,小菁,25,sió-chhiⁿ,sio2tshinn1,sio2chhinn1,ㄒㄧㄛˋㄑㆪ,,siotshinn,siochhinn,ㄒㄧㄛㄑㆪ,,st,sc,ㄒㄑ,,True,False
sió-be̍h,小麥,25,sió-be̍h,sio2beh8,sio2beh8,ㄒㄧㄛˋㆠㆤㆷ̇,,siobeh,siobeh,ㄒㄧㄛㆠㆤㆷ,,sb,sb,ㄒㆠ,,True,False
suann-nai,山奈,25,soaⁿ-nai,suann1nai1,soann1nai1,ㄙㄨㆩㄋㄞ,,suannnai,soannnai,ㄙㄨㆩㄋㄞ,,sn,sn,ㄙㄋ,,True,False
suann-sam,山杉,25,soaⁿ-sam,suann1sam1,soann1sam1,ㄙㄨㆩㄙㆰ,,suannsam,soannsam,ㄙㄨㆩㄙㆰ,,ss,ss,ㄙㄙ,,True,False
suann-khīng,山柏,25,soaⁿ-khēng,suann1khing7,soann1kheng7,ㄙㄨㆩㄎㄧㄥ˫,,suannkhing,soannkheng,ㄙㄨㆩㄎㄧㄥ,,sk,sk,ㄙㄎ,,True,False
suann-khī,山柿,25,soaⁿ-khī,suann1khi7,soann1khi7,ㄙㄨㆩㄎㄧ˫,,suannkhi,soannkhi,ㄙㄨㆩㄎㄧ,,sk,sk,ㄙㄎ,,True,False
