tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,itaigi
sái-khang,屎空,25,sái-khang,sai2khang,sai2khang,saikhang,saikhang,sk,sk,True
pîng-lâm,屏南,25,pêng-lâm,ping5lam5,peng5lam5,pinglam,penglam,pl,pl,True
tián-kua,展歌,25,tián-koa,tian2kua,tian2koa,tiankua,tiankoa,tk,tk,True
ban-tsik,屘叔,25,ban-chek,bantsik,banchek,bantsik,banchek,bt,bc,True
ban-koo,屘姑,25,ban-ko͘,bankoo,bankoo,bankoo,bankoo,bk,bk,True
tsân-hûn,層雲,25,chân-hûn,tsan5hun5,chan5hun5,tsanhun,chanhun,th,ch,True
sio̍k-tī,屬佇,25,sio̍k-tī,siok8ti7,siok8ti7,siokti,siokti,st,st,True
sio̍k-thok,屬託,25,sio̍k-thok,siok8thok,siok8thok,siokthok,siokthok,st,st,True
suann-lua̍h,山剌,25,soaⁿ-loa̍h,suannluah8,soannloah8,suannluah,soannloah,sl,sl,True
suann-phiânn,山坪,25,soaⁿ-phiâⁿ,suannphiann5,soannphiann5,suannphiann,soannphiann,sp,sp,True
suann-nāi,山奈,25,soaⁿ-nāi,suannnai7,soannnai7,suannnai,soannnai,sn,sn,True
san-sī,山寺,25,san-sī,sansi7,sansi7,sansi,sansi,ss,ss,True
suann-sī,山寺,25,soaⁿ-sī,suannsi7,soannsi7,suannsi,soannsi,ss,ss,True
suann-tsiam,山尖,25,soaⁿ-chiam,suanntsiam,soannchiam,suanntsiam,soannchiam,st,sc,True
suann-khàm,山崁,25,soaⁿ-khàm,suannkham3,soannkham3,suannkham,soannkham,sk,sk,True
suann-gâm,山巖,25,soaⁿ-gâm,suanngam5,soanngam5,suanngam,soanngam,sg,sg,True
suann-tué,山底,25,soaⁿ-tóe,suanntue2,soanntoe2,suanntue,soanntoe,st,st,True
suann-té,山底,25,soaⁿ-té,suannte2,soannte2,suannte,soannte,st,st,True
sian-tsa,山楂,25,sian-cha,siantsa,siancha,siantsa,siancha,st,sc,True
suann-tsuí,山水,25,soaⁿ-chúi,suanntsui2,soannchui2,suanntsui,soannchui,st,sc,True
suann-tshân,山田,25,soaⁿ-chhân,suanntshan5,soannchhan5,suanntshan,soannchhan,st,sc,True
san-té,山短,25,san-té,sante2,sante2,sante,sante,st,st,True
suann-tik,山竹,25,soaⁿ-tek,suanntik,soanntek,suanntik,soanntek,st,st,True
suann-tsiann,山精,25,soaⁿ-chiaⁿ,suanntsiann,soannchiann,suanntsiann,soannchiann,st,sc,True
suann-tsinn,山精,25,soaⁿ-chiⁿ,suanntsinn,soannchinn,suanntsinn,soannchinn,st,sc,True
suann-be̍h,山脈,25,soaⁿ-be̍h,suannbeh8,soannbeh8,suannbeh,soannbeh,sb,sb,True
suann-sai,山西,25,soaⁿ-sai,suannsai,soannsai,suannsai,soannsai,ss,ss,True
suann-khok,山觳,25,soaⁿ-khok,suannkhok,soannkhok,suannkhok,soannkhok,sk,sk,True
suann-niau,山貓,25,soaⁿ-niau,suannniau,soannniau,suannniau,soannniau,sn,sn,True
suann-muî,山門,25,soaⁿ-mûi,suannmui5,soannmui5,suannmui,soannmui,sm,sm,True
suann-īnn,山院,25,soaⁿ-īⁿ,suanninn7,soanninn7,suanninn,soanninn,si,si,True
suann-niā,山陵,25,soaⁿ-niā,suannnia7,soannnia7,suannnia,soannnia,sn,sn,True
suann-tíng,山頂,25,soaⁿ-téng,suannting2,soannteng2,suannting,soannteng,st,st,True
suann-thâu,山頭,25,soaⁿ-thâu,suannthau5,soannthau5,suannthau,soannthau,st,st,True
sam-siau,山魈,25,sam-siau,samsiau,samsiau,samsiau,samsiau,ss,ss,True
kî-hū,岐阜,25,kî-hū,ki5hu7,ki5hu7,kihu,kihu,kh,kh,True
kong-san,岡山,25,kong-san,kongsan,kongsan,kongsan,kongsan,ks,ks,True
kong-suann,岡山,25,kong-soaⁿ,kongsuann,kongsoann,kongsuann,kongsoann,ks,ks,True
giâm-tsionn,岩漿,25,giâm-chioⁿ,giam5tsionn,giam5chionn,giamtsionn,giamchionn,gt,gc,True
giâm-tsiunn,岩漿,25,giâm-chiuⁿ,giam5tsiunn,giam5chiunn,giamtsiunn,giamchiunn,gt,gc,True
gâm-tsionn,岩漿,25,gâm-chioⁿ,gam5tsionn,gam5chionn,gamtsionn,gamchionn,gt,gc,True
gâm-iûnn,岩熔,25,gâm-iûⁿ,gam5iunn5,gam5iunn5,gamiunn,gamiunn,gi,gi,True
tāi-san,岱山,25,tāi-san,tai7san,tai7san,taisan,taisan,ts,ts,True
bā-táu,峇斗,25,bā-táu,ba7tau2,ba7tau2,batau,batau,bt,bt,True
bâ-lí,峇里,25,bâ-lí,ba5li2,ba5li2,bali,bali,bl,bl,True
tó-kûn,島群,25,tó-kûn,to2kun5,to2kun5,tokun,tokun,tk,tk,True
tóo-kûn,島群,25,tó͘-kûn,too2kun5,too2kun5,tookun,tookun,tk,tk,True
khàm-hā,崁下,25,khàm-hā,kham3ha7,kham3ha7,khamha,khamha,kh,kh,True
khàm-pōo,崁步,25,khàm-pō͘,kham3poo7,kham3poo7,khampoo,khampoo,kp,kp,True
khàm-kuà,崁蓋,25,khàm-kòa,kham3kua3,kham3koa3,khamkua,khamkoa,kk,kk,True
khàm-kha,崁跤,25,khàm-kha,kham3kha,kham3kha,khamkha,khamkha,kk,kk,True
khàm-bīn,崁面,25,khàm-bīn,kham3bin7,kham3bin7,khambin,khambin,kb,kb,True
kiā-lūn,崎崙,25,kiā-lūn,kia7lun7,kia7lun7,kialun,kialun,kl,kl,True
kiā-lōo,崎路,25,kiā-lō͘,kia7loo7,kia7loo7,kialoo,kialoo,kl,kl,True
pang-phiânn,崩坪,25,pang-phiâⁿ,pangphiann5,pangphiann5,pangphiann,pangphiann,pp,pp,True
pang-suann,崩山,25,pang-soaⁿ,pangsuann,pangsoann,pangsuann,pangsoann,ps,ps,True
pang-sim,崩心,25,pang-sim,pangsim,pangsim,pangsim,pangsim,ps,ps,True
pang-tshuah,崩疶,25,pang-chhoah,pangtshuah,pangchhoah,pangtshuah,pangchhoah,pt,pc,True
sīng-tsiu,嵊州,25,sēng-chiu,sing7tsiu,seng7chiu,singtsiu,sengchiu,st,sc,True
tshuan-phóo,川普,25,chhoan-phó͘,tshuanphoo2,chhoanphoo2,tshuanphoo,chhoanphoo,tp,cp,True
tsiu-tiúnn,州長,25,chiu-tiúⁿ,tsiutiunn2,chiutiunn2,tsiutiunn,chiutiunn,tt,ct,True
sun̂-kíng,巡境,25,sûn-kéng,sun5king2,sun5keng2,sunking,sunkeng,sk,sk,True
sûn-tsng,巡庄,25,sûn-chng,sun5tsng,sun5chng,suntsng,sunchng,st,sc,True
kong-tshe,工尺,25,kong-chhe,kongtshe,kongchhe,kongtshe,kongchhe,kt,kc,True
tsó-tìn,左鎮,25,chó-tìn,tso2tin3,cho2tin3,tsotin,chotin,tt,ct,True
khiáu-hóo,巧虎,25,khiáu-hó͘,khiau2hoo2,khiau2hoo2,khiauhoo,khiauhoo,kh,kh,True
kī-jîn,巨人,25,kī-jîn,ki7jin5,ki7jin5,kijin,kijin,kj,kj,True
kī-hē,巨蟹,25,kī-hē,ki7he7,ki7he7,kihe,kihe,kh,kh,True
bû-i,巫醫,25,bû-i,bu5i,bu5i,bui,bui,bi,bi,True
tsua̍h-bī,差味,25,choa̍h-bī,tsuah8bi7,choah8bi7,tsuahbi,choahbi,tb,cb,True
tsha-tshò,差錯,25,chha-chhò,tshatsho3,chhachho3,tshatsho,chhachho,tt,cc,True
kí-hāi,己亥,25,kí-hāi,ki2hai7,ki2hai7,kihai,kihai,kh,kh,True
pa-hí,巴喜,25,pa-hí,pahi2,pahi2,pahi,pahi,ph,ph,True
bá-suh,巴士,25,bá-suh,ba2suh,ba2suh,basuh,basuh,bs,bs,True
pa-kiat,巴結,25,pa-kiat,pakiat,pakiat,pakiat,pakiat,pk,pk,True
pa-la̍uh,巴落,25,pa-lau̍h,palauh8,palauh8,palauh,palauh,pl,pl,True
tshī-á,市仔,25,chhī-á,tshi7a2,chhi7a2,tshia,chhia,ta,ca,True
tshī-tiônn,市場,25,chhī-tiôⁿ,tshi7tionn5,chhi7tionn5,tshitionn,chhitionn,tt,ct,True
pòo-phâng,布帆,25,pò͘-phâng,poo3phang5,poo3phang5,poophang,poophang,pp,pp,True
pòo-pînn,布棚,25,pò͘-pîⁿ,poo3pinn5,poo3pinn5,poopinn,poopinn,pp,pp,True
pòo-phâng,布篷,25,pò͘-phâng,poo3phang5,poo3phang5,poophang,poophang,pp,pp,True
phâng-tshù,帆厝,25,phâng-chhù,phang5tshu3,phang5chhu3,phangtshu,phangchhu,pt,pc,True
hi-iú,希有,25,hi-iú,hiiu2,hiiu2,hiiu,hiiu,hi,hi,True
phè-á,帕仔,25,phè-á,phe3a2,phe3a2,phea,phea,pa,pa,True
phè-bué,帕尾,25,phè-bóe,phe3bue2,phe3boe2,phebue,pheboe,pb,pb,True
phè-bé,帕尾,25,phè-bé,phe3be2,phe3be2,phebe,phebe,pb,pb,True
pe̍h-liû,帛琉,25,pe̍h-liû,peh8liu5,peh8liu5,pehliu,pehliu,pl,pl,True
pe̍k-liû,帛琉,25,pe̍k-liû,pek8liu5,pek8liu5,pekliu,pekliu,pl,pl,True
tè-khok,帝嚳,25,tè-khok,te3khok,te3khok,tekhok,tekhok,tk,tk,True
tè-giâu,帝堯,25,tè-giâu,te3giau5,te3giau5,tegiau,tegiau,tg,tg,True
tè-sùn,帝舜,25,tè-sùn,te3sun3,te3sun3,tesun,tesun,ts,ts,True
su-tiūnn,師丈,25,su-tiūⁿ,sutiunn7,sutiunn7,sutiunn,sutiunn,st,st,True
su-ong,師翁,25,su-ong,suong,suong,suong,suong,so,so,True
