tl,hanzi,frequency,poj,tl_num,poj_num
ta̍h-phuà,踏破,25,ta̍h-phòa,tah8phua3,tah8phoa3
ta̍h-ngē,踏硬,25,ta̍h-ngē,tah8nge7,tah8nge7
ta̍h-tuì,踏碓,25,ta̍h-tùi,tah8tui3,tah8tui3
ta̍h-thām,踏窞,25,ta̍h-thām,tah8tham7,tah8tham7
ta̍h-soh,踏索,25,ta̍h-soh,tah8soh4,tah8soh4
ta̍h-thut,踏脫,25,ta̍h-thut,tah8thut4,tah8thut4
ta̍h-tshu,踏趨,25,ta̍h-chhu,tah8tshu1,tah8chhu1
ta̍h-khiau,踏蹺,25,ta̍h-khiau,tah8khiau1,tah8khiau1
ta̍h-hîng,踏雄,25,ta̍h-hêng,tah8hing5,tah8heng5
ta̍h-tshenn,踏青,25,ta̍h-chheⁿ,tah8tshenn1,tah8chhenn1
ta̍h-tian,踏顛,25,ta̍h-tian,tah8tian1,tah8tian1
tshia̍k-kâu,踔猴,25,chhia̍k-kâu,tshiak8kau5,chhiak8kau5
lìng-phuē,踜被,25,lèng-phōe,ling3phue7,leng3phoe7
liòng-tsáu,踜走,25,liòng-cháu,liong3tsau2,liong3chau2
lìng-sin,踜身,25,lèng-sin,ling3sin1,leng3sin1
lìng-khui,踜開,25,lèng-khui,ling3khui1,leng3khui1
khû-kha,踞腳,25,khû-kha,khu5kha1,khu5kha1
that-phuē,踢被,25,that-phōe,that4phue7,that4phoe7
that-kuán,踢館,25,that-koán,that4kuan2,that4koan2
tsik-siong,踧傷,25,chek-siong,tsik4siong1,chek4siong1
tiàm-lè,踮leh,25,tiàm-lè,tiam3le3,tiam3le3
tiàm-khang,踮孔,25,tiàm-khang,tiam3khang1,tiam3khang1
tiàm-kha,踮腳,25,tiàm-kha,tiam3kha1,tiam3kha1
thún-ta̍h,踳踏,25,thún-ta̍h,thun2tah8,thun2tah8
ióng-io̍k,踴躍,25,ióng-io̍k,iong2iok8,iong2iok8
tshím-khuànn,踸看,25,chhím-khòaⁿ,tshim2khuann3,chhim2khoann3
tshím-kha,踸腳,25,chhím-kha,tshim2kha1,chhim2kha1
