tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tsuân-bûn,全文,25,choân-bûn,tsuan5bun5,choan5bun5,tsuanbun,choanbun
tsuân-sin,全新,25,choân-sin,tsuan5sin1,choan5sin1,tsuansin,choansin
tsuân-bîn,全民,25,choân-bîn,tsuan5bin5,choan5bin5,tsuanbin,choanbin
tsuân-liân,全然,25,choân-liân,tsuan5lian5,choan5lian5,tsuanlian,choanlian
tsuân-kiû,全球,25,choân-kiû,tsuan5kiu5,choan5kiu5,tsuankiu,choankiu
tsuân-phiò,全票,25,choân-phiò,tsuan5phio3,choan5phio3,tsuanphio,choanphio
tsuân-thîng,全程,25,choân-thêng,tsuan5thing5,choan5theng5,tsuanthing,choantheng
tsuân-tîng,全程,25,choân-têng,tsuan5ting5,choan5teng5,tsuanting,choanteng
tsuân-tsit,全職,25,choân-chit,tsuan5tsit4,choan5chit4,tsuantsit,choanchit
tsuân-lîng,全能,25,choân-lêng,tsuan5ling5,choan5leng5,tsuanling,choanleng
tsuân-sin,全身,25,choân-sin,tsuan5sin1,choan5sin1,tsuansin,choansin
tsuân-thé,全體,25,choân-thé,tsuan5the2,choan5the2,tsuanthe,choanthe
lióng-tsuân,兩全,25,lióng-choân,liong2tsuan5,liong2choan5,liongtsuan,liongchoan
lióng-huānn,兩岸,25,lióng-hōaⁿ,liong2huann7,liong2hoann7,lionghuann,lionghoann
lióng-sìng,兩性,25,lióng-sèng,liong2sing3,liong2seng3,liongsing,liongseng
lióng-tshe,兩棲,25,lióng-chhe,liong2tshe1,liong2chhe1,liongtshe,liongchhe
nn̄g-pîng,兩爿,25,nn̄g-pêng,nng7ping5,nng7peng5,nngping,nngpeng
pat-sian,八仙,25,pat-sian,pat4sian1,pat4sian1,patsian,patsian
peh-tóo,八堵,25,peh-tó͘,peh4too2,peh4too2,pehtoo,pehtoo
pueh-lī,八字,25,poeh-lī,pueh4li7,poeh4li7,puehli,poehli
pat-tin,八珍,25,pat-tin,pat4tin1,pat4tin1,pattin,pattin
pat-kiok,八腳,25,pat-kiok,pat4kiok4,pat4kiok4,patkiok,patkiok
peh-kak,八角,25,peh-kak,peh4kak4,peh4kak4,pehkak,pehkak
pueh-kak,八角,25,poeh-kak,pueh4kak4,poeh4kak4,puehkak,poehkak
kong-tsú,公主,25,kong-chú,kong1tsu2,kong1chu2,kongtsu,kongchu
kong-sū,公事,25,kong-sū,kong1su7,kong1su7,kongsu,kongsu
kong-pòo,公佈,25,kong-pò͘,kong1poo3,kong1poo3,kongpoo,kongpoo
kong-tsè,公債,25,kong-chè,kong1tse3,kong1che3,kongtse,kongche
kong-guân,公元,25,kong-goân,kong1guan5,kong1goan5,kongguan,konggoan
kong-pun,公分,25,kong-pun,kong1pun1,kong1pun1,kongpun,kongpun
kong-kò,公告,25,kong-kò,kong1ko3,kong1ko3,kongko,kongko
kong-tùn,公噸,25,kong-tùn,kong1tun3,kong1tun3,kongtun,kongtun
kong-poo,公埔,25,kong-po͘,kong1poo1,kong1poo1,kongpoo,kongpoo
kong-pò,公報,25,kong-pò,kong1po3,kong1po3,kongpo,kongpo
kong-bōng,公墓,25,kong-bōng,kong1bong7,kong1bong7,kongbong,kongbong
kong-tāi,公大,25,kong-tāi,kong1tai7,kong1tai7,kongtai,kongtai
kong-pô,公婆,25,kong-pô,kong1po5,kong1po5,kongpo,kongpo
kong-tsú,公子,25,kong-chú,kong1tsu2,kong1chu2,kongtsu,kongchu
kong-sun,公孫,25,kong-sun,kong1sun1,kong1sun1,kongsun,kongsun
kong-an,公安,25,kong-an,kong1an1,kong1an1,kongan,kongan
kong-ka,公家,25,kong-ka,kong1ka1,kong1ka1,kongka,kongka
kong-gū,公寓,25,kong-gū,kong1gu7,kong1gu7,konggu,konggu
kong-ú,公寓,25,kong-ú,kong1u2,kong1u2,kongu,kongu
kong-pînn,公平,25,kong-pîⁿ,kong1pinn5,kong1pinn5,kongpinn,kongpinn
kong-thiann,公廳,25,kong-thiaⁿ,kong1thiann1,kong1thiann1,kongthiann,kongthiann
kong-sik,公式,25,kong-sek,kong1sik4,kong1sek4,kongsik,kongsek
kong-sóo,公所,25,kong-só͘,kong1soo2,kong1soo2,kongsoo,kongsoo
kong-tâu,公投,25,kong-tâu,kong1tau5,kong1tau5,kongtau,kongtau
kong-bûn,公文,25,kong-bûn,kong1bun5,kong1bun5,kongbun,kongbun
kong-tso̍k,公族,25,kong-cho̍k,kong1tsok8,kong1chok8,kongtsok,kongchok
kong-huē,公會,25,kong-hōe,kong1hue7,kong1hoe7,konghue,konghoe
kong-iú,公有,25,kong-iú,kong1iu2,kong1iu2,kongiu,kongiu
kong-khuân,公權,25,kong-khoân,kong1khuan5,kong1khoan5,kongkhuan,kongkhoan
kong-kuân,公權,25,kong-koân,kong1kuan5,kong1koan5,kongkuan,kongkoan
kong-tsiànn,公正,25,kong-chiàⁿ,kong1tsiann3,kong1chiann3,kongtsiann,kongchiann
kong-tsìng,公正,25,kong-chèng,kong1tsing3,kong1cheng3,kongtsing,kongcheng
kang-bó,公母,25,kang-bó,kang1bo2,kang1bo2,kangbo,kangbo
kang-bú,公母,25,kang-bú,kang1bu2,kang1bu2,kangbu,kangbu
kong-bîn,公民,25,kong-bîn,kong1bin5,kong1bin5,kongbin,kongbin
kong-ián,公演,25,kong-ián,kong1ian2,kong1ian2,kongian,kongian
kong-jiân,公然,25,kong-jiân,kong1jian5,kong1jian5,kongjian,kongjian
kong-liân,公然,25,kong-liân,kong1lian5,kong1lian5,konglian,konglian
kong-îng,公營,25,kong-êng,kong1ing5,kong1eng5,konging,kongeng
kong-tsiok,公爵,25,kong-chiok,kong1tsiok4,kong1chiok4,kongtsiok,kongchiok
kong-iōng,公用,25,kong-iōng,kong1iong7,kong1iong7,kongiong,kongiong
kong-tsiòng,公眾,25,kong-chiòng,kong1tsiong3,kong1chiong3,kongtsiong,kongchiong
kong-su,公私,25,kong-su,kong1su1,kong1su1,kongsu,kongsu
kong-li̍p,公立,25,kong-li̍p,kong1lip8,kong1lip8,konglip,konglip
kong-iok,公約,25,kong-iok,kong1iok4,kong1iok4,kongiok,kongiok
kong-sú,公署,25,kong-sú,kong1su2,kong1su2,kongsu,kongsu
