hanzi,tl,frequency,poj
巴哥,pa-ko,25,pa-ko
布丁,pòo-ting,25,pò͘-teng
布陣,pòo-tīn,25,pò͘-tīn
帆船,phâng-tsûn,25,phâng-chûn
幌壺,hàinn-ôo,25,hàiⁿ-ô͘
弄舌,lāng-tsi̍h,25,lāng-chi̍h
彈劾,tân-hik,25,tân-hek
彗星,huī-tshinn,25,hūi-chhiⁿ
影迷,iánn-bê,25,iáⁿ-bê
後跤,āu-kha,25,āu-kha
得分,tit-hun,25,tit-hun
徛槳,khiā-tsiúnn,25,khiā-chiúⁿ
徛琴,hah-phuh,25,hah-phuh
徛琴,khiā-khîm,25,khiā-khîm
復刻,ho̍k-khik,25,ho̍k-khek
快送,khuài-sàng,25,khoài-sàng
惡地,ok-tē,25,ok-tē
慢分,bān-hun,25,bān-hun
懸球,kuân-kiû,25,koân-kiû
截圖,tsia̍t-tôo,25,chia̍t-tô͘
房貸,pâng-tāi,25,pâng-tāi
手球,tshiú-kiû,25,chhiú-kiû
打席,tánn-sik,25,táⁿ-sek
打擊,tánn-kik,25,táⁿ-kek
打數,tánn-sòo,25,táⁿ-sò͘
打點,tánn-tiám,25,táⁿ-tiám
承球,sîn-kiû,25,sîn-kiû
投手,tâu-tshiú,25,tâu-chhiú
抹匙,buah-sî,25,boah-sî
抹茶,buah-tê,25,boah-tê
抹面,buah-bīn,25,boah-bīn
抾線,khioh-suànn,25,khioh-sòaⁿ
拖選,thua-suán,25,thoa-soán
拜登,pài-ting,25,pài-teng
拳法,kûn-huat,25,kûn-hoat
拿鐵,la-thé,25,la-thé
持妝,tshî-tsong,25,chhî-chong
挵球,lòng-kiû,25,lòng-kiû
捕手,póo-tshiú,25,pó͘-chhiú
捕殺,póo-sat,25,pó͘-sat
捕逸,póo-i̍k,25,pó͘-e̍k
捘卵,tsūn-nn̄g,25,chūn-nn̄g
捲條,kńg-tiâu,25,kńg-tiâu
授權,siū-khuân,25,siū-khoân
掠夯,lia̍h-giâ,25,lia̍h-giâ
接球,tsiap-kiû,25,chiap-kiû
推進,thui-tsín,25,thui-chín
掰會,pué-huē,25,póe-hōe
換逝,uānn-tsuā,25,ōaⁿ-chōa
揤鈕,tshi̍h-liú,25,chhi̍h-liú
揹摔,phāinn-siak,25,phāiⁿ-siak
搖桿,iô-kuáinn,25,iô-koáiⁿ
搜揣,tshiau-tshuē,25,chhiau-chhōe
搜揣,tshiau-tshē,25,chhiau-chhē
搭粉,tah-hún,25,tah-hún
摃球,kòng-kiû,25,kòng-kiû
摔技,siak-ki,25,siak-ki
摔法,siak-huat,25,siak-hoat
摸著,bong-tio̍h,25,bong-tio̍h
擊劍,kik-kiàm,25,kek-kiàm
擊球,kik-kiû,25,kek-kiû
擋皺,tòng-jiâu,25,tòng-jiâu
擋皺,tòng-liâu,25,tòng-liâu
攀岩,phan-giâm,25,phan-giâm
攔閘,nuâ-tsa̍h,25,nôa-cha̍h
收賄,siu-hué,25,siu-hóe
放箭,pàng-tsìnn,25,pàng-chìⁿ
敗投,pāi-tâu,25,pāi-tâu
散打,sàn-tánn,25,sàn-táⁿ
敬遠,kìng-uán,25,kèng-oán
斜體,tshiâ-thé,25,chhiâ-thé
斷食,tn̄g-si̍t,25,tn̄g-si̍t
早鳥,tsá-niáu,25,chá-niáu
明膠,bîng-ka,25,bêng-ka
晉級,tsìn-kip,25,chìn-kip
暖男,luán-lâm,25,loán-lâm
暗擊,àm-kik,25,àm-kek
暗碼,àm-bé,25,àm-bé
暴傳,po̍k-thuân,25,po̍k-thoân
暴投,po̍k-tâu,25,po̍k-tâu
曲球,khiau-kiû,25,khiau-kiû
書籤,su-tshiam,25,su-chhiam
書籤,tsu-tshiam,25,chu-chhiam
書迷,tsu-bê,25,chu-bê
木球,bo̍k-kiû,25,bo̍k-kiû
松露,siông-lōo,25,siông-lō͘
板球,pán-kiû,25,pán-kiû
果凍,kó-tàng,25,kó-tàng
果膠,kó-ka,25,kó-ka
枝豆,ki-tāu,25,ki-tāu
柔術,jiû-su̍t,25,jiû-su̍t
柔道,jiû-tō,25,jiû-tō
柴狗,tshâ-káu,25,chhâ-káu
栓窒,sng-that,25,sng-that
桌球,toh-kiû,25,toh-kiû
桌遊,toh-iû,25,toh-iû
條碼,tiâu-bé,25,tiâu-bé
棍術,kùn-su̍t,25,kùn-su̍t
棒球,pāng-kiû,25,pāng-kiû
棗仔,tsó-á,25,chó-á
棲地,tshe-tuē,25,chhe-tōe
棲地,tshe-tē,25,chhe-tē
椰果,iâ-kó,25,iâ-kó
椰漿,iâ-tsiunn,25,iâ-chiuⁿ
槌球,thuî-kiû,25,thûi-kiû
槍術,tshiunn-su̍t,25,chhiuⁿ-su̍t
槓鈴,kǹg-lîng,25,kǹg-lêng
標槍,pio-tshiunn,25,pio-chhiuⁿ
標題,piau-tuê,25,piau-tôe
標題,piau-tê,25,piau-tê
模板,bôo-pán,25,bô͘-pán
樹掛,tshiū-kuà,25,chhiū-kòa
橋牌,kiô-pâi,25,kiô-pâi
檢視,kiám-sī,25,kiám-sī
歇暝,hioh-mê,25,hioh-mê
歇暝,hioh-mî,25,hioh-mî
正向,tsiànn-hiòng,25,chiàⁿ-hiòng
正子,tsiànn-jí,25,chiàⁿ-jí
正子,tsiànn-lí,25,chiàⁿ-lí
正投,tsiànn-tâu,25,chiàⁿ-tâu
正拍,tsiànn-phah,25,chiàⁿ-phah
正支,tsiànn-ki,25,chiàⁿ-ki
正齒,tsiànn-khí,25,chiàⁿ-khí
武術,bú-su̍t,25,bú-su̍t
歹球,pháinn-kiû,25,pháiⁿ-kiû
殘壘,tsân-luí,25,chân-lúi
段位,tuānn-uī,25,tōaⁿ-ūi
段落,tuānn-lo̍h,25,tōaⁿ-lo̍h
殺球,sat-kiû,25,sat-kiû
毛筅,mn̂g-tshíng,25,mn̂g-chhéng
毛豆,môo-tāu,25,mô͘-tāu
氣糋,khì-tsìnn,25,khì-chìⁿ
水球,tsuí-kiû,25,chúi-kiû
水蓮,tsuí-liân,25,chúi-liân
水螅,tsuí-sik,25,chúi-sek
水豬,tsuí-ti,25,chúi-ti
水豬,tsuí-tu,25,chúi-tu
決賽,kuat-sài,25,koat-sài
沉球,tîm-kiû,25,tîm-kiû
沙拉,sa-la,25,sa-la
河內,hô-luē,25,hô-lōe
油鯃,iû-ngôo,25,iû-ngô͘
法鬥,huat-tàu,25,hoat-tàu
泛舟,huàn-tsiu,25,hoàn-chiu
泡芙,phàu-hû,25,phàu-hû
泰拳,thài-kûn,25,thài-kûn
浮粉,phû-hún,25,phû-hún
浸油,tsìm-iû,25,chìm-iû
液化,i̍k-huà,25,e̍k-hòa
涼麵,liâng-mī,25,liâng-mī
淋巴,lîm-pa,25,lîm-pa
淡斑,tām-pan,25,tām-pan
深跍,tshim-khû,25,chhim-khû
游標,iû-phiau,25,iû-phiau
游標,iû-piau,25,iû-piau
湯餃,thng-kiáu,25,thng-kiáu
滑球,ku̍t-kiû,25,ku̍t-kiû
滑鼠,ku̍t-tshí,25,ku̍t-chhí
滑鼠,ku̍t-tshú,25,ku̍t-chhú
滾輪,kún-lûn,25,kún-lûn
漏球,lāu-kiû,25,lāu-kiû
漸層,tsiām-tsân,25,chiām-chân
灌籃,kuàn-nâ,25,koàn-nâ
火腿,hué-thuí,25,hóe-thúi
火腿,hé-thuí,25,hé-thúi
炊飯,tshe-pn̄g,25,chhe-pn̄g
炊飯,tshue-pn̄g,25,chhoe-pn̄g
烏麥,oo-be̍h,25,o͘-be̍h
烘焙,hang-puē,25,hang-pōe
烘焙,hang-pē,25,hang-pē
烘箱,hang-siunn,25,hang-siuⁿ
烘雞,hang-ke,25,hang-ke
烘雞,hang-kue,25,hang-koe
焐卡,ù-khah,25,ù-khah
焙果,puē-kó,25,pōe-kó
焙果,pē-kó,25,pē-kó
焙茶,puē-tê,25,pōe-tê
焙茶,pē-tê,25,pē-tê
焦距,tsiau-kī,25,chiau-kī
焦距,tsiau-kū,25,chiau-kū
煎包,tsian-pau,25,chian-pau
煎餅,tsian-piánn,25,chian-piáⁿ
煙雞,ian-ke,25,ian-ke
煙雞,ian-kue,25,ian-koe
熊市,hîm-tshī,25,hîm-chhī
熱量,jia̍t-liōng,25,jia̍t-liōng
熱量,lia̍t-liōng,25,lia̍t-liōng
熱點,jia̍t-tiám,25,jia̍t-tiám
熱點,lia̍t-tiám,25,lia̍t-tiám
熱齒,jia̍t-khí,25,jia̍t-khí
燕麥,iàn-be̍h,25,iàn-be̍h
牚夯,thènn-giâ,25,thèⁿ-giâ
牚夯,thìnn-giâ,25,thìⁿ-giâ
牛市,gû-tshī,25,gû-chhī
牛棚,gû-pênn,25,gû-pêⁿ
牛棚,gû-pînn,25,gû-pîⁿ
牽制,khan-tsè,25,khan-chè
犯規,huān-kui,25,hoān-kui
狐獴,hôo-bông,25,hô͘-bông
狒狒,huì-huì,25,hùi-hùi
猴珠,kâu-tsu,25,kâu-chu
珠光,tsu-kng,25,chu-kng
球童,kiû-tông,25,kiû-tông
球迷,kiû-bê,25,kiû-bê
球速,kiû-sok,25,kiû-sok
甘地,kam-tī,25,kam-tī
甜菜,tinn-tshài,25,tiⁿ-chhài
田徑,tiân-kìng,25,tiân-kèng
甲烷,kah-uân,25,kah-oân
甲醇,kah-sûn,25,kah-sûn
番鼠,huan-tshí,25,hoan-chhí
番鼠,huan-tshú,25,hoan-chhú
畫素,uē-sòo,25,ōe-sò͘
畫素,uī-sòo,25,ūi-sò͘
畫質,uē-tsit,25,ōe-chit
畫質,uī-tsit,25,ūi-chit
病尾,pēnn-bué,25,pēⁿ-bóe
病尾,pēnn-bé,25,pēⁿ-bé
登入,ting-ji̍p,25,teng-ji̍p
登出,ting-tshut,25,teng-chhut
登板,ting-pán,25,teng-pán
發球,huat-kiû,25,hoat-kiû
白醬,pe̍h-tsiùnn,25,pe̍h-chiùⁿ
盜壘,tō-luí,25,tō-lúi
監交,kàm-kau,25,kàm-kau
盤舌,puânn-tsi̍h,25,pôaⁿ-chi̍h
目巡,ba̍k-sûn,25,ba̍k-sûn
目彩,ba̍k-tshái,25,ba̍k-chhái
直播,ti̍t-pò,25,ti̍t-pò
直球,ti̍t-kiû,25,ti̍t-kiû
相偃,sio-ián,25,sio-ián
眼影,gán-iánn,25,gán-iáⁿ
眼膜,gán-mo̍oh,25,gán-mo̍͘h
眼霜,gán-song,25,gán-song
短跑,té-pháu,25,té-pháu
石滬,tsio̍h-hōo,25,chio̍h-hō͘
矽砂,si̍k-sua,25,se̍k-soa
硩線,teh-suànn,25,teh-sòaⁿ
硬夯,ngē-giâ,25,ngē-giâ
硬夯,ngī-giâ,25,ngī-giâ
硬體,ngī-thé,25,ngī-thé
磕網,kha̍p-bāng,25,kha̍p-bāng
磕著,kha̍p-tio̍h,25,kha̍p-tio̍h
社畜,siā-thiok,25,siā-thiok
移工,î-kang,25,î-kang
競行,kìng-kiânn,25,kèng-kiâⁿ
競行,kīng-kiânn,25,kēng-kiâⁿ
笑痕,tshiò-hûn,25,chhiò-hûn
笑豆,tshiò-tāu,25,chhiò-tāu
箭靶,tsìnn-pé,25,chìⁿ-pé
篩選,thai-suán,25,thai-soán
米線,bí-suànn,25,bí-sòaⁿ
粉刺,hún-tshì,25,hún-chhì
粉底,hún-tué,25,hún-tóe
粉底,hún-té,25,hún-té
粉條,hún-tiâu,25,hún-tiâu
粉肝,hún-kuann,25,hún-koaⁿ
粉腸,hún-tshiâng,25,hún-chhiâng
粉膏,hún-ko,25,hún-ko
粉餅,hún-piánn,25,hún-piáⁿ
粗體,tshoo-thé,25,chho͘-thé
糋路,tsìnn-lōo,25,chìⁿ-lō͘
糖霜,thn̂g-sng,25,thn̂g-sng
紅牌,âng-pâi,25,âng-pâi
紅醬,âng-tsiùnn,25,âng-chiùⁿ
紋斑,bûn-pan,25,bûn-pan
級差,kip-tsha,25,kip-chha
素肉,sòo-bah,25,sò͘-bah
素顏,sòo-gân,25,sò͘-gân
組手,tsoo-tshiú,25,cho͘-chhiú
網址,bāng-tsí,25,bāng-chí
網球,bāng-kiû,25,bāng-kiû
網紅,bāng-âng,25,bāng-âng
網衝,bāng-tshìng,25,bāng-chhèng
緩刑,uān-hîng,25,oān-hêng
縮圖,sok-tôo,25,sok-tô͘
總匯,tsóng-huē,25,chóng-hōe
罰球,hua̍t-kiû,25,hoa̍t-kiû
美白,bí-pe̍h,25,bí-pe̍h
翻糖,huan-thn̂g,25,hoan-thn̂g
老妝,lāu-tsong,25,lāu-chong
