tl,hanzi,frequency,poj,tl_num,poj_num
kiong-hi̍k,疆域,25,kiong-he̍k,kionghik8,kionghek8
kiong-i̍k,疆域,25,kiong-e̍k,kiongik8,kiongek8
thia̍p-á,疊仔,25,thia̍p-á,thiap8a2,thiap8a2
tha̍h-thōng,疊緟,25,tha̍h-thōng,thah8thong7,thah8thong7
thia̍p-thōng,疊緟,25,thia̍p-thōng,thiap8thong7,thiap8thong7
tha̍h-sû,疊詞,25,tha̍h-sû,thah8su5,thah8su5
thia̍p-huè,疊貨,25,thia̍p-hòe,thiap8hue3,thiap8hoe3
thia̍p-hè,疊貨,25,thia̍p-hè,thiap8he3,thiap8he3
thia̍p-kha,疊跤,25,thia̍p-kha,thiap8kha,thiap8kha
thia̍p-poh,疊駁,25,thia̍p-poh,thiap8poh,thiap8poh
soo-kó,疏果,25,so͘-kó,sooko2,sooko2
se-lang,疏櫳,25,se-lang,selang,selang
se-khí,疏齒,25,se-khí,sekhi2,sekhi2
gî-gā,疑訝,25,gî-gā,gi5ga7,gi5ga7
gî-ngái,疑訝,25,gî-ngái,gi5ngai2,gi5ngai2
ia̍h-tsîng,疫情,25,ia̍h-chêng,iah8tsing5,iah8cheng5
tshuah-sái,疶屎,25,chhoah-sái,tshuahsai2,chhoahsai2
thiànn-thiànn,疼疼,25,thiàⁿ-thiàⁿ,thiann3thiann3,thiann3thiann3
thiànn-ūn,疼運,25,thiàⁿ-ūn,thiann3un7,thiann3un7
thiànn-hong,疼風,25,thiàⁿ-hong,thiann3hong,thiann3hong
tsi̍k-huān,疾患,25,che̍k-hoān,tsik8huan7,chek8hoan7
tsi̍t-huān,疾患,25,chi̍t-hoān,tsit8huan7,chit8hoan7
ku-lún,痀崙,25,ku-lún,kulun2,kulun2
pēnn-kiánn,病囝,25,pēⁿ-kiáⁿ,penn7kiann2,penn7kiann2
pīnn-kiánn,病囝,25,pīⁿ-kiáⁿ,pinn7kiann2,pinn7kiann2
pēnn-kiau,病嬌,25,pēⁿ-kiau,penn7kiau,penn7kiau
pēnn-pún,病本,25,pēⁿ-pún,penn7pun2,penn7pun2
pīnn-īnn,病院,25,pīⁿ-īⁿ,pinn7inn7,pinn7inn7
pǐnn-ǐnn,病院,25,pǐⁿ-ǐⁿ,pinn6inn6,pinn6inn6
tī-á,痔仔,25,tī-á,ti7a2,ti7a2
he-ku,痚呴,25,he-ku,heku,heku
thàng-thiànn,痛疼,25,thàng-thiàⁿ,thang3thiann3,thang3thiann3
siáu-iú,痟友,25,siáu-iú,siau2iu2,siau2iu2
siáu-íng,痟湧,25,siáu-éng,siau2ing2,siau2eng2
siáu-siáu,痟痟,25,siáu-siáu,siau2siau2,siau2siau2
siáu-thiàu,痟跳,25,siáu-thiàu,siau2thiau3,siau2thiau3
suinn-nuí,痠軟,25,suiⁿ-núi,suinnnui2,suinnnui2
lī-tsi̍t,痢疾,25,lī-chi̍t,li7tsit8,li7chit8
un-sîn,瘟神,25,un-sîn,unsin5,unsin5
sán-lim,瘦啉,25,sán-lim,san2lim,san2lim
sán-tsia̍h,瘦食,25,sán-chia̍h,san2tsiah8,san2chiah8
gia̍k-tsi̍k,瘧疾,25,gia̍k-che̍k,giak8tsik8,giak8chek8
tsiòng-khì,瘴氣,25,chiòng-khì,tsiong3khi3,chiong3khi3
kher-tshiú,瘸手,25,kher-chhiú,khertshiu2,kherchhiu2
khêr-kha,瘸跤,25,khêr-kha,kher5kha,kher5kha
liâu-sè,療勢,25,liâu-sè,liau5se3,liau5se3
thái-ko,癩󿗧,25,thái-ko,thai2ko,thai2ko
giàn-thâu,癮頭,25,giàn-thâu,gian3thau5,gian3thau5
than-thuán,癱瘓,25,than-thoán,thanthuan2,thanthoan2
ting-ji̍p,登入,25,teng-ji̍p,tingjip8,tengjip8
ting-tshut,登出,25,teng-chhut,tingtshut,tengchhut
