hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge
弓仔,king-á,25,keng-á,kinga2,kenga2,kinga,kenga,ka,ka,True
弓枋,king-pang,25,keng-pang,kingpang,kengpang,kingpang,kengpang,kp,kp,True
彎剾,uân-khau,25,oân-khau,uan5khau,oan5khau,uankhau,oankhau,uk,ok,True
彩繪,tshái-uē,25,chhái-ōe,tshai2ue7,chhai2oe7,tshaiue,chhaioe,tu,co,True
徛七,khiā-tshit,25,khiā-chhit,khia7tshit,khia7chhit,khiatshit,khiachhit,kt,kc,True
徛心,khiā-sim,25,khiā-sim,khia7sim,khia7sim,khiasim,khiasim,ks,ks,True
徛柱,khiā-thiāu,25,khiā-thiāu,khia7thiau7,khia7thiau7,khiathiau,khiathiau,kt,kt,True
徛鏡,khiā-kiànn,25,khiā-kiàⁿ,khia7kiann3,khia7kiann3,khiakiann,khiakiann,kk,kk,True
戕仔,tshiâng-á,25,chhiâng-á,tshiang5a2,chhiang5a2,tshianga,chhianga,ta,ca,True
戰甲,tsiàn-kah,25,chiàn-kah,tsian3kah,chian3kah,tsiankah,chiankah,tk,ck,True
扁擔,pún-tann,25,pún-taⁿ,pun2tann,pun2tann,puntann,puntann,pt,pt,True
手包,tshiú-pau,25,chhiú-pau,tshiu2pau,chhiu2pau,tshiupau,chhiupau,tp,cp,True
手指,tshiú-tsí,25,chhiú-chí,tshiu2tsi2,chhiu2chi2,tshiutsi,chhiuchi,tt,cc,True
手裒,tshiú-pôo,25,chhiú-pô͘,tshiu2poo5,chhiu2poo5,tshiupoo,chhiupoo,tp,cp,True
手銬,tshiú-khàu,25,chhiú-khàu,tshiu2khau3,chhiu2khau3,tshiukhau,chhiukhau,tk,ck,True
托燈,thuh-ting,25,thuh-teng,thuhting,thuhteng,thuhting,thuhteng,tt,tt,True
批塗,phi-thôo,25,phi-thô͘,phithoo5,phithoo5,phithoo,phithoo,pt,pt,True
