hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge
二層座,jī-tsàn-tsō,16,jī-chàn-chō,ji7tsan3tso7,ji7chan3cho7,jitsantso,jichancho,jtt,jcc,True
二次胚,jī-tshù-phue,16,jī-chhù-phoe,ji7tshu3phue,ji7chhu3phoe,jitshuphue,jichhuphoe,jtp,jcp,True
五倍子,ngóo-puē-tsí,16,ngó͘-pōe-chí,ngoo2pue7tsi2,ngoo2poe7chi2,ngoopuetsi,ngoopoechi,npt,npc,True
五福花,ngóo-hok-hue,16,ngó͘-hok-hoe,ngoo2hokhue,ngoo2hokhoe,ngoohokhue,ngoohokhoe,nhh,nhh,True
交趾釉,kau-tsí-iu,16,kau-chí-iu,kautsi2iu,kauchi2iu,kautsiiu,kauchiiu,kti,kci,True
亭仔景,tîng-á-kíng,16,têng-á-kéng,ting5a2king2,teng5a2keng2,tingaking,tengakeng,tak,tak,True
人物堵,jîn-bu̍t-tóo,16,jîn-bu̍t-tó͘,jin5but8too2,jin5but8too2,jinbuttoo,jinbuttoo,jbt,jbt,True
人物旗,jîn-bu̍t-kî,16,jîn-bu̍t-kî,jin5but8ki5,jin5but8ki5,jinbutki,jinbutki,jbk,jbk,True
人面竹,lâng-bīn-tik,16,lâng-bīn-tek,lang5bin7tik,lang5bin7tek,langbintik,langbintek,lbt,lbt,True
保溫棉,pó-un-mî,16,pó-un-mî,po2unmi5,po2unmi5,pounmi,pounmi,pum,pum,True
保溫磚,pó-un-tsng,16,pó-un-chng,po2untsng,po2unchng,pountsng,pounchng,put,puc,True
倒吊獅,tò-tiàu-sai,16,tò-tiàu-sai,to3tiau3sai,to3tiau3sai,totiausai,totiausai,tts,tts,True
倒角仔,tò-kak-á,16,tò-kak-á,to3kaka2,to3kaka2,tokaka,tokaka,tka,tka,True
備零件,pī-lîng-kiānn,16,pī-lêng-kiāⁿ,pi7ling5kiann7,pi7leng5kiann7,pilingkiann,pilengkiann,plk,plk,True
八仙綵,pat-sian-tshái,16,pat-sian-chhái,patsiantshai2,patsianchhai2,patsiantshai,patsianchhai,pst,psc,True
八卦窗,pat-kuà-thang,16,pat-kòa-thang,patkua3thang,patkoa3thang,patkuathang,patkoathang,pkt,pkt,True
八字彈,peh-jī-tân,16,peh-jī-tân,pehji7tan5,pehji7tan5,pehjitan,pehjitan,pjt,pjt,True
八獅座,pat-sai-tsō,16,pat-sai-chō,patsaitso7,patsaicho7,patsaitso,patsaicho,pst,psc,True
公婆椅,kong-pô-í,16,kong-pô-í,kongpo5i2,kongpo5i2,kongpoi,kongpoi,kpi,kpi,True
公母榫,kang-bú-sún,16,kang-bú-sún,kangbu2sun2,kangbu2sun2,kangbusun,kangbusun,kbs,kbs,True
切割墊,tshiat-kuah-tiām,16,chhiat-koah-tiām,tshiatkuahtiam7,chhiatkoahtiam7,tshiatkuahtiam,chhiatkoahtiam,tkt,ckt,True
切管頭,tshiat-kóng-thâu,16,chhiat-kóng-thâu,tshiatkong2thau5,chhiatkong2thau5,tshiatkongthau,chhiatkongthau,tkt,ckt,True
切紙枋,tshiat-tsuá-pang,16,chhiat-chóa-pang,tshiattsua2pang,chhiatchoa2pang,tshiattsuapang,chhiatchoapang,ttp,ccp,True
利利安,li-li-an,16,li-li-an,lilian,lilian,lilian,lilian,lla,lla,True
割紙刀,kuah-tsuá-to,16,koah-chóa-to,kuahtsua2to,koahchoa2to,kuahtsuato,koahchoato,ktt,kct,True
包喙口,pau-tshuì-kháu,16,pau-chhùi-kháu,pautshui3khau2,pauchhui3khau2,pautshuikhau,pauchhuikhau,ptk,pck,True
包蒼布,pau-tshong-pòo,16,pau-chhong-pò͘,pautshongpoo3,pauchhongpoo3,pautshongpoo,pauchhongpoo,ptp,pcp,True
包頭巾,pau-thâu-kin,16,pau-thâu-kin,pauthau5kin,pauthau5kin,pauthaukin,pauthaukin,ptk,ptk,True
半堆剪,puànn-tui-tsián,16,pòaⁿ-tui-chián,puann3tuitsian2,poann3tuichian2,puanntuitsian,poanntuichian,ptt,ptc,True
半浮堵,puànn-phû-tóo,16,pòaⁿ-phû-tó͘,puann3phu5too2,poann3phu5too2,puannphutoo,poannphutoo,ppt,ppt,True
半金彩,puànn-kim-tshái,16,pòaⁿ-kim-chhái,puann3kimtshai2,poann3kimchhai2,puannkimtshai,poannkimchhai,pkt,pkc,True
厚殼仔,kāu-khak-á,16,kāu-khak-á,kau7khaka2,kau7khaka2,kaukhaka,kaukhaka,kka,kka,True
反手體,huán-tshiú-thé,16,hoán-chhiú-thé,huan2tshiu2the2,hoan2chhiu2the2,huantshiuthe,hoanchhiuthe,htt,hct,True
古錢甲,kóo-tsînn-kah,16,kó͘-chîⁿ-kah,koo2tsinn5kah,koo2chinn5kah,kootsinnkah,koochinnkah,ktk,kck,True
古體鱗,kóo-thé-lân,16,kó͘-thé-lân,koo2the2lan5,koo2the2lan5,koothelan,koothelan,ktl,ktl,True
和尚頭,huê-siūnn-thâu,16,hôe-siūⁿ-thâu,hue5siunn7thau5,hoe5siunn7thau5,huesiunnthau,hoesiunnthau,hst,hst,True
咸豐草,hâm-hong-tsháu,16,hâm-hong-chháu,ham5hongtshau2,ham5hongchhau2,hamhongtshau,hamhongchhau,hht,hhc,True
四方竹,sù-hong-tik,16,sù-hong-tek,su3hongtik,su3hongtek,suhongtik,suhongtek,sht,sht,True
四點金,sì-tiám-kim,16,sì-tiám-kim,si3tiam2kim,si3tiam2kim,sitiamkim,sitiamkim,stk,stk,True
圓仔花,înn-á-hue,16,îⁿ-á-hoe,inn5a2hue,inn5a2hoe,innahue,innahoe,iah,iah,True
圓鑿仔,înn-tsha̍k-á,16,îⁿ-chha̍k-á,inn5tshak8a2,inn5chhak8a2,inntshaka,innchhaka,ita,ica,True
圓黜仔,înn-thuh-á,16,îⁿ-thuh-á,inn5thuha2,inn5thuha2,innthuha,innthuha,ita,ita,True
坐禪椅,tsē-siâm-í,16,chē-siâm-í,tse7siam5i2,che7siam5i2,tsesiami,chesiami,tsi,csi,True
塑膠枋,sok-ka-pang,16,sok-ka-pang,sokkapang,sokkapang,sokkapang,sokkapang,skp,skp,True
塑膠𧉟,sok-ka-tâi,16,sok-ka-tâi,sokkatai5,sokkatai5,sokkatai,sokkatai,skt,skt,True
塔簽仔,thah-tshiam-á,16,thah-chhiam-á,thahtshiama2,thahchhiama2,thahtshiama,thahchhiama,tta,tca,True
塗剾仔,thôo-khau-á,16,thô͘-khau-á,thoo5khaua2,thoo5khaua2,thookhaua,thookhaua,tka,tka,True
塗抓仔,thôo-jiàu-á,16,thô͘-jiàu-á,thoo5jiau3a2,thoo5jiau3a2,thoojiaua,thoojiaua,tja,tja,True
塭仔砧,un-á-tiam,16,un-á-tiam,una2tiam,una2tiam,unatiam,unatiam,uat,uat,True
墜仔模,tuī-á-bôo,16,tūi-á-bô͘,tui7a2boo5,tui7a2boo5,tuiaboo,tuiaboo,tab,tab,True
壓枋染,ah-pang-ní,16,ah-pang-ní,ahpangni2,ahpangni2,ahpangni,ahpangni,apn,apn,True
壓頭仔,ah-thâu-á,16,ah-thâu-á,ahthau5a2,ahthau5a2,ahthaua,ahthaua,ata,ata,True
大木作,tuā-ba̍k-tsok,16,tōa-ba̍k-chok,tua7bak8tsok,toa7bak8chok,tuabaktsok,toabakchok,tbt,tbc,True
大白釉,tuā-pe̍h-iu,16,tōa-pe̍h-iu,tua7peh8iu,toa7peh8iu,tuapehiu,toapehiu,tpi,tpi,True
大菁粉,tuā-tshinn-hún,16,tōa-chhiⁿ-hún,tua7tshinnhun2,toa7chhinnhun2,tuatshinnhun,toachhinnhun,tth,tch,True
太師椅,thài-su-í,16,thài-su-í,thai3sui2,thai3sui2,thaisui,thaisui,tsi,tsi,True
太魯刀,thài-lù-to,16,thài-lù-to,thai3lu3to,thai3lu3to,thailuto,thailuto,tlt,tlt,True
如意手,jû-ì-tshiú,16,jû-ì-chhiú,ju5i3tshiu2,ju5i3chhiu2,juitshiu,juichhiu,jit,jic,True
如意花,jû-ì-hue,16,jû-ì-hoe,ju5i3hue,ju5i3hoe,juihue,juihoe,jih,jih,True
娘絲布,niû-si-pòo,16,niû-si-pò͘,niu5sipoo3,niu5sipoo3,niusipoo,niusipoo,nsp,nsp,True
安金漆,an-kim-tshat,16,an-kim-chhat,ankimtshat,ankimchhat,ankimtshat,ankimchhat,akt,akc,True
實腹管,tsa̍t-pak-kóng,16,cha̍t-pak-kóng,tsat8pakkong2,chat8pakkong2,tsatpakkong,chatpakkong,tpk,cpk,True
寶石碭,pó-tsio̍h-thn̄g,16,pó-chio̍h-thn̄g,po2tsioh8thng7,po2chioh8thng7,potsiohthng,pochiohthng,ptt,pct,True
小冊櫃,sió-tsheh-kuì,16,sió-chheh-kùi,sio2tshehkui3,sio2chhehkui3,siotshehkui,siochhehkui,stk,sck,True
小葉桑,sió-hio̍h-song,16,sió-hio̍h-song,sio2hioh8song,sio2hioh8song,siohiohsong,siohiohsong,shs,shs,True
尤加利,iu-kha-lih,16,iu-kha-lih,iukhalih,iukhalih,iukhalih,iukhalih,ikl,ikl,True
尪仔頭,ang-á-thâu,16,ang-á-thâu,anga2thau5,anga2thau5,angathau,angathau,aat,aat,True
山棧花,suann-tsàn-hue,16,soaⁿ-chàn-hoe,suanntsan3hue,soannchan3hoe,suanntsanhue,soannchanhoe,sth,sch,True
山石仔,suann-tsio̍h-á,16,soaⁿ-chio̍h-á,suanntsioh8a2,soannchioh8a2,suanntsioha,soannchioha,sta,sca,True
工作台,kang-tsok-tâi,16,kang-chok-tâi,kangtsoktai5,kangchoktai5,kangtsoktai,kangchoktai,ktt,kct,True
工作椅,kang-tsok-í,16,kang-chok-í,kangtsoki2,kangchoki2,kangtsoki,kangchoki,kti,kci,True
布輪機,pòo-lûn-ki,16,pò͘-lûn-ki,poo3lun5ki,poo3lun5ki,poolunki,poolunki,plk,plk,True
平剾仔,phînn-khau-á,16,phîⁿ-khau-á,phinn5khaua2,phinn5khaua2,phinnkhaua,phinnkhaua,pka,pka,True
平剾仔,pêng-khau-á,16,pêng-khau-á,peng5khaua2,peng5khaua2,pengkhaua,pengkhaua,pka,pka,True
平鑿仔,phînn-tsha̍k-á,16,phîⁿ-chha̍k-á,phinn5tshak8a2,phinn5chhak8a2,phinntshaka,phinnchhaka,pta,pca,True
幼工棒,iù-kang-pāng,16,iù-kang-pāng,iu3kangpang7,iu3kangpang7,iukangpang,iukangpang,ikp,ikp,True
廟尪仔,biō-ang-á,16,biō-ang-á,bio7anga2,bio7anga2,bioanga,bioanga,baa,baa,True
弓中錘,king-tiong-tshuê,16,keng-tiong-chhôe,kingtiongtshue5,kengtiongchhoe5,kingtiongtshue,kengtiongchhoe,ktt,ktc,True
彎仔鋸,uan-á-kì,16,oan-á-kì,uana2ki3,oana2ki3,uanaki,oanaki,uak,oak,True
戮空的,lak-khang-ê,16,lak-khang-ê,lakkhange5,lakkhange5,lakkhange,lakkhange,lke,lke,True
扁鋏仔,pínn-giap-á,16,píⁿ-giap-á,pinn2giapa2,pinn2giapa2,pinngiapa,pinngiapa,pga,pga,True
手巾仔,tshiú-kin-á,16,chhiú-kin-á,tshiu2kina2,chhiu2kina2,tshiukina,chhiukina,tka,cka,True
手指圍,tshiú-tsí-uî,16,chhiú-chí-ûi,tshiu2tsi2ui5,chhiu2chi2ui5,tshiutsiui,chhiuchiui,ttu,ccu,True
手指條,tshiú-tsí-tiâu,16,chhiú-chí-tiâu,tshiu2tsi2tiau5,chhiu2chi2tiau5,tshiutsitiau,chhiuchitiau,ttt,cct,True
手指通,tshiú-tsí-thong,16,chhiú-chí-thong,tshiu2tsi2thong,chhiu2chi2thong,tshiutsithong,chhiuchithong,ttt,cct,True
手搖鈴,tshiú-iô-lîng,16,chhiú-iô-lêng,tshiu2io5ling5,chhiu2io5leng5,tshiuioling,chhiuioleng,til,cil,True
手環箸,tshiú-khuân-tī,16,chhiú-khoân-tī,tshiu2khuan5ti7,chhiu2khoan5ti7,tshiukhuanti,chhiukhoanti,tkt,ckt,True
抓耙仔,jiàu-pê-á,16,jiàu-pê-á,jiau3pe5a2,jiau3pe5a2,jiaupea,jiaupea,jpa,jpa,True
折刀器,tsiat-to-khì,16,chiat-to-khì,tsiattokhi3,chiattokhi3,tsiattokhi,chiattokhi,ttk,ctk,True
拍初胚,phah-tshoo-phue,16,phah-chho͘-phoe,phahtshoophue,phahchhoophoe,phahtshoophue,phahchhoophoe,ptp,pcp,True
拍剁仔,phah-tok-a,16,phah-tok-a,phahtoka,phahtoka,phahtoka,phahtoka,pta,pta,True
拍粗胚,phah-tshoo-phue,16,phah-chho͘-phoe,phahtshoophue,phahchhoophoe,phahtshoophue,phahchhoophoe,ptp,pcp,True
拍糊仔,phah-kôo-á,16,phah-kô͘-á,phahkoo5a2,phahkoo5a2,phahkooa,phahkooa,pka,pka,True
拍花面,phah-hue-bīn,16,phah-hoe-bīn,phahhuebin7,phahhoebin7,phahhuebin,phahhoebin,phb,phb,True
拖空墘,thua-khang-kînn,16,thoa-khang-kîⁿ,thuakhangkinn5,thoakhangkinn5,thuakhangkinn,thoakhangkinn,tkk,tkk,True
挲密刀,so-ba̍t-to,16,so-ba̍t-to,sobat8to,sobat8to,sobatto,sobatto,sbt,sbt,True
挲玻璃,so-po-lê,16,so-po-lê,sopole5,sopole5,sopole,sopole,spl,spl,True
捏版仔,lia̍p-pán-á,16,lia̍p-pán-á,liap8pan2a2,liap8pan2a2,liappana,liappana,lpa,lpa,True
捶篾仔,tuî-bi̍h-á,16,tûi-bi̍h-á,tui5bih8a2,tui5bih8a2,tuibiha,tuibiha,tba,tba,True
捻塔啾,liàn-thah-tshiu,16,liàn-thah-chhiu,lian3thahtshiu,lian3thahchhiu,lianthahtshiu,lianthahchhiu,ltt,ltc,True
控制錶,khòng-tsè-pió,16,khòng-chè-pió,khong3tse3pio2,khong3che3pio2,khongtsepio,khongchepio,ktp,kcp,True
掰糊仔,pué-kôo-á,16,póe-kô͘-á,pue2koo5a2,poe2koo5a2,puekooa,poekooa,pka,pka,True
描圖紙,biô-tôo-tsuá,16,biô-tô͘-chóa,bio5too5tsua2,bio5too5choa2,biotootsua,biotoochoa,btt,btc,True
搝厚薄,giú-kāu-po̍h,16,giú-kāu-po̍h,giu2kau7poh8,giu2kau7poh8,giukaupoh,giukaupoh,gkp,gkp,True
摃槌仔,kòng-thuî-á,16,kòng-thûi-á,kong3thui5a2,kong3thui5a2,kongthuia,kongthuia,kta,kta,True
撞璇仔,tōng-suān-á,16,tōng-soān-á,tong7suan7a2,tong7soan7a2,tongsuana,tongsoana,tsa,tsa,True
擠浮線,tsik-phû-suànn,16,chek-phû-sòaⁿ,tsikphu5suann3,chekphu5soann3,tsikphusuann,chekphusoann,tps,cps,True
敆內裡,kap-lāi-lí,16,kap-lāi-lí,kaplai7li2,kaplai7li2,kaplaili,kaplaili,kll,kll,True
敲薰屎,khà-hun-sái,16,khà-hun-sái,kha3hunsai2,kha3hunsai2,khahunsai,khahunsai,khs,khs,True
文公尺,bûn-kong-tshioh,16,bûn-kong-chhioh,bun5kongtshioh,bun5kongchhioh,bunkongtshioh,bunkongchhioh,bkt,bkc,True
文武甲,bûn-bú-kah,16,bûn-bú-kah,bun5bu2kah,bun5bu2kah,bunbukah,bunbukah,bbk,bbk,True
文武跤,bûn-bú-kha,16,bûn-bú-kha,bun5bu2kha,bun5bu2kha,bunbukha,bunbukha,bbk,bbk,True
文轎蓋,bûn-kiō-kuà,16,bûn-kiō-kòa,bun5kio7kua3,bun5kio7koa3,bunkiokua,bunkiokoa,bkk,bkk,True
曝日頭,pha̍k-ji̍t-thâu,16,pha̍k-ji̍t-thâu,phak8jit8thau5,phak8jit8thau5,phakjitthau,phakjitthau,pjt,pjt,True
月眉鱗,gua̍t-bâi-lân,16,goa̍t-bâi-lân,guat8bai5lan5,goat8bai5lan5,guatbailan,goatbailan,gbl,gbl,True
木桮刀,bo̍k-pue-to,16,bo̍k-poe-to,bok8pueto,bok8poeto,bokpueto,bokpoeto,bpt,bpt,True
木版畫,bo̍k-pán-uē,16,bo̍k-pán-ōe,bok8pan2ue7,bok8pan2oe7,bokpanue,bokpanoe,bpu,bpo,True
木麻黃,bo̍k-muâ-hông,16,bo̍k-môa-hông,bok8mua5hong5,bok8moa5hong5,bokmuahong,bokmoahong,bmh,bmh,True
松節油,siông-tsiat-iû,16,siông-chiat-iû,siong5tsiatiu5,siong5chiatiu5,siongtsiatiu,siongchiatiu,sti,sci,True
松膠碗,siông-ka-uánn,16,siông-ka-óaⁿ,siong5kauann2,siong5kaoann2,siongkauann,siongkaoann,sku,sko,True
架索仔,khuè-soh-á,16,khòe-soh-á,khue3soha2,khoe3soha2,khuesoha,khoesoha,ksa,ksa,True
柏青哥,pha-tsìn-kòo,16,pha-chìn-kò͘,phatsin3koo3,phachin3koo3,phatsinkoo,phachinkoo,ptk,pck,True
染料劑,ní-liāu-tse,16,ní-liāu-che,ni2liau7tse,ni2liau7che,niliautse,niliauche,nlt,nlc,True
柳葉眉,liú-hio̍h-bâi,16,liú-hio̍h-bâi,liu2hioh8bai5,liu2hioh8bai5,liuhiohbai,liuhiohbai,lhb,lhb,True
柴抹刀,tshâ-buah-to,16,chhâ-boah-to,tsha5buahto,chha5boahto,tshabuahto,chhaboahto,tbt,cbt,True
柴桮仔,tshâ-pue-á,16,chhâ-poe-á,tsha5puea2,chha5poea2,tshapuea,chhapoea,tpa,cpa,True
柴槌仔,tshâ-thuî-á,16,chhâ-thûi-á,tsha5thui5a2,chha5thui5a2,tshathuia,chhathuia,tta,cta,True
柿仔汁,khī-á-tsiap,16,khī-á-chiap,khi7a2tsiap,khi7a2chiap,khiatsiap,khiachiap,kat,kac,True
栗子殼,la̍t-tsí-khak,16,la̍t-chí-khak,lat8tsi2khak,lat8chi2khak,lattsikhak,latchikhak,ltk,lck,True
格仔尺,keh-á-tshioh,16,keh-á-chhioh,keha2tshioh,keha2chhioh,kehatshioh,kehachhioh,kat,kac,True
栽喙鬚,tsai-tshuì-tshiu,16,chai-chhùi-chhiu,tsaitshui3tshiu,chaichhui3chhiu,tsaitshuitshiu,chaichhuichhiu,ttt,ccc,True
栽喙齒,tsai-tshuì-khí,16,chai-chhùi-khí,tsaitshui3khi2,chaichhui3khi2,tsaitshuikhi,chaichhuikhi,ttk,cck,True
栽目睭,tsai-ba̍k-tsiu,16,chai-ba̍k-chiu,tsaibak8tsiu,chaibak8chiu,tsaibaktsiu,chaibakchiu,tbt,cbc,True
栽馬啾,tsai-bé-tshiu,16,chai-bé-chhiu,tsaibe2tshiu,chaibe2chhiu,tsaibetshiu,chaibechhiu,tbt,cbc,True
桂花甲,kuì-hue-kah,16,kùi-hoe-kah,kui3huekah,kui3hoekah,kuihuekah,kuihoekah,khk,khk,True
梳妝台,se-tsong-tâi,16,se-chong-tâi,setsongtai5,sechongtai5,setsongtai,sechongtai,stt,sct,True
椅頭仔,í-thâu-á,16,í-thâu-á,i2thau5a2,i2thau5a2,ithaua,ithaua,ita,ita,True
椅馬仔,í-bé-á,16,í-bé-á,i2be2a2,i2be2a2,ibea,ibea,iba,iba,True
楓仔樹,png-á-tshiū,16,png-á-chhiū,pnga2tshiu7,pnga2chhiu7,pngatshiu,pngachhiu,pat,pac,True
樟腦沙,tsiunn-ló-sua,16,chiuⁿ-ló-soa,tsiunnlo2sua,chiunnlo2soa,tsiunnlosua,chiunnlosoa,tls,cls,True
樟腦油,tsiunn-ló-iû,16,chiuⁿ-ló-iû,tsiunnlo2iu5,chiunnlo2iu5,tsiunnloiu,chiunnloiu,tli,cli,True
樹奶模,tshiū-ni-bôo,16,chhiū-ni-bô͘,tshiu7niboo5,chhiu7niboo5,tshiuniboo,chhiuniboo,tnb,cnb,True
橫杆仔,huâinn-kuainn-á,16,hoâiⁿ-koaiⁿ-á,huainn5kuainna2,hoainn5koainna2,huainnkuainna,hoainnkoainna,hka,hka,True
檳榔子,pin-nn̂g-tsí,16,pin-nn̂g-chí,pinnng5tsi2,pinnng5chi2,pinnngtsi,pinnngchi,pnt,pnc,True
櫃仔面,kuī-á-bīn,16,kūi-á-bīn,kui7a2bin7,kui7a2bin7,kuiabin,kuiabin,kab,kab,True
毛鋏仔,moo-giap-á,16,mo͘-giap-á,moogiapa2,moogiapa2,moogiapa,moogiapa,mga,mga,True
氣死貓,khì-sí-niau,16,khì-sí-niau,khi3si2niau,khi3si2niau,khisiniau,khisiniau,ksn,ksn,True
水粗紙,tsuí-tshoo-tsuá,16,chúi-chho͘-chóa,tsui2tshootsua2,chui2chhoochoa2,tsuitshootsua,chuichhoochoa,ttt,ccc,True
水茄苳,tsuí-ka-tang,16,chúi-ka-tang,tsui2katang,chui2katang,tsuikatang,chuikatang,tkt,ckt,True
水觳仔,tsuí-khok-á,16,chúi-khok-á,tsui2khoka2,chui2khoka2,tsuikhoka,chuikhoka,tka,cka,True
水車堵,tsuí-tshia-tóo,16,chúi-chhia-tó͘,tsui2tshiatoo2,chui2chhiatoo2,tsuitshiatoo,chuichhiatoo,ttt,cct,True
水𣁳仔,tsuí-khat-á,16,chúi-khat-á,tsui2khata2,chui2khata2,tsuikhata,chuikhata,tka,cka,True
沙拉油,sa-lá-iû,16,sa-lá-iû,sala2iu5,sala2iu5,salaiu,salaiu,sli,sli,True
油壓模,iû-ap-bôo,16,iû-ap-bô͘,iu5apboo5,iu5apboo5,iuapboo,iuapboo,iab,iab,True
油漏仔,iû-lāu-á,16,iû-lāu-á,iu5lau7a2,iu5lau7a2,iulaua,iulaua,ila,ila,True
油燈罩,iû-ting-tà,16,iû-teng-tà,iu5tingta3,iu5tengta3,iutingta,iutengta,itt,itt,True
油筒仔,iû-tâng-á,16,iû-tâng-á,iu5tang5a2,iu5tang5a2,iutanga,iutanga,ita,ita,True
泉州派,tsuân-tsiu-phài,16,choân-chiu-phài,tsuan5tsiuphai3,choan5chiuphai3,tsuantsiuphai,choanchiuphai,ttp,ccp,True
注蠟機,tsù-la̍h-ki,16,chù-la̍h-ki,tsu3lah8ki,chu3lah8ki,tsulahki,chulahki,tlk,clk,True
洋蔥皮,iûnn-tshang-phuê,16,iûⁿ-chhang-phôe,iunn5tshangphue5,iunn5chhangphoe5,iunntshangphue,iunnchhangphoe,itp,icp,True
浮綿仔,phoo-mî-a,16,pho͘-mî-a,phoomi5a,phoomi5a,phoomia,phoomia,pma,pma,True
浮雕堵,phû-tiau-tóo,16,phû-tiau-tó͘,phu5tiautoo2,phu5tiautoo2,phutiautoo,phutiautoo,ptt,ptt,True
淋碭釉,lâm-thn̄g-iu,16,lâm-thn̄g-iu,lam5thng7iu,lam5thng7iu,lamthngiu,lamthngiu,lti,lti,True
深篩仔,tshim-thai-á,16,chhim-thai-á,tshimthaia2,chhimthaia2,tshimthaia,chhimthaia,tta,cta,True
溫度針,un-tōo-tsiam,16,un-tō͘-chiam,untoo7tsiam,untoo7chiam,untootsiam,untoochiam,utt,utc,True
漆線塗,tshat-suànn-thôo,16,chhat-sòaⁿ-thô͘,tshatsuann3thoo5,chhatsoann3thoo5,tshatsuannthoo,chhatsoannthoo,tst,cst,True
漆線油,tshat-suànn-iû,16,chhat-sòaⁿ-iû,tshatsuann3iu5,chhatsoann3iu5,tshatsuanniu,chhatsoanniu,tsi,csi,True
漆線龍,tshat-suànn-liông,16,chhat-sòaⁿ-liông,tshatsuann3liong5,chhatsoann3liong5,tshatsuannliong,chhatsoannliong,tsl,csl,True
火勾仔,hué-kau-á,16,hóe-kau-á,hue2kaua2,hoe2kaua2,huekaua,hoekaua,hka,hka,True
火耙仔,hué-pê-á,16,hóe-pê-á,hue2pe5a2,hoe2pe5a2,huepea,hoepea,hpa,hpa,True
火鉗仔,hué-khînn-á,16,hóe-khîⁿ-á,hue2khinn5a2,hoe2khinn5a2,huekhinna,hoekhinna,hka,hka,True
火鍋爐,hué-ko-lôo,16,hóe-ko-lô͘,hue2koloo5,hoe2koloo5,huekoloo,hoekoloo,hkl,hkl,True
灰匙仔,hue-sî-á,16,hoe-sî-á,huesi5a2,hoesi5a2,huesia,hoesia,hsa,hsa,True
烏心石,oo-sim-tsio̍h,16,o͘-sim-chio̍h,oosimtsioh8,oosimchioh8,oosimtsioh,oosimchioh,ost,osc,True
熟桐油,si̍k-tâng-iû,16,se̍k-tâng-iû,sik8tang5iu5,sek8tang5iu5,siktangiu,sektangiu,sti,sti,True
燈火罩,ting-hué-tà,16,teng-hóe-tà,tinghue2ta3,tenghoe2ta3,tinghueta,tenghoeta,tht,tht,True
燖筒仔,tīm-tâng-á,16,tīm-tâng-á,tim7tang5a2,tim7tang5a2,timtanga,timtanga,tta,tta,True
牛喙罨,gû-tshuì-am,16,gû-chhùi-am,gu5tshui3am,gu5chhui3am,gutshuiam,guchhuiam,gta,gca,True
牛鈴仔,gû-lîng-á,16,gû-lêng-á,gu5ling5a2,gu5leng5a2,gulinga,gulenga,gla,gla,True
牽漆線,khan-tshat-suànn,16,khan-chhat-sòaⁿ,khantshatsuann3,khanchhatsoann3,khantshatsuann,khanchhatsoann,kts,kcs,True
獅仔跤,sai-á-kha,16,sai-á-kha,saia2kha,saia2kha,saiakha,saiakha,sak,sak,True
珊瑚樹,suan-ôo-tshiū,16,soan-ô͘-chhiū,suanoo5tshiu7,soanoo5chhiu7,suanootshiu,soanoochhiu,sot,soc,True
珠仔台,tsu-á-tâi,16,chu-á-tâi,tsua2tai5,chua2tai5,tsuatai,chuatai,tat,cat,True
瑪瑙刀,bé-ló-to,16,bé-ló-to,be2lo2to,be2lo2to,beloto,beloto,blt,blt,True
璇石膏,suān-tsio̍h-ko,16,soān-chio̍h-ko,suan7tsioh8ko,soan7chioh8ko,suantsiohko,soanchiohko,stk,sck,True
璇石花,suān-tsio̍h-hue,16,soān-chio̍h-hoe,suan7tsioh8hue,soan7chioh8hoe,suantsiohhue,soanchiohhoe,sth,sch,True
瓜笠仔,kue-le̍h-á,16,koe-le̍h-á,kueleh8a2,koeleh8a2,kueleha,koeleha,kla,kla,True
瓷仔枋,huî-á-pang,16,hûi-á-pang,hui5a2pang,hui5a2pang,huiapang,huiapang,hap,hap,True
瓷仔車,huî-á-tshia,16,hûi-á-chhia,hui5a2tshia,hui5a2chhia,huiatshia,huiachhia,hat,hac,True
番仔火,huan-á-hué,16,hoan-á-hóe,huana2hue2,hoana2hoe2,huanahue,hoanahoe,hah,hah,True
畫板仔,uē-pán-á,16,ōe-pán-á,ue7pan2a2,oe7pan2a2,uepana,oepana,upa,opa,True
畫活眼,uē-ua̍h-gán,16,ōe-oa̍h-gán,ue7uah8gan2,oe7oah8gan2,ueuahgan,oeoahgan,uug,oog,True
畫石頭,uē-tsio̍h-thâu,16,ōe-chio̍h-thâu,ue7tsioh8thau5,oe7chioh8thau5,uetsiohthau,oechiohthau,utt,oct,True
白匏仔,pe̍h-pû-á,16,pe̍h-pû-á,peh8pu5a2,peh8pu5a2,pehpua,pehpua,ppa,ppa,True
白玉仔,pe̍h-gi̍k-á,16,pe̍h-ge̍k-á,peh8gik8a2,peh8gek8a2,pehgika,pehgeka,pga,pga,True
白糊仔,pe̍h-kôo-á,16,pe̍h-kô͘-á,peh8koo5a2,peh8koo5a2,pehkooa,pehkooa,pka,pka,True
白胚紙,pe̍h-phue-tsuá,16,pe̍h-phoe-chóa,peh8phuetsua2,peh8phoechoa2,pehphuetsua,pehphoechoa,ppt,ppc,True
皮槌仔,phuê-thuî-á,16,phôe-thûi-á,phue5thui5a2,phoe5thui5a2,phuethuia,phoethuia,pta,pta,True
看紙紋,khuànn-tsuá-bûn,16,khòaⁿ-chóa-bûn,khuann3tsua2bun5,khoann3choa2bun5,khuanntsuabun,khoannchoabun,ktb,kcb,True
