tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit,is_variant
an-khong,安康,25,an-khong,an1khong1,an1khong1,ankhong,ankhong,ak,ak,True,False
an-hui,安徽,25,an-hui,an1hui1,an1hui1,anhui,anhui,ah,ah,True,False
an-sim,安心,25,an-sim,an1sim1,an1sim1,ansim,ansim,as,as,True,False
an-hioh,安息,25,an-hioh,an1hioh4,an1hioh4,anhioh,anhioh,ah,ah,True,False
an-uì,安慰,25,an-ùi,an1ui3,an1ui3,anui,anui,au,au,True,False
an-pâi,安排,25,an-pâi,an1pai5,an1pai5,anpai,anpai,ap,ap,True,False
an-tshah,安插,25,an-chhah,an1tshah4,an1chhah4,antshah,anchhah,at,ac,True,False
an-tah,安搭,25,an-tah,an1tah4,an1tah4,antah,antah,at,at,True,False
an-bú,安撫,25,an-bú,an1bu2,an1bu2,anbu,anbu,ab,ab,True,False
an-kinn,安更,25,an-kiⁿ,an1kinn1,an1kinn1,ankinn,ankinn,ak,ak,True,False
an-lo̍k,安樂,25,an-lo̍k,an1lok8,an1lok8,anlok,anlok,al,al,True,False
an-bîn,安民,25,an-bîn,an1bin5,an1bin5,anbin,anbin,ab,ab,True,False
an-thài,安泰,25,an-thài,an1thai3,an1thai3,anthai,anthai,at,at,True,False
uann-hái,安海,25,oaⁿ-hái,uann1hai2,oann1hai2,uannhai,oannhai,uh,oh,True,False
an-khue,安溪,25,an-khoe,an1khue1,an1khoe1,ankhue,ankhoe,ak,ak,True,False
an-tsàu,安灶,25,an-chàu,an1tsau3,an1chau3,antsau,anchau,at,ac,True,False
an-jiân,安然,25,an-jiân,an1jian5,an1jian5,anjian,anjian,aj,aj,True,False
an-iânn,安營,25,an-iâⁿ,an1iann5,an1iann5,aniann,aniann,ai,ai,True,False
an-lôo,安爐,25,an-lô͘,an1loo5,an1loo5,anloo,anloo,al,al,True,False
an-sán,安產,25,an-sán,an1san2,an1san2,ansan,ansan,as,as,True,False
an-bîn,安眠,25,an-bîn,an1bin5,an1bin5,anbin,anbin,ab,ab,True,False
an-suī,安睡,25,an-sūi,an1sui7,an1sui7,ansui,ansui,as,as,True,False
an-sîn,安神,25,an-sîn,an1sin5,an1sin5,ansin,ansin,as,as,True,False
an-ún,安穩,25,an-ún,an1un2,an1un2,anun,anun,au,au,True,False
an-tông,安童,25,an-tông,an1tong5,an1tong5,antong,antong,at,at,True,False
an-hû,安符,25,an-hû,an1hu5,an1hu5,anhu,anhu,ah,ah,True,False
an-tsìnn,安箭,25,an-chìⁿ,an1tsinn3,an1chinn3,antsinn,anchinn,at,ac,True,False
an-tì,安置,25,an-tì,an1ti3,an1ti3,anti,anti,at,at,True,False
an-tōo,安肚,25,an-tō͘,an1too7,an1too7,antoo,antoo,at,at,True,False
an-thai,安胎,25,an-thai,an1thai1,an1thai1,anthai,anthai,at,at,True,False
an-hue,安花,25,an-hoe,an1hue1,an1hoe1,anhue,anhoe,ah,ah,True,False
an-tsòng,安葬,25,an-chòng,an1tsong3,an1chong3,antsong,anchong,at,ac,True,False
an-siat,安設,25,an-siat,an1siat4,an1siat4,ansiat,ansiat,as,as,True,False
an-sin,安身,25,an-sin,an1sin1,an1sin1,ansin,ansin,as,as,True,False
an-kim,安金,25,an-kim,an1kim1,an1kim1,ankim,ankim,ak,ak,True,False
an-mn̂g,安門,25,an-mn̂g,an1mng5,an1mng5,anmng,anmng,am,am,True,False
an-hân,安閑,25,an-hân,an1han5,an1han5,anhan,anhan,ah,ah,True,False
an-iông,安陽,25,an-iông,an1iong5,an1iong5,aniong,aniong,ai,ai,True,False
an-lîng,安靈,25,an-lêng,an1ling5,an1leng5,anling,anleng,al,al,True,False
an-tsīng,安靜,25,an-chēng,an1tsing7,an1cheng7,antsing,ancheng,at,ac,True,False
an-tùn,安頓,25,an-tùn,an1tun3,an1tun3,antun,antun,at,at,True,False
an-ióng,安養,25,an-ióng,an1iong2,an1iong2,aniong,aniong,ai,ai,True,False
an-hiunn,安香,25,an-hiuⁿ,an1hiunn1,an1hiunn1,anhiunn,anhiunn,ah,ah,True,False
sòng-tāng,宋tāng,25,sòng-tāng,song3tang7,song3tang7,songtang,songtang,st,st,True,False
sòng-tiâu,宋朝,25,sòng-tiâu,song3tiau5,song3tiau5,songtiau,songtiau,st,st,True,False
sòng-bí,宋米,25,sòng-bí,song3bi2,song3bi2,songbi,songbi,sb,sb,True,False
