tl,hanzi
Nâ-tâu-tsé--á,林投姊仔
bîng-sing,明星
ná-pa̍t-á,林菝仔
Ia̍h-king,易經
tsím-thâu-long,枕頭囊
ám-muâi-á,泔糜仔
tsháu,炒
pa,爸
káu-kām-á,狗𩸶仔
káu-bú,狗母
káu-bú-hî,狗母魚
káu-bú-hû,狗母魚
hàng-lin,肨奶
kè-nê-á,芥藍仔
í,雨
khiû-moo,虯毛
khiû-môo,虯毛
bûn-hōo,門戶
a-bó,阿母
tióng-ló,長老
piáu-tsé,表姊
a-tsé,阿姊
a-pa,阿爸
a-pâ,阿爸
gîng-tsih,迎接
ngiâ-tsih,迎接
kim-póng,金榜
giâ-nāu-jia̍t,迎鬧熱
giâ-nāu-lia̍t,迎鬧熱
giâ-ting,迎燈
mn̂g-nî,門簾
tn̂g-liò-sò,長躼埽
piān-muî-lâng,便媒人
pó-tsìng,保正
kuàn-kun,冠軍
pó-uī,保衛
leh,咧
ai-pē-kiò-bó,哀爸叫母
tih-beh,咧欲
tih-bueh,咧欲
khè-bó,契母
tōo-sió-gua̍t,度小月
sái-pe-khí,屎桮齒
pang-tiâu,封條
hiō-tāi,後代
āu-bó,後母
āu-bó-bīn,後母面
phián-si̍t,扁食
hōo-hué,後悔
tsáinn-iūnn,怎樣
āu-puè,後輩
pín-tann,扁擔
ia̍h,曷
ia̍h-sái,曷使
tsa̍h-hng,昨昏
án-nuá,按怎
án-ná,按怎
àn-be̍h,按脈
ia̍h-tio̍h,曷著
tshun-tsiat,春節
kòo-tsiòng,故障
thiau-tsiàn,挑戰
tsìng-kuân,政權
móo-mí-lâng,某乜人
ta-poo,查埔
ta-poo gín-á,查埔囡仔
khò-huānn,洘旱
khó-thâu-muâi,洘頭糜
liû-suí,流水
lâu-suí,流水
ua̍h-tōng,活動
tsà-tân,炸彈
ua̍t-phuat,活潑
kuì,癸
siang,相
siàng,相
sio-siâng,相𫝛
siùnn-kang,相公
sio-kâng,相仝
sann-kìnn,相見
sann-tsenn,相爭
sann-tsinn,相爭
sio-pat,相捌
suan-lôo,珊瑚
sann-su,相輸
sio-jióng,相嚷
tshio-tshìn,秋凊
kho-guân,科員
thu̍t-jiân,突然
