tl,hanzi
tshenn,生
senn,生
phuê,皮
kuinn,光
tshiūnn,匠
kiánn,囝
huê,回
tē,地
hó,好
jī,字
tshù,次
iûnn,羊
khó,考
hīnn,耳
tsū,自
hueh,血
tī,佇
lí,你
nuī,卵
puī,吠
tshue,吹
khenn,坑
ngeh,夾
bué,尾
jiàu,抓
kenn,更
pōo,步
tse,災
tōo,肚
ōo,芋
gúan,阮
sū,事
niú,兩
tshe,初
kuínn,卷
khia,奇
muē,妹
sènn,姓
té,底
kenn,庚
phō,抱
puānn,拌
pue̍h,拔
hô,河
tshue,炊
tsenn,爭
kiunn,羌
sing,芟
kīn,近
hānn,迒
tiúnn,長
muî,門
hōo,雨
tshenn,青
pó,保
tshò,剉
kāu,厚
khè,契
tōo,度
tshenn,星
pènn,柄
iûnn,洋
sé,洗
te,炱
kè,疥
siùnn,相
gíng,研
tshiōng,穿
tshuinn,穿
luán,耎
phue,胚
khīng,虹
pue,飛
hiunn,香
puē,倍
tó,倒
tò,倒
pōo,哺
kénn,哽
niû,娘
tó,島
su,師
in,恩
in,恩
e,挨
juê,挼
lua̍h,捋
tēnn,捏
thô,桃
toh,桌
e̍h,狹
pēnn,病
soh,索
khueh,缺
tshè,脆
me̍h,脈
iúnn,舀
tshó,草
huinn,荒
thó,討
thè,退
phuè,配
tsiam,針
tî,除
tî,除
tsò,做
tshiùnn,唱
teh,啄
muī,問
pô,婆
tiunn,張
uínn,捥
kuínn,捲
the,推
uinn,掩
tsuīnn,旋
buê,梅
bueh,欲
tshing,清
lê,犁
tsiunn,章
le̍h,笠
phoh,粕
sè,細
ngeh,莢
ô,蚵
tshi,蛆
tē,袋
phuē,被
huè,貨
kuìnn,貫
kué,跂
nuí,軟
jik,逐
seh,雪
hî,魚
pò,報
tiûnn,場
bō,帽
tsiúnn,掌
pué,掰
tshuē,揣
nê,晾
thè,替
tsó,棗
pênn,棚
puē,焙
bô,無
tsí,煮
uē,畫
té,短
ngē,硬
suè,稅
kin,筋
tse̍h,絕
tiùnn,脹
khiunn,腔
tshu,舒
tio̍h,著
to̍h,著
ke,街
tshiūnn,象
hīng,貺
niû,量
niū,量
puīnn,飯
uînn,黃
sé,黍
thuînn,傳
siunn,傷
huînn,園
tè,塊
só,嫂
siūnn,想
suínn,損
khiú,搝
giú,搝
me,搣
tshiúnn,搶
ē,會
kīng,楗
huè,歲
khe,溪
iûnn,溶
gîn,睨
é,矮
tseh,節
kenn,經
hō,號
gū,遇
kuè,過
sian,鉎
tuìnn,頓
tshí,鼠
tshiūnn,像
oh,僫
ue̍h,劃
bōng,墓
bong,摸
mê,暝
tshiunn,槍
tiùnn,漲
suìnn,算
kuínn,管
tī,箸
kué,粿
tuè,綴
kê,膎
gí,語
sueh,說
sô,趖
se̍h,踅
huīnn,遠
suinn,酸
gîn,銀
phīnn,鼻
tsê,齊
tsiâu,齊
tshiúnn,廠
tsheh,慼
tshiâu,撨
tsiúnn,槳
tsô,槽
tsiunn,樟
iūnn,樣
tsiunn,漿
thuīnn,熥
kheh,瞌
tshuê,箠
siunn,箱
mē,罵
po,褒
tsènn,諍
ti,豬
siúnn,賞
puê,賠
khò,靠
ê,鞋
iúnn,養
gō,餓
o̍h,學
kì,據
tsuinn,磚
bō,磨
ko,篙
ko,糕
kuān,縣
thuìnn,褪
tê,蹄
tshénn,醒
kì,鋸
kuè,髻
tsē,濟
sò,燥
tshiûnn,牆
tènn,瞪
muê,糜
po̍h,薄
kiunn,薑
tsî,薯
lê,螺
siā,謝
hân,還
ue,鍋
tuīnn,斷
niû,糧
nuì,軁
tuínn,轉
tsiùnn,醬
só,鎖
siang,雙
ke,雞
tê,題
tshiûnn,颺
gô,鵝
phōo,簿
kenn,羹
kuainn,關
khuìnn,勸
pó,寶
tsiūnn,癢
bue̍h,襪
tshué,髓
kuè,鱖
niū,讓
neh,躡
tsuìnn,鑽
thenn,䖙
the,䖙
uínn,䘼
tshoh,𧮙
tīng,𠕇
siûnn,𣻸
tē,苧
tiūnn,丈
puinn,方
tsuînn,全
huî,危
hōo,后
hōo,后
hue,灰
gôo,吳
ki,車
uínn,阮
jí,乳
