tl,hanzi
Lâu,劉
Tsing,增
Bōo,慕
Khìng,慶
Môo,摩
Bōo,暮
Kiat,潔
Tsiâm,潛
Tiâu,潮
Tiô,潮
Phênn,澎
Phînn,澎
Phîng,澎
Luí,磊
Tō,稻
Tōo,稻
Tuān,緞
Hông,蓬
Liân,蓮
Uì,蔚
Tshuà,蔡
Uē,衛
Tsu,諸
Tsi,諸
Hui,輝
Tīng,鄧
Kióng,鞏
Khiat,頡
Lê,黎
Jû,儒
Lû,儒
Jî,儒
Tō,導
Tōo,導
Hiáu,曉
Tsiâu,樵
Li̍k,歷
Ti̍k,澤
Phok,璞
Hîng,衡
Jio̍k,褥
Lio̍k,褥
Lo̍k,諾
Tî,遲
Kím,錦
Gím,錦
Giâm,閻
Iâm,閻
Lo̍h,駱
Pāu,鮑
Bi̍k,默
Iu,優
Tû,儲
Thû,儲
Tî,儲
Thî,儲
Lē,勵
Ga̍k,嶽
Mí,彌
Tsé,濟
Pin,濱
Kiáu,矯
Siáu,篠
Tshiong,縱
Huân,繁
Biāu,繆
Kí,舉
Kú,舉
Luí,蕾
Māi,邁
Kiok,鞠
Hông,鴻
Tāi,黛
Kán,簡
Sat,薩
Tsông,藏
Khuat,闕
Tshuàng,闖
Kuī,懷
Khòng,曠
Lô,羅
Thâm,譚
Tsān,贊
Phîng,鵬
Lê,麗
Pâng,龐
Bâng,龐
Tōo,竇
Tsi̍k,籍
Kè,繼
Iāu,耀
Ái,藹
Lôo,蘆
Soo,蘇
Kak,覺
Sik,釋
Thîng,騰
Ing,櫻
Tîn,籐
Tîng,籐
Sio̍k,續
Io̍k,躍
Si̍p,襲
Si̍t,襲
Kàm,鑑
Luân,鸞
Suân,旋
Iû,尤
Tshòo,措
Luân,鑾
Ong,汪
Ang,汪
Ai,哎
Ián,衍
Tsin,甄
Huí,翡
Ài,噯
Hân,韓
Lô,邏
Thok,托
Bān,万
Ki,丌
Nái,乃
Mih,乜
Kî,亓
Kìng,亙
Khìng,亙
Khòng,亢
Khong,亢
Tsióng,仉
Tsiáng,仉
Tâng,仝
Kip,伋
Hiân,伭
Huì,佀
Sū,佀
Siâ,佘
Û,余
Î,余
Tông,佟
Ní,你
Gōo,俉
Tsóo,俎
Kīng,倞
Kiōng,倞
Kiāng,倞
Gê,倪
Guê,倪
Siat,偰
Tsa,偺
Tong,僮
Gu̍t,兀
Tóng,党
Kì,冀
Jiám,冉
Pù,冨
Hòng,况
Ngāi,刈
Gē,刈
Iám,剡
Siám,剡
Hāu,効
Tsiok,勺
Tsat,匝
Khong,匡
Piān,卞
Khah,卡
Ngōo,卧
Gōo,卧
Siāu,卲
Siō,卲
Sià,厙
Siang,双
Sang,双
Sóo,叟
Sió,叟
Ia̍p,叶
Gâ,呀
Lî,呢
Nî,呢
Tsú,呰
Tsí,呰
Bî,咪
Hâm,咸
Ko,咼
Koo,咼
Ua,哇
Nî,哖
Pài,唄
Puè,唄
Tuat,啜
Tshuat,啜
Khik,喀
Kat,嘎
Mái,嘪
Bi̍k,嘿
Pán,坂
Puánn,坂
Khut,堀
Ku̍t,堀
Iâm,塩
It,壹
Báu,夘
Ke,奎
Hê,奚
Khiat,姞
Kiat,姞
Bóo,姥
Ki,姬
Lí,娌
Lôo,婁
Liô,婁
Bí,媺
Îng,嬴
Khiat,孑
Tô,它
Ho̍k,宓
Khòo,寇
Khiò,寇
Kián,寋
Lîng,寗
Līng,寗
Līn,寗
Bīng,寗
Huân,寰
Ut,尉
Ong,尢
Ún,尹
Ín,尹
Gîm,岑
Khîm,岑
Tāi,岱
Ngôo,峨
Gô,峨
Hong,峯
Khi,崎
Kî,崎
Kiā,崎
Ke,嵇
Khe,嵇
Guî,嵬
Giâm,巖
Bû,巫
Sù,庶
Sì,庶
Tô,庹
Jú,庾
Lú,庾
Jí,庾
Lû,廬
Lî,廬
I̍k,弋
Hut,弗
Bí,弭
Kiông,强
Kiâng,强
Pi̍t,弼
Hui,徽
Him,忻
Hîng,恒
Ní,您
Lín,您
Ûn,惲
Hún,惲
Ún,惲
Khái,愷
Ham,憨
Ko,戈
Jiông,戎
Liông,戎
Giông,戎
Tship,戢
Hōo,扈
Tsat,扎
Lia̍p,拉
Liap,拉
Lô,挪
Ná,挪
Tshuí,揣
Iû,攸
Ngôo,敖
Tsian,旃
Bîn,旻
Bûn,旻
Tshióng,昶
Tiâu,晁
Tsìn,晋
Gōo,晤
Ngōo,晤
Siām,暹
Sū,曙
Sī,曙
Iāu,曜
Lóng,曩
Sài,曬
Hat,曷
Tsu̍t,朮
Tó,朶
Tóo,朶
Ki,机
Tshù,朿
Tshì,朿
Guân,杬
Hó,杲
Kó,杲
Liú,杻
Pî,枇
Tshit,柒
Tsià,柘
Huân,桓
Kik,棘
Tsui,椎
Thun,椿
Tshun,椿
Tsú,楮
Tsí,楮
Tóo,楮
Ká,榎
Huân,樊
Luân,欒
Sû,殳
Áu,毆
Ió,毆
Oó,毆
Bû,毋
Jú,汝
Lú,汝
Jí,汝
Bi̍k,汨
Khip,汲
Piān,汴
Bûn,汶
Būn,汶
Ho̍k,洑
Uán,浣
Uān,浣
Khàm,淦
Lam,淦
Kàm,淦
Lîng,淩
Sûn,淳
Tsú,渚
Tsí,渚
Kû,渠
Kî,渠
Ak,渥
Bî,湄
Tām,湛
Phóo,溥
Tîng,滕
Tông,潼
Tām,澹
Po̍k,濮
Khuat,濶
Khuah,濶
Ian,焉
Hi,熙
Ní,爾
Bôo,牟
