tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,sitbut,is_variant
tshiū-tshinn,樹青,25,chhiū-chhiⁿ,tshiu7tshinn1,chhiu7chhinn1,tshiutshinn,chhiuchhinn,tt,cc,True,False
tshiū-lîng,樹龍,25,chhiū-lêng,tshiu7ling5,chhiu7leng5,tshiuling,chhiuleng,tl,cl,True,False
ting-tông,橙桐,25,teng-tông,ting1tong5,teng1tong5,tingtong,tengtong,tt,tt,True,True
ting-lân,橙欄,25,teng-lân,ting1lan5,teng1lan5,tinglan,tenglan,tl,tl,True,True
tuânn-hiunn,檀香,25,tôaⁿ-hiuⁿ,tuann5hiunn1,toann5hiunn1,tuannhiunn,toannhiunn,th,th,True,False
tâi-á,檯仔,25,tâi-á,tai5a2,tai5a2,taia,taia,ta,ta,True,False
luân-tshiū,欒樹,25,loân-chhiū,luan5tshiu7,loan5chhiu7,luantshiu,loanchhiu,lt,lc,True,False
lám-jîn,欖仁,25,lám-jîn,lam2jin5,lam2jin5,lamjin,lamjin,lj,lj,True,False
tsí-kiong,止宮,25,chí-kiong,tsi2kiong1,chi2kiong1,tsikiong,chikiong,tk,ck,True,False
tsiànn-tshîng,正榕,25,chiàⁿ-chhêng,tsiann3tshing5,chiann3chheng5,tsianntshing,chiannchheng,tt,cc,True,False
khak-tshài,殼菜,25,khak-chhài,khak4tshai3,khak4chhai3,khaktshai,khakchhai,kt,kc,True,False
mô-khī,毛柿,25,mô-khī,mo5khi7,mo5khi7,mokhi,mokhi,mk,mk,True,False
kiû-lân,毬蘭,25,kiû-lân,kiu5lan5,kiu5lan5,kiulan,kiulan,kl,kl,True,False
tsuí-kam,水柑,25,chúi-kam,tsui2kam1,chui2kam1,tsuikam,chuikam,tk,ck,True,False
tsuí-liú,水柳,25,chúi-liú,tsui2liu2,chui2liu2,tsuiliu,chuiliu,tl,cl,True,False
tsuí-tsik,水燭,25,chúi-chek,tsui2tsik4,chui2chek4,tsuitsik,chuichek,tt,cc,True,False
tsuí-tîn,水籐,25,chúi-tîn,tsui2tin5,chui2tin5,tsuitin,chuitin,tt,ct,True,False
tsuí-ōo,水芋,25,chúi-ō͘,tsui2oo7,chui2oo7,tsuioo,chuioo,to,co,True,False
tsuí-kiô,水茄,25,chúi-kiô,tsui2kio5,chui2kio5,tsuikio,chuikio,tk,ck,True,False
tsuí-tsháu,水草,25,chúi-chháu,tsui2tshau2,chui2chhau2,tsuitshau,chuichhau,tt,cc,True,False
iû-bo̍k,油木,25,iû-bo̍k,iu5bok8,iu5bok8,iubok,iubok,ib,ib,True,False
iû-sam,油杉,25,iû-sam,iu5sam1,iu5sam1,iusam,iusam,is,is,True,False
iû-tshîng,油杉,25,iû-chhêng,iu5tshing5,iu5chheng5,iutshing,iuchheng,it,ic,True,False
iû-kam,油柑,25,iû-kam,iu5kam1,iu5kam1,iukam,iukam,ik,ik,True,False
iû-tê,油茶,25,iû-tê,iu5te5,iu5te5,iute,iute,it,it,True,False
iû-muâ,油麻,25,iû-môa,iu5mua5,iu5moa5,iumua,iumoa,im,im,True,False
hái-tông,海棠,25,hái-tông,hai2tong5,hai2tong5,haitong,haitong,ht,ht,True,False
lîm-lî,淋漓,25,lîm-lî,lim5li5,lim5li5,limli,limli,ll,ll,True,False
tām-tik,淡竹,25,tām-tek,tam7tik4,tam7tek4,tamtik,tamtek,tt,tt,True,False
siap-lâi,澁梨,25,siap-lâi,siap4lai5,siap4lai5,siaplai,siaplai,sl,sl,True,False
siap-hio̍h,澁葉,25,siap-hio̍h,siap4hioh8,siap4hioh8,siaphioh,siaphioh,sh,sh,True,False
ti̍k-lân,澤蘭,25,te̍k-lân,tik8lan5,tek8lan5,tiklan,teklan,tl,tl,True,False
oo-sam,烏杉,25,o͘-sam,oo1sam1,oo1sam1,oosam,oosam,os,os,True,False
oo-tshîng,烏榕,25,o͘-chhêng,oo1tshing5,oo1chheng5,ootshing,oochheng,ot,oc,True,False
oo-tāu,烏豆,25,o͘-tāu,oo1tau7,oo1tau7,ootau,ootau,ot,ot,True,False
oo-muâ,烏麻,25,o͘-môa,oo1mua5,oo1moa5,oomua,oomoa,om,om,True,False
hun-tsháu,煙草,25,hun-chháu,hun1tshau2,hun1chhau2,huntshau,hunchhau,ht,hc,True,True
nuā-sim,爛心,25,nōa-sim,nua7sim1,noa7sim1,nuasim,noasim,ns,ns,True,False
gû-tsiunn,牛樟,25,gû-chiuⁿ,gu5tsiunn1,gu5chiunn1,gutsiunn,guchiunn,gt,gc,True,False
giû-tshik,牛膝,25,giû-chhek,giu5tshik4,giu5chhek4,giutshik,giuchhek,gt,gc,True,False
káu-tsit,狗脊,25,káu-chit,kau2tsit4,kau2chit4,kautsit,kauchit,kt,kc,True,False
bíng-tshiū,猛樹,25,béng-chhiū,bing2tshiu7,beng2chhiu7,bingtshiu,bengchhiu,bt,bc,True,False
to̍k-hua̍t,獨活,25,to̍k-hoa̍t,tok8huat8,tok8hoat8,tokhuat,tokhoat,th,th,True,False
giô-tsí,玉枳,25,giô-chí,gio5tsi2,gio5chi2,giotsi,giochi,gt,gc,True,False
tinn-kiat,甜橘,25,tiⁿ-kiat,tinn1kiat4,tinn1kiat4,tinnkiat,tinnkiat,tk,tk,True,False
tinn-tshài,甜菜,25,tiⁿ-chhài,tinn1tshai3,tinn1chhai3,tinntshai,tinnchhai,tt,tc,True,False
tinn-be̍h,甜麥,25,tiⁿ-be̍h,tinn1beh8,tinn1beh8,tinnbeh,tinnbeh,tb,tb,True,False
tshinn-kiunn,生姜,25,chhiⁿ-kiuⁿ,tshinn1kiunn1,chhinn1kiunn1,tshinnkiunn,chhinnkiunn,tk,ck,True,False
tshân-tshinn,田菁,25,chhân-chhiⁿ,tshan5tshinn1,chhan5chhinn1,tshantshinn,chhanchhinn,tt,cc,True,False
tshân-tsû,田薯,25,chhân-chû,tshan5tsu5,chhan5chu5,tshantsu,chhanchu,tt,cc,True,False
pe̍h-á,白仔,25,pe̍h-á,peh8a2,peh8a2,peha,peha,pa,pa,True,False
pe̍h-mn̂g,白們,25,pe̍h-mn̂g,peh8mng5,peh8mng5,pehmng,pehmng,pm,pm,True,False
pe̍h-pû,白匏,25,pe̍h-pû,peh8pu5,peh8pu5,pehpu,pehpu,pp,pp,True,False
pe̍h-khing,白柏,25,pe̍h-kheng,peh8khing1,peh8kheng1,pehkhing,pehkheng,pk,pk,True,False
pe̍h-tông,白桐,25,pe̍h-tông,peh8tong5,peh8tong5,pehtong,pehtong,pt,pt,True,False
pe̍h-muî,白梅,25,pe̍h-mûi,peh8mui5,peh8mui5,pehmui,pehmui,pm,pm,True,False
pe̍h-tshîng,白榕,25,pe̍h-chhêng,peh8tshing5,peh8chheng5,pehtshing,pehchheng,pt,pc,True,False
pe̍h-tshiū,白樹,25,pe̍h-chhiū,peh8tshiu7,peh8chhiu7,pehtshiu,pehchhiu,pt,pc,True,False
pe̍h-tāu,白豆,25,pe̍h-tāu,peh8tau7,peh8tau7,pehtau,pehtau,pt,pt,True,False
pe̍h-gûn,白銀,25,pe̍h-gûn,peh8gun5,peh8gun5,pehgun,pehgun,pg,pg,True,False
pe̍h-lîn,白隣,25,pe̍h-lîn,peh8lin5,peh8lin5,pehlin,pehlin,pl,pl,True,False
pe̍h-muâ,白麻,25,pe̍h-môa,peh8mua5,peh8moa5,pehmua,pehmoa,pm,pm,True,False
tsinn-tik,矢竹,25,chiⁿ-tek,tsinn1tik4,chinn1tek4,tsinntik,chinntek,tt,ct,True,False
