tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
ló-phòo,老舖,25,ló-phò͘,lo2phoo3,lo2phoo3,lophoo,lophoo
lāu-hóo,老虎,25,lāu-hó͘,lau7hoo2,lau7hoo2,lauhoo,lauhoo
lau-ke,老街,25,lau-ke,lau1ke1,lau1ke1,lauke,lauke
lau-kue,老街,25,lau-koe,lau1kue1,lau1koe1,laukue,laukoe
khó-siàu,考數,25,khó-siàu,kho2siau3,kho2siau3,khosiau,khosiau
jî-tshiánn,而且,25,jî-chhiáⁿ,ji5tshiann2,ji5chhiann2,jitshiann,jichhiann
jî-bué,而尾,25,jî-bóe,ji5bue2,ji5boe2,jibue,jiboe
jî-āu,而後,25,jî-āu,ji5au7,ji5au7,jiau,jiau
sńg-ī,耍奕,25,sńg-ī,sng2i7,sng2i7,sngi,sngi
sńg-lāng,耍弄,25,sńg-lāng,sng2lang7,sng2lang7,snglang,snglang
sńg-hì,耍戲,25,sńg-hì,sng2hi3,sng2hi3,snghi,snghi
sńg-tsuí,耍水,25,sńg-chúi,sng2tsui2,sng2chui2,sngtsui,sngchui
sńg-íng,耍湧,25,sńg-éng,sng2ing2,sng2eng2,snging,sngeng
sńg-tsiá,耍者,25,sńg-chiá,sng2tsia2,sng2chia2,sngtsia,sngchia
king-ûn,耕耘,25,keng-ûn,king1un5,keng1un5,kingun,kengun
hīnn-kuà,耳掛,25,hīⁿ-kòa,hinn7kua3,hinn7koa3,hinnkua,hinnkoa
hīnn-pue,耳桮,25,hīⁿ-poe,hinn7pue1,hinn7poe1,hinnpue,hinnpoe
hīnn-tûn,耳脣,25,hīⁿ-tûn,hinn7tun5,hinn7tun5,hinntun,hinntun
hīnn-thâng,耳蟲,25,hīⁿ-thâng,hinn7thang5,hinn7thang5,hinnthang,hinnthang
hīnn-hóng,耳訪,25,hīⁿ-hóng,hinn7hong2,hinn7hong2,hinnhong,hinnhong
hīnn-hong,耳風,25,hīⁿ-hong,hinn7hong1,hinn7hong1,hinnhong,hinnhong
tam-koh,耽擱,25,tam-koh,tam1koh1,tam1koh1,tamkoh,tamkoh
tānn-hī,耽耳,25,tāⁿ-hī,tann7hi7,tann7hi7,tannhi,tannhi
