hanzi,tl
寄養家庭,kià-ióng ka-tîng
偵查氣球,tsing-tsa khì-kiû
面大細䫌症,bīn-tuā-sè-phué-tsìng
小耳症,sió-hīnn-tsìng
助聽器,tsōo-thiann-khì
番鼠,huan-tshí
番鼠,huan-tshú
創傷後壓力症候群,tshong-siong āu ap-li̍k tsìng-hāu-kûn
公論,kong-lūn
果凍,kó-tàng
共融公園,kiōng-iông kong-hn̂g
共融遊戲場,kiōng-iông iû-hì-tiûnn
跤後筋,kha-āu-kin
跤後筋,kha-āu-kun
中人,tiong-lâng
物聯網,bu̍t-liân-bāng
少子化,siáu-tsú-huà
視網膜,sī-bāng-mo̍oh
龍骨髓,liông-kut-tshué
龍骨髓,lîng-kut-tshé
鷹派,ing-phài
鴿派,kap-phài
瀏覽器,liû-lám-khì
面罩,bīn-tà
級差,kip-tsha
掰會,pué-huē
坉海造地,thūn-hái tsō-tē
坉海造地,thūn-hái tsō-tuē
臍帶,tsâi-tuà
叨撚批,lo-lián-phue
口碑,kháu-pi
觱卡,pi-khah
焐卡,ù-khah
鑢卡,lù-khah
熊市,hîm-tshī
牛市,gû-tshī
帶風向,tài-hong-hiòng
邊緣人,pian-iân-jîn
演算法,ián-suàn-huat
茶米卵,tê-bí-nn̄g
碳跤跡,thuànn-kha-jiah
碳跤跡,thuànn-kha-liah
制衡,tsè-hîng
收 khoo-mí-sióng,siu khoo-mí-sióng
栓窒,sng-that
血角,hueh-kak
收烏西錢,siu oo-se-tsînn
收賄,siu-hué
做散工,tsò suánn-kang
做散工,tsuè suánn-kang
散工換蹛,suánn-kang uānn-tuà
揹仔客,phāinn-á-kheh
社畜,siā-thiok
房貸,pâng-tāi
厝貸,tshù-tāi
柴角仔,tshâ-kak-á
書迷,tsu-bê
天然氣,thian-jiân-khì
天然氣,thian-liân-khì
液化,i̍k-huà
澄清,tîng-tshing
人面辨識,lâng-bīn piān-sik
可蘭經,Khó-lân-king
大使館,tāi-sài-kuán
失智症,sit-tì-tsìng
伊斯蘭,I-su-lân
移工,î-kang
外籍勞工,guā-tsi̍k lô-kang
冰風暴,ping-hong-pō
巡洋艦,sûn-iûnn-lām
閣活節,Koh-ua̍h-tseh
閣活節,Koh-ua̍h-tsueh
復活節,Ho̍k-ua̍h-tseh
復活節,Ho̍k-ua̍h-tsueh
空心磚,khang-sim-tsng
電鋸,tiān-kì
電鋸,tiān-kù
舍利子,sià-lī-tsú
魁北克,Khue-pak-khik
營養午餐,îng-ióng ngóo-tshan
豁免,hat-bián
網路防火牆,bāng-lōo hông-hué-tshiûnn
網路防火牆,bāng-lōo hông-hé-tshiûnn
鼻胃管,phīnn-uī-kóng
共伴效應,kiōng-phuān hāu-ìng
入數,ji̍p-siàu
入數,li̍p-siàu
虛擬貨幣,hi-gí huè-pè
虛擬貨幣,hi-gí hè-pè
加密貨幣,ka-bi̍t huè-pè
加密貨幣,ka-bi̍t hè-pè
人熊,lâng-hîm
狒狒,huì-huì
衝鋒銃,tshiong-hong-tshìng
暗擊,àm-kik
