tl,hanzi,frequency,poj
kù,句,3378,kù
sann,衫,3376,saⁿ
tuann,單,3371,toaⁿ
sio,燒,3369,sio
pē,爸,3368,pē
niû,娘,3365,niû
kòo,故,3365,kò͘
tsuē,罪,3360,chōe
thôo,塗,3339,thô͘
khak,確,3339,khak
tok,督,3324,tok
kè,價,3323,kè
kiānn,件,3307,kiāⁿ
tsún,準,3291,chún
tiâu,條,3286,tiâu
phuà,破,3280,phòa
tsûn,船,3270,chûn
tshiánn,請,3261,chhiáⁿ
tāng,重,3234,tāng
sàng,送,3230,sàng
tiunn,張,3222,tiuⁿ
khan,牽,3217,khan
bī,味,3212,bī
ing,英,3210,eng
kánn,敢,3179,káⁿ
tshenn,生,3163,chheⁿ
khuì,氣,3144,khùi
tsuá,紙,3134,chóa
tsuan,專,3129,choan
kuá,寡,3125,kóa
su,思,3123,su
uán,遠,3116,oán
tiōng,重,3114,tiōng
tshàu,臭,3108,chhàu
tsing,精,3107,cheng
to̍k,獨,3095,to̍k
pái,擺,3083,pái
hiáu,曉,3083,hiáu
suî,隨,3082,sûi
kiông,強,3049,kiông
pa̍t,別,3043,pa̍t
siā,謝,3028,siā
īnn,院,3016,īⁿ
guān,願,3016,goān
siàu,少,3010,siàu
khó,考,3008,khó
tāu,豆,3000,tāu
ná,那,2994,ná
tīn,陣,2992,tīn
tsiah,隻,2989,chiah
kai,該,2986,kai
sái,使,2966,sái
sú,使,2966,sú
lâu,流,2954,lâu
tsí,只,2950,chí
pâi,排,2950,pâi
tìn,鎮,2950,tìn
nn̄g,兩,2949,nn̄g
kuí,鬼,2941,kúi
phín,品,2932,phín
pâng,房,2928,pâng
pòo,布,2924,pò͘
làu,落,2916,làu
hiông,雄,2901,hiông
khin,輕,2882,khin
kun,軍,2876,kun
nâ,林,2875,nâ
hì,戲,2869,hì
tsóo,祖,2864,chó͘
hú,府,2856,hú
kiám,檢,2838,kiám
uá,倚,2834,óa
gī,議,2834,gī
sòo,數,2832,sò͘
sio̍k,俗,2810,sio̍k
siau,消,2810,siau
thó,討,2800,thó
sian,仙,2792,sian
