hanzi,tl,frequency
刀板,to-pán,25
刀痕,to-hûn,25
刀路,to-lōo,25
刀鋩,to-mê,25
分子,hun-tsú,25
分擔,hun-tam,25
分數,hun-sòo,25
分號,hun-hō,25
分解,hun-kái,25
分說,hun-suat,25
分貝,hun-puè,25
分速,hun-sok,25
分針,hun-tsiam,25
列式,lia̍t-sik,25
刻度,khik-tōo,25
前後,tsîng-āu,25
前蛹,tsiân-ióng,25
前踢,tsîng-that,25
前項,tsîng-hāng,25
剪紙,tsián-tsuá,25
剪裁,tsián-tshâi,25
剪輯,tsián-tsi̍p,25
割讓,kuah-niū,25
創作,tshòng-tsok,25
創意,tshòng-ì,25
剾仔,khau-á,25
剾刀,khau-to,25
功夫,kang-hu,25
加侖,ka-lûn,25
加成,ka-siânn,25
加數,ka-sòo,25
加法,ka-huat,25
加減,ka-kiám,25
加號,ka-hō,25
劣弧,lua̍t-hôo,25
助燃,tsōo-jiân,25
助詞,tsōo-sû,25
動態,tōng-thài,25
動畫,tōng-uē,25
勞力,lóo-la̍t,25
勞力,lô-li̍k,25
募款,bōo-khuán,25
勾拳,kau-kûn,25
包皮,pau-phuê,25
北帶,pak-tài,25
北管,pak-kuán,25
匯款,huē-khuán,25
匯率,huē-lu̍t,25
十位,tsa̍p-uī,25
千位,tshing-uī,25
升冪,sing-bi̍k,25
半徑,puànn-kìng,25
半音,puànn-im,25
協商,hia̍p-siong,25
南拳,lâm-kûn,25
南海,lâm-hái,25
南胡,lâm-ôo,25
南韓,lâm-hân,25
卵子,luán-tsú,25
卵巢,nn̄g-tsâu,25
卵生,luán-sing,25
厘米,lî-bí,25
厚度,kāu-tōo,25
厚薄,kāu-po̍h,25
原價,guân-kè,25
原句,guân-kù,25
原著,guân-tù,25
原點,guân-tiám,25
去聲,khì-siann,25
反比,huán-pí,25
反白,huán-pe̍h,25
取景,tshú-kíng,25
受力,siū-li̍k,25
受熱,siū-jia̍t,25
口琴,kháu-khîm,25
古文,kóo-bûn,25
古箏,kóo-tsing,25
古詩,kóo-si,25
句型,kù-hîng,25
句尾,kù-bué,25
句式,kù-sik,25
叨撚,lo-lián,25
叨食,lo-tsia̍h,25
叫聲,kiò-siann,25
召鏡,tiàu-kiànn,25
司儀,su-gî,25
合唱,ha̍p-tshiùnn,25
合奏,ha̍p-tsàu,25
合成,ha̍p-sîng,25
合數,ha̍p-sòo,25
合球,ha̍p-kiû,25
合金,ha̍p-kim,25
吊杯,tiàu-pue,25
吊槔,tiàu-oo,25
吊車,tiàu-tshia,25
名字,miâ-jī,25
名產,bîng-sán,25
名言,bîng-giân,25
吳沙,ngôo-sua,25
吸力,khip-li̍k,25
吹奏,tshue-tsàu,25
周界,tsiu-kài,25
周角,tsiu-kak,25
周長,tsiu-tn̂g,25
味覺,bī-kak,25
命令,bīng-līng,25
和弦,hô-hiân,25
和齊,hô-tsê,25
唐詩,tông-si,25
售價,siū-kè,25
唱名,tshiùnn-miâ,25
唱奏,tshiùnn-tsàu,25
唱片,tshiùnn-phìnn,25
唸唱,liām-tshiùnn,25
唸謠,liām-iâu,25
商店,siong-tiàm,25
商港,siong-káng,25
啟示,khé-sī,25
喇叭,lá-pah,25
喙空,tshuì-khang,25
喙罨,tshuì-am,25
喪葬,song-tsòng,25
單位,tan-uī,25
單價,tan-kè,25
單數,tan-sòo,25
單槓,tan-kǹg,25
噪音,tshò-im,25
四拍,sù-phik,25
四書,sù-su,25
四極,sù-ki̍k,25
四肢,sù-ki,25
囝孫,kiánn-sun,25
因數,in-sòo,25
固態,kòo-thài,25
國文,kok-bûn,25
國樂,kok-ga̍k,25
國道,kok-tō,25
圍剿,uî-tsâu,25
圓周,înn-tsiu,25
圓尺,înn-tshioh,25
圓弧,înn-hôo,25
圓形,înn-hîng,25
圓柱,înn-thiāu,25
圓規,înn-kui,25
圓錐,înn-tsui,25
圖例,tôo-lē,25
圖形,tôo-hîng,25
圖示,tôo-sī,25
圖表,tôo-pió,25
圖鑑,tôo-kàm,25
土名,thóo-miâ,25
土產,thóo-sán,25
圭表,kui-pió,25
地勢,tē-sè,25
地形,tē-hîng,25
地球,tē-kiû,25
地磁,tē-tsû,25
地表,tē-piáu,25
地質,tē-tsit,25
均衡,kin-hîng,25
坑谷,khenn-kok,25
坡度,pho-tōo,25
埤仔,pi-á,25
基隆,ke-lâng,25
堅冰,kian-ping,25
堆肥,tui-puî,25
報酬,pò-siû,25
塊根,khuài-kin,25
塗壤,thôo-jióng,25
塗條,thôo-tiâu,25
塗球,thôo-kiû,25
墨色,ba̍k-sik,25
夏季,hā-kuì,25
外人,guā-lâng,25
外形,guā-hîng,25
外心,guā-sim,25
外戚,guā-tshik,25
外銷,guā-siau,25
大員,tāi-uân,25
大地,tāi-tē,25
大寒,tāi-hân,25
大數,tuā-sòo,25
大於,tuā-î,25
大氣,tāi-khì,25
大箍,tuā-khoo,25
大篆,tuā-thuàn,25
大腸,tuā-tn̂g,25
大調,tuā-tiāu,25
大鑼,tuā-lô,25
大雪,tāi-suat,25
大麻,tuā-muâ,25
天敵,thian-ti̍k,25
天災,thian-tsai,25
太陽,thài-iông,25
奇數,khia-sòo,25
奈米,nāi-bí,25
奧運,ò-ūn,25
好聽,hó-thiann,25
妝娗,tsng-thānn,25
始邊,sí-pinn,25
姓名,sènn-miâ,25
子房,tsú-pâng,25
子數,tsú-sòo,25
子葉,tsú-hio̍h,25
字例,jī-lē,25
字劃,jī-ue̍h,25
字帖,jī-thiap,25
字爿,jī-pîng,25
字硩,jī-teh,25
字詞,jī-sû,25
字部,jī-pōo,25
字音,jī-im,25
孝道,hàu-tō,25
孢子,pau-tsí,25
季風,kuì-hong,25
學唱,o̍h-tshiùnn,25
學期,ha̍k-kî,25
守備,siú-pī,25
宋詞,sòng-sû,25
宗祠,tsong-sû,25
定做,tiānn-tsò,25
定價,tīng-kè,25
定星,tīng-tshenn,25
客運,kheh-ūn,25
宣紙,suan-tsuá,25
宣言,suan-giân,25
宴席,iân-sia̍h,25
家訓,ka-hùn,25
家鄉,ka-hiong,25
容器,iông-khì,25
容積,iông-tsik,25
寄託,kià-thok,25
密碼,bi̍t-bé,25
密集,bi̍t-tsi̍p,25
寒假,hân-ká,25
寒冬,kuânn-tang,25
寒帶,hân-tài,25
寒露,hân-lōo,25
實木,si̍t-bo̍k,25
實驗,si̍t-giām,25
審題,sím-tê,25
寫作,siá-tsok,25
寫景,siá-kíng,25
射筒,siā-tâng,25
射箭,siā-tsìnn,25
射線,siā-suànn,25
射門,siā-mn̂g,25
對分,tuì-pun,25
對句,tuì-kù,25
對比,tuì-pí,25
對流,tuì-liû,25
對焦,tuì-tsiau,25
對生,tuì-sing,25
對白,tuì-pe̍h,25
對邊,tuì-pinn,25
導線,tō-suànn,25
導言,tō-giân,25
導讀,tō-tho̍k,25
導體,tō-thé,25
小吹,sió-tshue,25
小寒,siáu-hân,25
小於,sió-î,25
小時,sió-sî,25
小月,sió-gue̍h,25
小節,sió-tsiat,25
小篆,sió-thuàn,25
小鑼,sió-lô,25
小雪,siáu-suat,25
尖角,tsiam-kak,25
尪仔,ang-á,25
尪姨,ang-î,25
就業,tsiū-gia̍p,25
尾局,bué-kio̍k,25
尾溜,bué-liu,25
尾羽,bué-ú,25
尾翼,bué-si̍t,25
尾聲,bué-siann,25
尾針,bué-tsiam,25
尾鰭,bué-kî,25
尿道,jiō-tō,25
屈尺,khut-tshioh,25
展演,tián-ián,25
屬名,sio̍k-miâ,25
山川,san-tshuan,25
山球,suann-kiû,25
山羊,suann-iûnn,25
岬灣,kap-uan,25
崎坡,kiā-pho,25
崎度,kiā-tōo,25
崑曲,khun-khik,25
工蜂,kang-phang,25
工蟻,kang-hiā,25
差異,tsha-ī,25
布景,pòo-kíng,25
師傅,sai-hū,25
平刀,pênn-to,25
平分,pênn-pun,25
平原,pîng-guân,25
平地,pênn-tē,25
平聲,piânn-siann,25
平行,pîng-hîng,25
平角,pênn-kak,25
平長,pênn-tn̂g,25
平闊,pênn-khuah,25
平面,pênn-bīn,25
幹部,kàn-pōo,25
幼瓷,iù-huî,25
幼蟲,iù-thâng,25
幼鹽,iù-iâm,25
序奏,sū-tsàu,25
序數,sū-sòo,25
底盤,té-puânn,25
底角,té-kak,25
底邊,té-pinn,25
底面,té-bīn,25
店頭,tiàm-thâu,25
度針,tōo-tsiam,25
廟寺,biō-sī,25
廟會,biō-huē,25
延延,iân-tshiân,25
弄獅,lāng-sai,25
弄花,lāng-hue,25
弄龍,lāng-lîng,25
弓仔,king-á,25
弓形,king-hîng,25
引號,ín-hō,25
引電,ín-tiān,25
弦樂,hiân-ga̍k,25
弧線,hôo-suànn,25
弧長,hôo-tn̂g,25
強拍,kiông-phik,25
強酸,kiông-sng,25
強鹼,kiông-kinn,25
彈劾,tân-hi̍k,25
彈奏,tuânn-tsàu,25
形狀,hîng-tsōng,25
形符,hîng-hû,25
形聲,hîng-siann,25
形變,hîng-piàn,25
彩度,tshái-tōo,25
彩筆,tshái-pit,25
彩繪,tshái-huē,25
彩色,tshái-sik,25
彩霞,tshái-hâ,25
律仔,lu̍t-á,25
律動,lu̍t-tōng,25
律詩,lu̍t-si,25
後記,hiō-kì,25
後跤,āu-kha,25
後踢,āu-that,25
後項,āu-hāng,25
後齻,āu-tsan,25
得分,tit-hun,25
徙栽,suá-tsai,25
徛名,khiā-miâ,25
徛鵝,khiā-gô,25
心仔,sim-á,25
心得,sim-tik,25
心算,sim-sǹg,25
快板,khuài-pán,25
快門,khuài-mn̂g,25
急救,kip-kiù,25
性別,sìng-pia̍t,25
恆星,hîng-tshenn,25
情節,tsîng-tsiat,25
意符,ì-hû,25
感受,kám-siū,25
感官,kám-kuan,25
感染,kám-jiám,25
慢板,bān-pán,25
慶典,khìng-tián,25
懸位,kuân-uī,25
懸問,hiân-būn,25
懸山,kuân-suann,25
懸度,kuân-tōo,25
懸音,kuân-im,25
成績,sîng-tsik,25
成藥,sîng-io̍h,25
成蝶,sîng-tia̍p,25
成蟲,sîng-thâng,25
成語,sîng-gí,25
戒律,kài-lu̍t,25
截面,tsia̍t-bīn,25
戰祭,tsiàn-tsè,25
戲台,hì-tâi,25
戲曲,hì-khik,25
扇形,sìnn-hîng,25
手球,tshiú-kiû,25
扣球,khàu-kiû,25
扮仙,pān-sian,25
扮演,pān-ián,25
承球,sîn-kiû,25
投影,tâu-iánn,25
投籃,tâu-nâ,25
投資,tâu-tsu,25
抗力,khòng-li̍k,25
抗體,khòng-thé,25
折扣,tsiat-khàu,25
抱拳,phō-kûn,25
押韻,ah-ūn,25
拋球,phau-kiû,25
拍板,phik-pán,25
拍種,phah-tsíng,25
拍莓,phah-m̂,25
拍號,phik-hō,25
拍鼓,phah-kóo,25
拐騙,kuái-phiàn,25
拓印,thok-ìn,25
拓展,thok-tián,25
拔封,pue̍h-hong,25
拗射,áu-siā,25
括號,kuat-hō,25
拼貼,phing-tah,25
拼音,phing-im,25
指事,tsí-sū,25
指法,tsí-huat,25
指針,tsí-tsiam,25
挑選,thiau-suán,25
挫傷,tshò-siong,25
振動,tsín-tōng,25
振幅,tsín-hok,25
挽搣,bán-me,25
挽水,bán-tsuí,25
挽脈,bán-me̍h,25
捏成,lia̍p-sîng,25
捙拚,tshia-piànn,25
捲軸,kńg-ti̍k,25
捷徑,tsia̍t-kìng,25
掃墓,sàu-bōng,25
掃描,sàu-biâu,25
排比,pâi-pí,25
排隊,pâi-tuī,25
掠痧,lia̍h-sua,25
掠齊,lia̍h-tsê,25
探查,thàm-tsa,25
掣流,tshuah-lâu,25
接球,tsiap-kiû,25
接納,tsiap-la̍p,25
控球,khòng-kiû,25
推力,thui-li̍k,25
措施,tshòo-si,25
插座,tshah-tsō,25
插敘,tshah-sū,25
插枝,tshah-ki,25
插畫,tshah-uē,25
揚琴,iâng-khîm,25
換氣,uānn-khuì,25
換算,uānn-sǹg,25
揣食,tshuē-tsia̍h,25
搬徙,puann-suá,25
搬運,puann-ūn,25
搭球,tah-kiû,25
搶剝,tshiúnn-pak,25
搶孤,tshiúnn-koo,25
摘述,tiah-su̍t,25
摹寫,bôo-siá,25
摺法,tsih-huat,25
摺被,tsih-phuē,25
撇橫,phiat-huâinn,25
撚錢,lián-tsînn,25
撰寫,tsuān-siá,25
操作,tshau-tsok,25
擴分,khok-hun,25
擴寫,khok-siá,25
擺動,pái-tōng,25
擺長,pái-tn̂g,25
收入,siu-ji̍p,25
改寫,kái-siá,25
改編,kái-pian,25
放卵,pàng-nn̄g,25
放大,hòng-tuā,25
救援,kiù-uān,25
救濟,kiù-tsè,25
敘事,sū-sū,25
敘寫,sū-siá,25
敘述,sū-su̍t,25
教室,kàu-sik,25
教師,kàu-su,25
散熱,sàn-jia̍t,25
敬語,kìng-gí,25
整數,tsíng-sòo,25
整除,tsíng-tî,25
數單,siàu-tuann,25
數量,sòo-liōng,25
文句,bûn-kù,25
文意,bûn-ì,25
文物,bûn-bu̍t,25
文讀,bûn-tho̍k,25
文面,bûn-bīn,25
文音,bûn-im,25
文體,bûn-thé,25
斜角,tshua̍h-kak,25
斜鉤,tshiâ-kau,25
斧足,hú-tsiok,25
新曆,sin-li̍k,25
新詩,sin-si,25
斷路,tn̄g-lōo,25
方位,hong-uī,25
施力,si-li̍k,25
施琅,si-lông,25
旁白,pông-pe̍h,25
旋律,suân-lu̍t,25
旋藤,suan-tîn,25
族譜,tso̍k-phóo,25
日晷,ji̍t-kuí,25
日記,ji̍t-kì,25
日誌,ji̍t-tsì,25
日鬚,ji̍t-tshiu,25
昆蟲,khun-thiông,25
明喻,bîng-jū,25
明礬,bîng-huân,25
星光,tshenn-kng,25
星宿,sing-siù,25
星空,sing-khong,25
星等,tshenn-tíng,25
春節,tshun-tseh,25
春聯,tshun-liân,25
時刻,sî-khik,25
時數,sî-sòo,25
時速,sî-sok,25
時針,sî-tsiam,25
普渡,póo-tōo,25
暖化,luán-huà,25
暖鋒,luán-hong,25
暗唸,àm-liām,25
暗喻,àm-jū,25
曆日,la̍h-ji̍t,25
曆法,li̍k-huat,25
曲式,khik-sik,25
曲流,khiok-lâu,25
曲目,khik-bo̍k,25
曲線,khiok-suànn,25
曲調,khik-tiāu,25
曲譜,khik-phóo,25
曲風,khik-hong,25
書櫥,tsu-tû,25
書法,su-huat,25
書聖,su-sìng,25
書評,su-phîng,25
會意,huē-ì,25
月事,gu̍eh-sū,25
月形,gue̍h-hîng,25
月球,gue̍h-kiû,25
月琴,gue̍h-khîm,25
月相,gue̍h-siòng,25
月經,gu̍eh-king,25
服飾,ho̍k-sik,25
朝露,tiau-lōo,25
木匠,ba̍k-tshiūnn,25
木琴,bo̍k-khîm,25
木管,bo̍k-kuán,25
本壘,pún-luí,25
本葉,pún-hio̍h,25
材質,tsâi-tsit,25
東經,tang-king,25
板嘹,pán-liâu,25
枝葉,ki-hio̍h,25
架構,kà-kòo,25
染布,ní-pòo,25
柔道,jiû-tō,25
柝仔,kho̍k-á,25
查讀,tshâ-tha̍k,25
柱懸,thiāu-kuân,25
柱薯,thiāu-tsî,25
柳琴,liú-khîm,25
校園,hāu-hn̂g,25
校隊,hāu-tuī,25
根部,kin-pōo,25
格言,kik-giân,25
栽水,tsai-tsuí,25
桌布,toh-pòo,25
桌球,toh-kiû,25
梁柱,niû-thiāu,25
梆笛,pang-ti̍k,25
條約,tiâu-iok,25
梯形,thui-hîng,25
械鬥,hāi-tàu,25
棄嬰,khì-ing,25
棋藝,kî-gē,25
棒球,pāng-kiû,25
棕色,tsang-sik,25
棧房,tsàn-pâng,25
棧間,tsàn-king,25
極地,ki̍k-tē,25
楷書,khái-su,25
楷模,khái-bôo,25
概數,khài-sòo,25
槓桿,kǹg-kuáinn,25
樂器,ga̍k-khì,25
樂團,ga̍k-thuân,25
樂曲,ga̍k-khik,25
樂段,ga̍k-tuānn,25
樂章,ga̍k-tsiong,25
樂音,ga̍k-im,25
橫式,huâinn-sik,25
橫箍,huâinn-khoo,25
欠血,khiàm-hueh,25
欣賞,him-sióng,25
歇寒,hioh-kuânn,25
歇熱,hioh-jua̍h,25
歌謠,kua-iâu,25
歐盟,au-bîng,25
歕空,pûn-khang,25
歡唱,huan-tshiùnn,25
止血,tsí-hueh,25
正廳,tsiànn-thian,25
正拳,tsiànn-kûn,25
正文,tsiànn-bûn,25
正極,tsiànn-ki̍k,25
正楷,tsiànn-khái,25
正比,tsìng-pí,25
武術,bú-su̍t,25
歹菌,pháinn-khún,25
殕色,phú-sik,25
段落,tuānn-lo̍h,25
毒品,to̍k-phín,25
比值,pí-ta̍t,25
比率,pí-lu̍t,25
比重,pí-tāng,25
毛重,môo-tāng,25
毫升,hô-tsin,25
毽子,kiàn-tsí,25
毽球,kiàn-kiû,25
民歌,bîn-kua,25
民謠,bîn-iâu,25
民變,bîn-piàn,25
氣團,khì-thuân,25
氣壓,khì-ap,25
氣室,khì-sik,25
氣態,khì-thài,25
氣流,khì-liû,25
氣溫,khì-un,25
氣空,khì-khang,25
氣門,khì-mn̂g,25
氣體,khì-thé,25
氧化,ióng-huà,25
水份,tsuí-hūn,25
水位,tsuí-uī,25
水力,tsuí-li̍k,25
水印,tsuí-ìn,25
水圳,tsuí-tsùn,25
水塔,tsuí-thah,25
水墨,tsuí-ba̍k,25
水壓,tsuí-ap,25
水庫,tsuí-khòo,25
水彩,tsuí-tshái,25
水氣,tsuí-khì,25
水流,tsuí-liû,25
水溫,tsuí-un,25
水煙,tsuí-ian,25
水珠,tsuí-tsu,25
水疱,tsuí-phā,25
水蛆,tsuí-tshi,25
水質,tsuí-tsit,25
水跡,tsuí-jiah,25
水量,tsuí-liōng,25
水韭,tsuí-kú,25
永夜,íng-iā,25
永晝,íng-tiù,25
池仔,tî-á,25
決賽,kuat-sài,25
汽油,khì-iû,25
汽艇,khì-thíng,25
沖浴,tshiâng-i̍k,25
沖積,tshiong-tsik,25
沙池,sua-tî,25
沙線,sua-suànn,25
沙鈴,sua-lîng,25
沙雕,sua-tiau,25
河床,hô-tshn̂g,25
河流,hô-liû,25
河谷,hô-kok,25
河道,hô-tō,25
油彩,iû-tshái,25
油畫,iû-uē,25
油脂,iû-tsi,25
油跡,iû-jiah,25
泄尿,tshuā-jiō,25
法治,huat-tī,25
法規,huat-kui,25
注釋,tsù-sik,25
洗喙,sé-tshuì,25
洘流,khó-lâu,25
活塞,ua̍h-that,25
活栓,ua̍h-sng,25
活鈕,ua̍h-liú,25
流感,liû-kám,25
浮力,phû-li̍k,25
浮崙,phû-lūn,25
浮嶼,phû-sū,25
浮洲,phû-tsiu,25
浮雕,phû-tiau,25
海禁,hái-kìm,25
海蝕,hái-si̍t,25
海運,hái-ūn,25
海鼻,hái-phīnn,25
消蝕,siau-si̍t,25
液態,i̍k-thài,25
液體,i̍k-thé,25
淘汰,tô-thài,25
