hanzi,tl
中晝時,tiong-tàu-sî
中晝飯,tiong-tàu-pn̄g
中晝頓,tiong-tàu-tǹg
公眾,kong-tsiòng
介紹,kài-siāu
中途,tiong-tôo
內部,luē-pōo
冗剩,liōng-siōng
內場,lāi-tiûnn
公寓,kong-gū
分散,hun-suànn
不敢當,put-kám-tong
分發,hun-huat
中等,tiong-tíng
勾結,kau-kiat
不答不七,put-tap-put-tshit
五筋膎,gōo-kin-kê/gōo-kun-kuê
公費,kong-huì
中間,tiong-kan
公開,kong-khai
公開,kong-khui
分開,hun-khui
中傷,tiòng-siong
內傷,lāi-siong
公債,kong-tsè
公園,kong-hn̂g
內媽,lāi-má
公媽,kong-má
中意,tìng-ì
仁愛,jîn-ài/lîn-ài
仁慈,jîn-tsû/lîn-tsû
凶煞,hiong-suah
不義,put-gī
仁義,jîn-gī/lîn-gī
內裡,lāi-lí
勼跤,kiu-kha
五路,ngóo-lōo
公路,kong-lōo
公道,kong-tō
不滿,put-buán
五福,ngóo-hok
不管時,put-kuán-sî
內閣,luē-koh
冇數,phànn-siàu
分數,hun-sòo
五穀,ngóo-kok
中學,tiong-ha̍k
公學校,kong-ha̍k-hāu
公親,kong-tshin
分錢,pun-tsînn
公館,kong-kuán
冇蟳,phànn-tsîm
中醫,tiong-i
分類,hun-luī
分鐘,hun-tsing
分攤,hun-thuann
五臟,ngóo-tsōng
化【替】,hua
化,huà
匹,phit
升,【白】tsin
升,【文】sing
午,【白】gōo
午,【文】ngóo
厄,eh
友,iú
反,【文】huán
反,【白】píng
壬,jîm/lîm
天,【文】thian
天,【白】thinn
太,thài
夫,hu
少,【白】tsió
尺【替】,tshe
尺,【白】tshioh
廿,jia̍p/lia̍p
引,ín
心,sim
戶,hōo
手,【白】tshiú
支,【白】ki
文,bûn
斗,【白】táu
斤,kin/kun
方,【白】hng
方,【文】hong
日,ji̍t/li̍t
月,【文】gua̍t
月,【白】gue̍h/ge̍h
木,【白】ba̍k
木,【文】bo̍k
欠,khiàm
止,tsí
歹【替】,pháinn
毋【替】,m̄
比,pí
毛,【白】mn̂g
毛,【文】môo
氏,sī
水,【白】tsuí
水,【文】suí
歹𤆬頭,pháinn-tshuā-thâu
手䘼,tshiú-ńg
廿一,jia̍p-it/lia̍p-it
夫人,hu-jîn/hu-lîn
歹人,pháinn-lâng
天九牌,thian-kiú-pâi
天下,thian-hā
天才,thian-tsâi
少女,siàu-lí/siàu-lú
戶口,hōo-kháu
手下,tshiú-hā
手工,tshiú-kang
日子,ji̍t-tsí/li̍t-tsí
木工,ba̍k-kang
毋才,m̄-tsiah
水土,tsuí-thóo
孔子公,Khóng-tsú-kong
手巾仔,tshiú-kin-á/tshiú-kun-á
戶口名,hōo-kháu-miâ
月下老人,gua̍t-hā-nóo-jîn/gua̍t-hā-nóo-lîn
戶口抄本,hōo-kháu-tshau-pún
天井,thinn-tsénn/thinn-tsínn
天公,Thinn-kong
月中,gue̍h-tiong/ge̍h-tiong
月內,gue̍h-lāi/ge̍h-lāi
水井,tsuí-tsénn/tsuí-tsínn
天公生,Thinn-kong-senn/Thinn-kong-sinn
月內房,gue̍h-lāi-pâng/ge̍h-lāi-pâng
天公金,Thinn-kong-kim
月內風,gue̍h-lāi-hong/ge̍h-lāi-hong
天公祖,Thinn-kong-tsóo
反天,huán-thinn
天文,thian-bûn
太太,thài-thài
