hanzi,tl,frequency
龍罐,liông-kuàn,25
龍罐,lîng-kuàn,25
龍袍,liông-phâu,25
龍鱗,lîng-lân,25
龜骿,ku-phiann,25
𣛮籃,siā-nâ,25
𥰔仔,phín-á,25
buân白胚,buân-pe̍h-phue,16
gá-suh窯,gá-suh-iô,16
hì-tah線,hì-tah-suànn,16
mi-ni-khih,mi-ni-khih,16
the̍h-hó-sì,the̍h-hó-sì,16
七里香,tshit-lí-hiong,16
三分目,sann-hun-ba̍k,16
三分眼,sann-hun-gán,16
三角鱗,sann-kak-lân,16
三輪車,sann-lián-tshia,16
三轉型,sam-tsuān-hîng,16
丹迪紙,tan-tik-tsuá,16
九芎仔,kiú-kiong-á,16
乾漆粉,kan-tshat-hún,16
二層座,jī-tsàn-tsō,16
二次胚,jī-tshù-phue,16
五倍子,ngóo-puē-tsí,16
五福花,ngóo-hok-hue,16
交趾釉,kau-tsí-iu,16
亭仔景,tîng-á-kíng,16
人物堵,jîn-bu̍t-tóo,16
人物旗,jîn-bu̍t-kî,16
人面竹,lâng-bīn-tik,16
保溫棉,pó-un-mî,16
保溫磚,pó-un-tsng,16
倒吊獅,tò-tiàu-sai,16
倒角仔,tò-kak-á,16
備零件,pī-lîng-kiānn,16
八仙綵,pat-sian-tshái,16
八卦窗,pat-kuà-thang,16
八字彈,peh-jī-tân,16
八獅座,pat-sai-tsō,16
公婆椅,kong-pô-í,16
公母榫,kang-bú-sún,16
切割墊,tshiat-kuah-tiām,16
切管頭,tshiat-kóng-thâu,16
切紙枋,tshiat-tsuá-pang,16
利利安,li-li-an,16
割紙刀,kuah-tsuá-to,16
包喙口,pau-tshuì-kháu,16
包蒼布,pau-tshong-pòo,16
包頭巾,pau-thâu-kin,16
半堆剪,puànn-tui-tsián,16
半浮堵,puànn-phû-tóo,16
半金彩,puànn-kim-tshái,16
厚殼仔,kāu-khak-á,16
反手體,huán-tshiú-thé,16
古錢甲,kóo-tsînn-kah,16
古體鱗,kóo-thé-lân,16
和尚頭,huê-siūnn-thâu,16
咸豐草,hâm-hong-tsháu,16
四方竹,sù-hong-tik,16
四點金,sì-tiám-kim,16
圓仔花,înn-á-hue,16
圓鑿仔,înn-tsha̍k-á,16
圓黜仔,înn-thuh-á,16
坐禪椅,tsē-siâm-í,16
塑膠枋,sok-ka-pang,16
塑膠𧉟,sok-ka-tâi,16
塔簽仔,thah-tshiam-á,16
塗剾仔,thôo-khau-á,16
塗抓仔,thôo-jiàu-á,16
塭仔砧,un-á-tiam,16
墜仔模,tuī-á-bôo,16
壓枋染,ah-pang-ní,16
壓頭仔,ah-thâu-á,16
大木作,tuā-ba̍k-tsok,16
大白釉,tuā-pe̍h-iu,16
大菁粉,tuā-tshinn-hún,16
太魯刀,thài-lù-to,16
如意手,jû-ì-tshiú,16
如意花,jû-ì-hue,16
娘絲布,niû-si-pòo,16
安金漆,an-kim-tshat,16
實腹管,tsa̍t-pak-kóng,16
寶石碭,pó-tsio̍h-thn̄g,16
小冊櫃,sió-tsheh-kuì,16
小葉桑,sió-hio̍h-song,16
尤加利,iu-kha-lih,16
尪仔頭,ang-á-thâu,16
山棧花,suann-tsàn-hue,16
山石仔,suann-tsio̍h-á,16
工作台,kang-tsok-tâi,16
工作椅,kang-tsok-í,16
布輪機,pòo-lûn-ki,16
平剾仔,phînn-khau-á,16
平剾仔,pêng-khau-á,16
平鑿仔,phînn-tsha̍k-á,16
幼工棒,iù-kang-pāng,16
廟尪仔,biō-ang-á,16
弓中錘,king-tiong-tshuê,16
彎仔鋸,uan-á-kì,16
戮空的,lak-khang-ê,16
扁鋏仔,pínn-giap-á,16
手指圍,tshiú-tsí-uî,16
手指條,tshiú-tsí-tiâu,16
手指通,tshiú-tsí-thong,16
手搖鈴,tshiú-iô-lîng,16
手環箸,tshiú-khuân-tī,16
抓耙仔,jiàu-pê-á,16
折刀器,tsiat-to-khì,16
拍初胚,phah-tshoo-phue,16
拍剁仔,phah-tok-a,16
拍粗胚,phah-tshoo-phue,16
拍糊仔,phah-kôo-á,16
拍花面,phah-hue-bīn,16
拖空墘,thua-khang-kînn,16
挲密刀,so-ba̍t-to,16
挲玻璃,so-po-lê,16
捏版仔,lia̍p-pán-á,16
捶篾仔,tuî-bi̍h-á,16
捻塔啾,liàn-thah-tshiu,16
控制錶,khòng-tsè-pió,16
掰糊仔,pué-kôo-á,16
描圖紙,biô-tôo-tsuá,16
搝厚薄,giú-kāu-po̍h,16
撞璇仔,tōng-suān-á,16
擠浮線,tsik-phû-suànn,16
敆內裡,kap-lāi-lí,16
敲薰屎,khà hun-sái,16
文公尺,bûn-kong-tshioh,16
文武甲,bûn-bú-kah,16
文武跤,bûn-bú-kha,16
文轎蓋,bûn-kiō-kuà,16
曝日頭,pha̍k-ji̍t-thâu,16
月眉鱗,gua̍t-bâi-lân,16
木桮刀,bo̍k-pue-to,16
木版畫,bo̍k-pán-uē,16
木麻黃,bo̍k-muâ-hông,16
松節油,siông-tsiat-iû,16
松膠碗,siông-ka-uánn,16
架索仔,khuè-soh-á,16
柏青哥,pha-tsìn-kòo,16
染料劑,ní-liāu-tse,16
柳葉眉,liú-hio̍h-bâi,16
柴抹刀,tshâ-buah-to,16
柴桮仔,tshâ-pue-á,16
柴槌仔,tshâ-thuî-á,16
柿仔汁,khī-á-tsiap,16
栗子殼,la̍t-tsí-khak,16
格仔尺,keh-á-tshioh,16
栽喙鬚,tsai-tshuì-tshiu,16
栽喙齒,tsai-tshuì-khí,16
栽目睭,tsai-ba̍k-tsiu,16
栽馬啾,tsai-bé-tshiu,16
桂花甲,kuì-hue-kah,16
梳妝台,se-tsong-tâi,16
椅頭仔,í-thâu-á,16
椅馬仔,í-bé-á,16
樟腦沙,tsiunn-ló-sua,16
樟腦油,tsiunn-ló-iû,16
樹奶模,tshiū-ni-bôo,16
橫杆仔,huâinn-kuainn-á,16
檳榔子,pin-nn̂g-tsí,16
櫃仔面,kuī-á-bīn,16
毛鋏仔,moo-giap-á,16
氣死貓,khì-sí-niau,16
水粗紙,tsuí-tshoo-tsuá,16
水茄苳,tsuí-ka-tang,16
水觳仔,tsuí-khok-á,16
水車堵,tsuí-tshia-tóo,16
水𣁳仔,tsuí-khat-á,16
沙拉油,sa-lá-iû,16
油壓模,iû-ap-bôo,16
油漏仔,iû-lāu-á,16
油燈罩,iû-ting-tà,16
油筒仔,iû-tâng-á,16
泉州派,tsuân-tsiu-phài,16
注蠟機,tsù-la̍h-ki,16
洋蔥皮,iûnn-tshang-phuê,16
浮綿仔,phoo-mî-a,16
浮雕堵,phû-tiau-tóo,16
淋碭釉,lâm-thn̄g-iu,16
深篩仔,tshim-thai-á,16
溫度針,un-tōo-tsiam,16
漆線塗,tshat-suànn-thôo,16
漆線油,tshat-suànn-iû,16
漆線龍,tshat-suànn-liông,16
火勾仔,hué-kau-á,16
火耙仔,hué-pê-á,16
火鉗仔,hué-khînn-á,16
火鍋爐,hué-ko-lôo,16
灰匙仔,hue-sî-á,16
烏心石,oo-sim-tsio̍h,16
熟桐油,si̍k-tâng-iû,16
燈火罩,ting-hué-tà,16
燖筒仔,tīm-tâng-á,16
牛喙罨,gû-tshuì-am,16
牛鈴仔,gû-lîng-á,16
牽漆線,khan-tshat-suànn,16
獅仔跤,sai-á-kha,16
珊瑚樹,suan-ôo-tshiū,16
珠仔台,tsu-á-tâi,16
瑪瑙刀,bé-ló-to,16
璇石膏,suān-tsio̍h-ko,16
璇石花,suān-tsio̍h-hue,16
瓜笠仔,kue-le̍h-á,16
瓷仔枋,huî-á-pang,16
瓷仔車,huî-á-tshia,16
畫板仔,uē-pán-á,16
畫活眼,uē-ua̍h-gán,16
畫石頭,uē-tsio̍h-thâu,16
白匏仔,pe̍h-pû-á,16
白玉仔,pe̍h-gi̍k-á,16
白糊仔,pe̍h-kôo-á,16
白胚紙,pe̍h-phue-tsuá,16
皮槌仔,phuê-thuî-á,16
看紙紋,khuànn-tsuá-bûn,16
石榴皮,tsio̍h-liû-phuê,16
石灰粉,tsio̍h-hue-hún,16
石磨仔,tsio̍h-bō-á,16
石膏模,tsio̍h-ko-bôo,16
石膏碗,tsio̍h-ko-uánn,16
石舂臼,tsio̍h-tsing-khū,16
砂輪機,sua-lûn-ki,16
破竹仔,phuà-tik-á,16
破篾仔,phuà-bi̍h-á,16
磅璇石,pōng-suān-tsio̍h,16
穀亭畚,kok-tīng-pùn,16
空殼管,khang-khak-kóng,16
立德粉,li̍p-tik-hún,16
