tl,hanzi,frequency
m̄-kiann-tê,不驚茶,16
tshǹg-phīnn-lîng,串鼻龍,16
kiú-kiong-kū,九芎舅,16
káu-tîng-tshe,九重吹,16
khit-tshia̍h-uánn,乞食碗,16
lin-á-tsháu,乳仔草,16
gōo-the̍h-kiô,五宅茄,16
gōo-kun-tsháu,五根草,16
ngóo-jiáu-jiông,五爪絨,16
ngóo-jiáu-lîng,五爪龍,16
gōo-kha-lí,五脚里,16
góo-lîng-lân,五龍蘭,16
tsínn-pinn-tsháu,井邊草,16
jîn-biān-tik,人面竹,16
jîn-tshì-tshang,仁刺葱,16
sian-pa-tsiúnn,仙巴掌,16
hô-siú-oo,何首烏,16
hu̍t-thâu-kó,佛頭果,16
sù-kun-tsú,使君子,16
tó-tuē-kióng,倒地拱,16
tó-tuē-lîng,倒地柃,16
tó-kî-lîn,倒麒麟,16
siong-si̍t-tsháu,傷食草,16
guân-siau-kam,元宵柑,16
thòo-á-tshài,兔仔草,16
thòo-hī-tsháu,兔耳草,16
lāi-tang-tsí,內冬子,16
pat-kuà-tsháu,八卦草,16
pueh-kak-á,八角仔,16
pueh-kak-liân,八角蓮,16
kong-sun-kiat,公孫橘,16
la̍k-ge̍h-seh,六月雪,16
la̍k-liàm-á,六棯仔,16
la̍k-kiám-á,六檢仔,16
la̍k-kak-ing,六角英,16
la̍k-kak-tsháu,六角草,16
tsài-sing-kiat,再生橘,16
líng-pn̄g-tîn,冷飯藤,16
tshìn-pn̄g-tîn,凊飯藤,16
tshut-sing-láu,出生老,16
to-siong-tsháu,刀傷草,16
tò-kè-tsháu,到繼草,16
tshì-tōo-bi̍t,刺杜蜜,16
tshì-kam-á,刺柑仔,16
tshì-keh-á,刺格仔,16
tshì-kiû-hue,刺毬花,16
tshì-tshang-tshiū,刺葱樹,16
tsián-jiông-hue,剪絨花,16
ka-ji̍p-kū,加入舅,16
ka-po̍h-mî,加薄棉,16
sip-lí-hiong,十里香,16
tshian-kun-puih,千斤拔,16
tshian-lí-kong,千里光,16
gōo-sî-tsháu,午時草,16
lâm-hong-tsháu,南風草,16
kāu-khak-á,厚殼仔,16
kau-khak-kuì,厚殼桂,16
sim-á-hio̍h,參仔葉,16
kháu-kha-á,口脚仔,16
kóo-gua̍t-kun,古月根,16
tông-tī-tsháu,同治草,16
hiòng-thian-tsuánn,向天盞,16
hiòng-thian-hông,向天黃,16
kā-lâng-niau,咬人猫,16
hâm-hong-tsháu,咸豐草,16
to-nî-á,哆哖仔,16
lā-lí-á,嘮哩仔,16
sù-kuì-tshun,四季春,16
sù-kuì-kiat,四季橘,16
sù-sî-tshun,四時春,16
sù-bí-tsháu,四米草,16
sì-hio̍h-tshài,四葉菜,16
sì-hio̍h-liân,四葉蓮,16
înn-á-hue,圓仔花,16
înn-tshài-thâu,圓菜頭,16
thóo-puàn-hā,土半夏,16
thóo-tshuan-nî,土川連,16
thóo-tîm-hiunn,土沈香,16
thóo-giû-tshit,土牛七,16
thóo-jio̍k-kuì,土肉桂,16
thóo-ho̍k-lîng,土茯苓,16
thôo-tāu-kū,土豆舅,16
tuē-giâ-kang,地蜈蚣,16
tē-kut-phî,地骨皮,16
poo-lûn-á,埔崙仔,16
poo-pit-á,埔筆仔,16
poo-tsháu-iūnn,埔草樣,16
poo-iâm-á,埔鹽仔,16
hē-koo-tsháu,夏枯草,16
hâ-phî-lâm,夏皮楠,16
tāi-ting-hông,大丁黃,16
tuā-phànn-tshiū,大冇樹,16
tuā-huê-hûn,大回魂,16
tuā-gōng-tshiū,大戇樹,16
tuā-táu-iū,大斗柚,16
tuā-phànn-tshiū,大有樹,16
tuā-tsuí-phiô,大水萍,16
tāi-kah-tsháu,大甲草,16
tuā-pe̍h-hue,大白花,16
tuā-âng-sim,大紅心,16
tuā-âng-hue,大紅花,16
tuā-huan-hûn,大翻魂,16
tuā-hio̍h-phànn,大葉冇,16
