hanzi,tl,frequency
豆皮,tāu-phê,25
豆雞,tāu-ke,25
豆雞,tāu-kue,25
貼圖,tah-tôo,25
贊助,tsàn-tsōo,25
赤砂,tshiah-sua,25
走壘,tsáu-luí,25
超馬,tshiau-má,25
越位,ua̍t-uī,25
趨冰,tshu-ping,25
趨壘,tshu-luí,25
趨枋,tshu-pang,25
趨水,tshu-tsuí,25
跑者,pháu-tsiá,25
跑酷,pháu-khok,25
跤球,kha-kiû,25
跨年,khuà-nî,25
跨欄,khuà-lân,25
跳床,thiàu-tshn̂g,25
跳水,thiàu-tsuí,25
跳遠,thiàu-hn̄g,25
跳馬,thiàu-bé,25
踏壘,ta̍h-luí,25
踢拳,that-kûn,25
蹋壘,lap-luí,25
軍刀,kun-to,25
軍棋,kun-kî,25
軍閥,kun-hua̍t,25
軟糖,nńg-thn̂g,25
軟轎,nńg-kiō,25
軟餅,nńg-piánn,25
載入,tsài-ji̍p,25
載入,tsài-li̍p,25
載具,tsài-khū,25
載具,tsài-kū,25
輕鐵,khin-thih,25
輝瑞,hui-suī,25
轉翕,tsuán-hip,25
轉速,tńg-sok,25
迒年,hānn-nî,25
追劇,tui-kio̍k,25
追星,tui-tshenn,25
追星,tui-tshinn,25
逝懸,tsuā-kuân,25
逝距,tsuā-kī,25
逝距,tsuā-kū,25
速球,sok-kiû,25
連結,liân-kiat,25
進壘,tsìn-luí,25
運球,ūn-kiû,25
遏子,at-tsí,25
遮罩,jia-tà,25
遮罩,jia-tàu,25
選球,suán-kiû,25
邊境,pian-kíng,25
配套,phuè-thò,25
配套,phè-thò,25
配送,phuè-sàng,25
配送,phè-sàng,25
酥油,soo-iû,25
酥皮,soo-phuê,25
酥皮,soo-phê,25
酵母,kànn-bó,25
酵母,kànn-bú,25
酸豆,sng-tāu,25
醣類,thn̂g-luī,25
釉皮,iu-phuê,25
釉皮,iu-phê,25
重播,tîng-pò,25
野手,iá-tshiú,25
野選,iá-suán,25
金棗,kim-tsó,25
金粉,kim-hún,25
釘鞋,ting-uê,25
釘鞋,ting-ê,25
針織,tsiam-tsit,25
鈍劍,tun-kiàm,25
鉛球,iân-kiû,25
鉼頂,pín-tíng,25
鋒面,hong-bīn,25
鋪文,phoo-bûn,25
鍋貼,ko-tah,25
鎖舞,só-bú,25
鏈球,liān-kiû,25
鐵卵,thih-nn̄g,25
鐵餅,thih-piánn,25
鑢卡,lù-khah,25
鑿花,tsha̍k-hue,25
長打,tn̂g-tánn,25
長拳,tn̂g-kûn,25
長跑,tn̂g-pháu,25
門將,mn̂g-tsiòng,25
開弓,khui-king,25
開球,khui-kiû,25
開關,khai-kuan,25
閣揆,koh-kuî,25
閹殘,iam-tsân,25
阻尼,tsóo-lî,25
阻尼,tsóo-nî,25
阻殺,tsóo-sat,25
雙打,siang-tánn,25
雙槓,siang-kǹg,25
雙殺,siang-sat,25
雞胘,ke-kiān,25
雞胘,kue-kiān,25
雞跤,ke-kha,25
雞跤,kue-kha,25
雪堡,seh-pó,25
雪橇,seh-khiau,25
雪車,seh-tshia,25
雷根,luî-kin,25
雷根,luî-kun,25
電競,tiān-kīng,25
電鋸,tiān-kì,25
電鋸,tiān-kù,25
電鍍,tiān-tōo,25
霧面,bū-bīn,25
霸凌,pà-lîng,25
青稞,tshenn-kho,25
青稞,tshinn-kho,25
青耆,tshenn-kî,25
青耆,tshinn-kî,25
青醬,tshenn-tsiùnn,25
青醬,tshinn-tsiùnn,25
面板,bīn-pán,25
面罩,bīn-tà,25
面膜,bīn-mo̍oh,25
面霜,bīn-song,25
靶心,pé-sim,25
鞍馬,uann-bé,25
音量,im-liōng,25
預覽,ī-lám,25
預覽,ū-lám,25
預設,ī-siat,25
預設,ū-siat,25
頓卡,tǹg-khah,25
頓粉,tǹg-hún,25
領隊,niá-tuī,25
頭頁,thâu-ia̍h,25
頷箍,ām-khoo,25
顏智,gân-tì,25
飛盤,hui-puânn,25
飛輪,hui-lûn,25
飛鳥,hui-niáu,25
飛鳥,pue-tsiáu,25
食色,tsia̍h-sik,25
餅𩛩,piánn-kauh,25
香茅,hiong-hm̂,25
香茅,hiunn-mâu,25
馬術,bé-su̍t,25
駐波,tsù-pho,25
駭客,hái-kheh,25
鮮奶,tshinn-ling,25
鱸魚,lôo-hû,25
鴿派,kap-phài,25
鷹派,ing-phài,25
麥片,be̍h-phìnn,25
麥角,be̍h-kak,25
麩質,hu-tsit,25
黃牌,n̂g-pâi,25
點揤,tiám-tshi̍h,25
點球,tiám-kiû,25
點選,tiám-suán,25
鼻刀,phīnn-to,25
鼻柱,phīnn-thiāu,25
鼻翼,phīnn-si̍t,25
鼻腰,phīnn-io,25
鼻頭,phīnn-thâu,25
齒仔,gí-á,25
齒仔,khí-á,25
齒盤,khí-puânn,25
龍船,liông-tsûn,25
龍船,lîng-tsûn,25
𠕇仁,tīng-jîn,25
𠕇仁,tīng-lîn,25
𢯾枕,mooh-tsím,25
𪐞染,tòo-ní,25
Phóo-meh狗,phóo-meh-káu,16
Uí-sīr-kih,uí-sīr-kih,16
Uí-sū-kih,uí-sū-kih,16
a̋m-phái-ah,a̋m-phái-ah,16
ba̍t-té-lih,ba̍t-té-lih,16
bok-sìn-gù,bok-sìn-gù,16
e-móo-jih,e-móo-jih,16
goo-lú-huh,goo-lú-huh,16
gá-suh 爐,gá-suh-lôo,16
hah-suh 條,hah-suh-tiâu,16
hah-suh 酥,hah-suh-soo,16
hah-sìr 條,hah-sìr-tiâu,16
hah-sìr 酥,hah-sìr-soo,16
hoo-mú-láng,hoo-mú-láng,16
hu-lìng-gah,hu-lìng-gah,16
hua-lú-bóo,hua-lú-bóo,16
huá-sū-tooh,huá-sū-tooh,16
khong-tó-luh,khong-tó-luh,16
khu-lì-mù,khu-lì-mù,16
khú-khih餅,khú-khih-piánn,16
khőng-niá-kuh,khőng-niá-kuh,16
lè-hù-tooh,lè-hù-tooh,16
lìn-gòo派,lìn-gòo-phài,16
ma-sá-lah,ma-sá-lah,16
oo-mú 卵,oo-mú-nn̄g,16
phián-khè-khò,phián-khè-khò,16
se-khàn-tooh,se-khàn-tooh,16
sia̋n-bá-tsirh,sia̋n-bá-tsirh,16
sia̍k-siú-khah,sia̍k-siú-khah,16
sir-lài-tah,sir-lài-tah,16
sir-lèr-buh,sir-lèr-buh,16
